tcpID,sourceline,sourcepos,context
A13733,1418,2436,"In omnibus veritas imaginem antecedit: po∣stremò similitudo sequitur, saith <CITATION> Tertullian; that is, In all things truth goeth before the image thereof, after∣ward followeth the resemblance."
A13733,1431,99,"Secondly, morally, and so either for the outward profession of a Christian, as Tertullian <CITATION> calleth it, Christiani nominis extrinsecus superficiens, The outward  face or shew of a Christian, such as those, who Esay 29.13. come neere to God with their mouthes, but are farre from him in their hearts, hauing 2."
A13733,1451,496,"12. accursing those who put more holinesse in palto quàm in birro, that is, as <CITATION> most learned men expound it, in a long Cloke, then in ashort."
A13733,1492,315,"28.20 being with vs alwayes to the end of the World: and as Tertullian saith, <CITATION> sending vicariam vim Spiritus San∣cti, qui credentes agat, that is, the vertue of the Holy Ghost, who draweth the Beleeuers in stead of himselfe."
A13733,1604,1813,"For no Luke 9.62. man hauing put his hand to the plow, and looking backe, is fit for the kingdome of God, since as Tertullian <CITATION> iudged well, sepelire patrem tardum fuit fidei: to pretend for excuse a∣gainst spirituall proceeding the buriall of our father, is a slowing of faith, that should be alwayes liuely."
B14334,119,264,7. takes order to mend it in his patterne.<CITATION> A garrulous tal∣katiue zeale is vnpleasant and vnnecessary.
B14334,175,240,"In few words it inuolues most copious mat∣ter, and though very briefe, yet it is of an am∣ple sense.<CITATION> Quantum substringitur verbis tan∣tum diffunditur sensibus: The sense of it is as large as the Body is little.Garran."
B14334,178,188,"You see the large capacity of this Prayer, how that it comprehends the subiect of all other prayers; and not them only, but euen all Christian discipline, as Tertullian writes:<CITATION> for which cause he stiles it Breuiarium totius Euangelij; the Abridgement of the whole Gospell."
B14334,261,122,"Happy is that people whose God is the Lod (saith Dauid) but much happier that people whose Father is the Lord;<CITATION> and Foe∣lices qui Patrem agnoscunt ('tis the step vn∣to which Tertullian aduances the Empha∣sis) happy are they that acknowledge God for their Father, that at the last day hee may owne and acknowledge them for his sonnes; Come ye bles∣sed Children, &c."
B14334,347,1054,"Thou prayest that his glorious Name may be sanctified here on Earth,<CITATION> as it is in Heauen, where the Angels cry aloud, Holy, Holy, Holy, Lord God of Hosts."
B14334,435,670,"&c. nor is it so ill bred as to presse or quicken Him, but it shewes the alacrity of our Faith beating in our Prayers, by which we doe Festinare ad spei nostrae complexum,<CITATION> a little anticipate our Hopes, and labour to get a little ground, a little aduantage of that Time, which vpon euen termes will out-flie vs. For if we lye still and be not before hand with it, but suffer it to ouer∣take vs, we are lost."
B14334,515,623,"Thy Will be done, not mine, Not as I will, but as Thou wilt.<CITATION> Vpon which words Tertullian ex∣cellently glosses, Ipse erat voluntas & po∣testas Patris, & tamen ad demonstrationem sufferentiâ debitae, voluntati se Patris dedi∣dit, though He was both the Power and Will of His Father, yet to tutour our Obe∣dience by His owne Example, He submit∣ted Himselfe to the Will of His Father."
B14334,684,251,"Ex∣omologesis est petitio veniae,<CITATION> quâ qui petit ve∣niam, delictum confitetur: To aske forgiue∣nesse, and to confesse the fault, are in effect all one."
B14334,713,362,Debitum delicti figura est in Scriptura;<CITATION> Tis vsuall in Scripture to expresse Sinne by the name of Debts.
B14334,713,1094,"Tertullian renders, Quod perinde iu∣dicio debeatur, & ab eo exigatur; because it binds a man ouer to a future account, and in the day of Iudgement euery offence will be required and charged vpon the delin∣quent.<CITATION> Nam sicut Debitor à Creditore requi∣ritur, ita peccatum à Deo in Die Iudicii ne∣cesse est exigatur."
B14334,826,569,"And if so, for Religions sake let vs impose a better office on God than to be the Deuils Factor in procuring sins.<CITATION> Absit vt Dominus tentare videatur, quasi aut igno∣ret fidem cuiusquam, aut dejicere sit consenti∣ens (saith Tertullian) Farre be it from vs to thinke God contriues or consents to Mans ruine, or like a Broker for Hell vnderwrites our Bill of Sale."
B14334,964,80,"What this Gehenna is, Tertullian will sufficiently resolue:<CITATION> Est ignis arcani subter∣raneus ad poenam thesaurus; It is a Treasure of Fire which will breake out at the last Day."
B14334,966,282,"Where though the Body be the fuell, yet the vn-deuouring Fire feeds it; Like the Salamander, which is nourished in the Flame; or the Liuer of Prometheus, which grew as fast as the Vulture gnawed it.<CITATION> Non enim absumit quod exurit, sed dum erogat reparat."
A86601,130,719,"for we meet with examples in Scripture of many other gestures besides this: and<CITATION> Tertullian an antient Writer tells us, That in the Primitive Church they were wont to pray standing."
A86601,133,136,"Where two or three are gathered together in the name of Christ,<CITATION> there is he in the midst of them: How much more, where two or three hundred, or two or three thousand!"
A87567,209,99,"The bird which is tied by the legge with a siring to a stone,<CITATION> perhaps with some strugling gets loose from the stone, to which the string on the other end was fastned, but then flying with the string about her leg, shee is entangled in the next bough shee flies to, more then before."
A87567,267,11,"2.<CITATION> Vnworthinesse, and lownesse in seeking."
A02223,310,263,"As if our Sauiour should say, The Church, as lōg  as she is in this world, she is like Israel vnder Pharaoh, held captiue in impri∣sonment and slauerie: But now at this great Assise, there shall be a gaole-deli∣uerie, an euerlasting freedome from all euils whatsoeuer: our life is wouen full of miseries;<CITATION> the best of it is but labour and griefe."
A26158,754,0,"And Lastly, we have his Infirmities; there was sent him a Thorn in the Flesh, <CITATION> as the Messenger of Satan to buffet him, by which some of the ancient Fathers under∣stood some bodily Disease and Infirmity; but the generality of Interpreters, with more Probability affirm, That by this Thorn in the Flesh is meant, not any par∣ticular Evil, but all manner of Temptation, by which the Devil strove either to under∣mine his Faith, or to beat him from it."
A26158,858,0,"shall not we use our utmost endeavour to cast out sinful and wicked Thoughts, and take as much Pains to be happy, <CITATION> as o∣thers do to be wretched and miserable?"
A95617,126,448,"l. 2. c. 3. a community in goods, all that beleeved were together,<CITATION> and had all things common: a community in counsels, contributing helps of advice upon occasions offered: a community in in∣telligences, the Churches in the Acts held intelligence together, and the Ecclesiasticall stories tell us, at Lions in France the Saints were wont to send to the Saints in Phrygia,Omnia apud nos indiscreta sunt praeter ux∣ores."
A95617,127,224,"c. 39. and had all things common: a community in counsels, contributing helps of advice upon occasions offered: a community in in∣telligences, the Churches in the Acts held intelligence together, and the Ecclesiasticall stories tell us, at Lions in France the Saints were wont to send to the Saints in Phrygia,<CITATION> concerning the affaires of the Church: all things they had common; but especially a communion of conversation, a delight in the society one of another."
A95617,179,1626,"By the oppositions of Haman the cause of God got better footing: And by casting Daniel into the Lions den, God came everywhere to be more feared and worshipt by a publike decree: By the oppositions of Tatnai and Shetherboz∣nai the building of Gods house prospered: In burning and tea∣ring the martyrs in the primitive times, and in Q. Maries dayes, the cause of God seemd to suffer, yet we know how Martyrdom improves it, the bloud of the Martyrs is the seed of the Church, that is, as the Bishop of Valence<CITATION> once explained it; people by seeing the sufferings of the Martyrs, came more to look into and understand that profession then formerly they had done, which made them with so much patience indure such torments, and so at length to imbrace the same; like the generating of the Phoenix, out of the ashes not the egges of the Damme: Out of the ashes of a few Saints multitudes of professours arise."
A40815,108,2024,Grotius says the old Latin Interpreters render'd it constantly thus<CITATION>.
A40815,142,1698,"Therefore he sends the H. Ghost, who, as his PARACLET, his Great Representative on Earth<CITATION>, avenges him on the Authors and Instruments of his Sufferings."
A40815,153,2213,"This is evi∣dent from Scripture, where the Worship of Hea∣then Gods and Idols (that is, of those Spiritual Invisible Intelligences, which the Idolatrous World thought to reside in the Visible Objects of its Wor∣ship: in some Naturally, as in the Heavenly and Elementary Bodies; in others, by the Virtue of Magical Consecrations and Telesms<CITATION>, as in Ima∣ges, and the like Artificial Representations) is ex∣presly term'd a Worship of DevilsRevel."
A36925,80,986,"And this was the mark and cha∣racter whereby the Primitive Christians used to be painted and pointed out:<CITATION> Vide, inquiunt, ut invicem se diligant; See how these Christians love one another."
A66000,133,86,"<CITATION> Good things offend none but the Evil,"
A04978,279,54,"Or doe you repute your selves ever the better, when<CITATION> your tender neck carries woods and Ilands upon it, and at your eares doe hang dangling Jewels worth the Reve∣nues of a rich Familie?"
A45541,712,22,"18. to pray for the life of the King.<CITATION> It is here enjoyned by the Apostle to Christians, and was accordingly practised."
A45541,1215,25,"that God would give him strength, victory, health, safe∣ty, length and tranquillity of days; or if you will in Ter∣tullians form, Long life,<CITATION> a secure Government, safe Court, valiant Army, faithfull Senate, good people, quiet world, and whatever he can desire as a King, or as a Man: Or once more in Lactantius his words, that God will keep him,Lactant."
A67899,3726,6,"For the Gospel like Leaven or Fire from Heaven, seised upon all that stood before it; it leaven'd Cities, Islands, Castles, Councils, Camps,<CITATION> the Tribes and Decuries, the Palaces, Senate, Pleading-pla∣ces."
A40819,65,750,"Mere Laicks<CITATION> Men without Call, take up the Genser, and usurp an Office which does not belong to them."
A61852,143,817,"<CITATION> And this Judgement the Antients did foresee, and do expect: Horret animus dicere: dicam tamen, quia futurum est, Romanum nomen de terra tolletur, Lactan."
A02186,1327,64,"Vermis & tenebrae flagellū, frigus & ignis:<CITATION> Daemonis aspectus▪ scelerū, confusio luctus."
A02460,159,917,"True it is that in the infancie of the Church certaine temporall punishments were inflic∣ted on offenders, & canonicall satisfaction was required, but yet not to satisfie God but the Church, not to make due recompence for the sinne cōmitted but by this publike submission, to declare their vnfained sorrow & repentance for their sinne,<CITATION> the which kind of discipline as then, so now it is most behouefull for ye church and house of God."
A69013,78,671,"And so much Tertullian acknowledged Colimus imperatorem vt hominem à Deo secundum,<CITATION> & solo Deo mino∣rem, We Christians honour our Emperour as the second man after God, and minor to none but to God."
A07838,387,55,"It is a Catholicke; Epistle, Catholicke; not onely be∣cause the Doctrine, contained in it is orthodoxall (in which sence the word Catholicke is often vsed of the<CITATION> Fathers:) no onely because the vse of it is CatholickeAugust."
A07838,715,91,"15.  veritatis, the word of .<CITATION>  God is the teacher of truth: and hereis ,    because the Deuills haue beheld in the doing, there∣fore they cannot but beleeue them to be true in the rela∣ting."
A07838,852,23,"1. wicked men doe many great workes: that<CITATION> Heretiques to confirme their doctrine, haue raised the dead, healed the sicke, foretold things to come: thatIosep."
A07838,1220,64,"This sheweth the miserable estate of the deuills: they liue in continuall feare, and so in continuall torture;<CITATION> Ti∣mor supplicamentum habet: It is Tertullians speech, and al∣most his peculiar word: He putteth supplicamentum for supplicim, and so his meaning is, that feare is a punish∣ment of it selfe."
A07838,1260,42,"And this as it is true of all kind of sinners,<CITATION> Nullum maleficium sine formidine est, quia nec sine conscientia sui: No sinne es∣capeth without feare, because it can neuer shake off con∣science: so is it principally verified of them, that sinne like the Deuills, that is, which areCypr."
A07838,1490,59,"12. debts;<CITATION> Debitum quod perindè iudicio debeatur, & ab eo ex∣igatur, for which we are subiect to conuention, and conui∣ction, and exaction, as Tertullian speaketh, euen as one man is for debt vnto another:) He knoweth that God ma∣ny times dealeth with men, as the kind householder with his beggerly seruant,Mat."
A07838,2669,23,"Tertullian;<CITATION> Vt certum esset, nos esse filios Dei, misit Spi∣ritum suum in corda nostra, clamantem Abba, Pater: That we might be certaine that we are the sons of God, he hath sent his spirit into our hearts, crying, Abba, Father."
A31933,130,543,"This light is Conscience,<CITATION> which Tertullian calls praejudicium judicij."
A31933,152,644,"A repenting faith,<CITATION> is our Sacra anchora to flye un∣to; it is Ilex misericordiae: it tyes Gods hands, and charmes his wrath."
A31933,228,537,"47. by his own example, saith Tertullian,<CITATION> Dedicavit poeniten∣tiam in semetipso."
A31933,228,846,"Happy we for whose sake God swears,<CITATION> but most unhappy if we beleeve not God when he swears, and if we live not as we beleeve."
A42369,49,0,"I Cannot but with Tertullian, <CITATION> adore the exquisite and compleat Fulness of the Scriptures, for this one thing amongst many others, That let the Occasion be what it will, of calling a Solemn As∣sembly, whether for Prayer or Praise, to receive Instructions, Directions, or Encouragement to any Duty, general or particular; what∣ever the Case be, you cannot dip into the Sacred Leaves, but you shall presently meet with some Passage or other, that will be pertinent to the Business in hand."
A61175,124,877,"But we Christians have another man∣ner of example to follow, from our first Pre∣decessors  of which the very word may teach us our duty in them:<CITATION> For these took their Name not from the Mirth, not from the Conversation, but only from the Charity of the Guests."
A32058,769,9,"The Lord Jesus Christ is almighty, and therefore he is able to do it.<CITATION> He that can make a man being nothing, out of the dust of the earth, can certainly repair him out of that dust when he is something."
B14338,65,0," I wonder why Tertullian was so stiffe and peremptory in that assertion of his, <CITATION> Ani∣mam obliuionis capacem non cedam, That the soule could not forget; holding Plato pa∣radoxicall for affirming it could and did."
A58858,61,130,"Fourthly, The persons of Kings was still accounted Sacred; their Office and Power Sacred, and they reverenced as Gods <CITATION> Anointed, that could not lawfully be touched, 1 Sam."
A58858,63,330,and others would <CITATION> make the world believe.
A82833,52,65,"Resurrection, (as Creation) is <CITATION> an act of Omnipotency, an argument of Christs Deity, in matter of fact; a work beyond the sphere of Natures activity, and an object of di∣vine faith."
A82833,85,1273,"Can he that commanded us to love our neigh∣bour as our self (sayes Tertullian) forget that flesh <CITATION> to which he was so near allied, so near neighbour∣ed, when he dwelt amongst us?"
A34575,318,0,<CITATION> Salvation is not to be obtained without great vehemency in Devotion: This violence which we offer to God in fervent Prayer is very grateful to him.
A34575,325,0,"(1) Publickly, in the Church, which is the House of Prayer wherein the Primitive Christians met together in multitudes, like a great Army to besiege Heaven, and take it by storm; <CITATION> for the Kingdom of Heaven suffereth violence, and the violent take it by storm; i. e. by ardent Prayers and fervent Devotions: they did send up their joint Petitions with such holy fervors, that St. Jerom faith their Amen was like a clap of Thunder."
