verse_id,score,text,verse_text,prediction,correction
2 Esdras 1.39 (AKJV),0.7833638787,"Psalm 78.23, 24, 25, 26, 27, 28, 29. Amos 4.6, 7, 8, 9, 10, 11.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Psalms 17.35 (Vulgate),0.7834126353,Psa. 139. 2. 3. 4 5. 8. 9. 10. & 12,"qui docet manus meas ad praelium. Et posuisti, ut arcum aereum, brachia mea,",TRUE,C_Only
Deuteronomy 5.21 (Vulgate) - 1,0.7839713693,"Ver. 11, 12 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23.","non domum, non agrum, non servum, non ancillam, non bovem, non asinum, et universa quae illius sunt.",FALSE,C_Only
Romans 13.9 (ODRV),0.7861612439,"Hebrew 9.24. Hebrew 12.24. & 9.15. Hebrew 8.6. & 7.22. Hebrew 5.6. & 6.20. Hebrew 4.14. Hebrew 7.11. ver. 23, 24. Hebrew 9.26, 28. & 7.27. Hebrew 10.1, 2, 11, 12, 14. Hebrew 9.24, 25. Hebrew 10.12. Hebrew 6.20. Hebrew 10.20. Hebrew 6.20. Hebrew 5.9.","For, Thou shalt not commit aduoutrie, Thou shalt not kil, Thou shalt not steale. Thou shalt not beare false witnes, Thou shalt not couet, and if there be any other commandement, it is comprised in this word, Thou shalt loue thy neighbour as thy self.",FALSE,C_Only
1 Chronicles 24.13 (Douay-Rheims),0.7869295478,verse. 11. 12. 13. 14. 15. 16.,"The thirteenth to Hoppha, the fourteenth to Isbaab,",TRUE,C_Only
Psalms 59.2 (ODRV),0.7875131965,"Act. 10.1, 2. & 11.19, 20. & 13.5.14.50. & 14.1. & 16.12, 13, 14. & 17.1, 10. & 18.2, 4, 7, 8, 12, 19. & 19.8. & 28.17, etc.","when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
Romans 1.29 (Vulgate),0.7895191312,"Mathew 10.23 24, 25, 26, 27, 28. Mathew 10.11 12, 13, 14, 15, 16, 17, 18, 19, 20. Mathew 5.40. Mathew 10.7, 8, 9, 10. 1 John 2.18, 22. 1 John 2.20, 23, 24, 25, 26. 2 John 10.11","repletos omni iniquitate, malitia, fornicatione, avaritia, nequitia, plenos invidia, homicidio, contentione, dolo, malignitate: susurrones,",FALSE,C_Only
Nehemiah 10.6 (Vulgate); Nehemiah 10.6 (Douay-Rheims),0.7898500562,"John 8, 3, 4, 5, 6, 7, 8, 9, 10, 11","Daniel, Genthon, Baruch,",FALSE,C_Only
Numbers 11.19 (Douay-Rheims),0.7903663516,"Acts 8.13, 17, 18, 19, 20, 21, 22, 23.","Not for one day, nor two, nor five, nor ten, no nor for twenty.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7903707027,"Rom. 5.18. & 3.19, 20, 21, 22, 23, 24. & 14.9.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.7904071212,"Rom. 1. 26, 27, 28, 29, 30, 31, 32.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.7904071212,"Rom. 1.26, 27, 28, 29, 30, 31, 32.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
Leviticus 19.3 (Douay-Rheims),0.7913270593,Exod 32.11.12 Numb. 14.13.14.15.16.17.18.19.,"Let every one fear his father, and his mother. Keep my sabbaths. I am the Lord your God.",FALSE,C_Only
Romans 13.9 (ODRV),0.7913481593,"Matthew 28.19, 20. & 26.26, 27, 28. 1 Cor. 11.25, 26, 27, 28. Acts 2.41, 42. Rom. 15.9, 10. Col. 3.16. Hebrew 3.12, 13. & 10.25. Ephesians 6.17, 18. Philip 3.3. John 4.23, 24. U^de 20. Matthew 16.24. Rom. 6.2, 3, 4, 5, 6. Gal. 2.19, 20, 21. & 3.25, 26, 27, 28, 29.","For, Thou shalt not commit aduoutrie, Thou shalt not kil, Thou shalt not steale. Thou shalt not beare false witnes, Thou shalt not couet, and if there be any other commandement, it is comprised in this word, Thou shalt loue thy neighbour as thy self.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7920823693,"Hebrew 8.10, 11. Ezekiel 36.22, 23, 24, 25, 26, 27, 28, 29. Ezekiel 34.11, 12, 13, 14, 15.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
1 Timothy 6.11 (ODRV) - 1,0.7924459577,"Prou. 4.23, 24, 25, 26, 27.","and pursue iustice, pietie, faith, charitie, patience, mildnes.",TRUE,C_Only
2 Esdras 1.39 (AKJV),0.7925865054,"Psalm 73, 3, 4 5, 6, 7.8, 9.14, 18, 19, 20.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.7926453352,"Matthew 19. 16, 17, 18, 19, 20, 21, 22.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
Psalms 148.8 (Vulgate),0.7930470109,"John 17. 2, 4, 6, 7, 8, 9, 11. 12, 24","ignis, grando, nix, glacies, spiritus procellarum, quae faciunt verbum ejus;",FALSE,C_Only
2 Kings 15.1 (Vulgate),0.7933558226,Samuel ii • Reg. xiii xiiii xv xvi xvii xviii,"Anno vigesimo septimo Jeroboam regis Israel, regnavit Azarias filius Amasiae regis Juda.",FALSE,C_Only
Romans 1.29 (Vulgate),0.7937670946,"Eccles. 2.1, 2, 3, 4, 5, 6, 7 8, 9, 10, 11, 12.","repletos omni iniquitate, malitia, fornicatione, avaritia, nequitia, plenos invidia, homicidio, contentione, dolo, malignitate: susurrones,",FALSE,C_Only
1 Chronicles 24.11 (Douay-Rheims),0.7949899435,Job 19. 8. 9. 10. 11. 12. 13. 14. 15. etc.,"The ninth to Jesua, the tenth to Sechenia,",FALSE,C_Only
Psalms 59.2 (ODRV),0.7955306768,"Luk. 1.26, 27, 31, 32, 35. Rom. 1.1, 2, 3, 4. Luk. 2.1, 2, 3, 6, 7. Act. 2.22, 23, 24. Luk. 3.1, 2, 21.22, 23, & 4, & 5, & 6, etc. Matthew 27.18. & 16.15, 16. Act. 9.20. John 20.31. 1 John 5. 1-4.5.","when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.7958734035,"Rom. 2.7, 9, 10, 11, 14, 26, 27, 28, 29.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
Deuteronomy 4.28 (Douay-Rheims) - 1,0.7959988713,"Psalm 73.3, 4, 5, 6, 7, 8, 9, 10, 12.","wood and stone, that neither see, nor hear, nor eat, nor smell.",FALSE,C_Only
Psalms 59.2 (ODRV),0.7962477207,"Psalm 25. 4, 5, 7, 11, 16, 18, 20 ▪ • … 1. & 39. 8, 10. • … 41. 4, 10.","when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
Canticles 1.1 (AKJV),0.7965499759,Nehemiah 5. 14. 15. 16. 17. 18.,"The song of songs, which is Solomons.",FALSE,C_Only
Deuteronomy 29.17 (Douay-Rheims),0.7967812419,"Exod 40. 16, 19, 21, 23, 25, 27, 29, 32.","You have seen their abominations and filth, that is to say, their idols, wood and stone, silver and gold, which they worshipped.",TRUE,C_Only
1 Chronicles 24.11 (Douay-Rheims),0.7968807817,Jude 17. 18. 19. 20. 21.,"The ninth to Jesua, the tenth to Sechenia,",FALSE,C_Only
Romans 13.9 (ODRV),0.7970536351,"Gen. 3.21. Matthew 28.18, 19.20. 1 Cor. 15.45. Gen. 2.15. 1 Pet. 3.21. Gen. 2, 8, 9, 16, 18. Col. 1.19. & 2.9. Psa. 16.11. Gen. 1.26, 27. Psalm 8.3, 4, 5, 6. Hebrew 1.3. & 12.2. Ephesians 1.20, 21. Matthew 28.18. Philip 2.10.11. Gen. 2.25. Rom. 3.23. John 17.4, 5. Hebrew 2.5, 6, 9. Philip 3.21. Acts 26.13. Gen. 2.7. 1 Cor. 15, 45, 47. John 5.21, 25, 28. Gen. 2.18, 21, 22, 23. Ephesians 5.25, 26, 27, 30, 31, 32.","For, Thou shalt not commit aduoutrie, Thou shalt not kil, Thou shalt not steale. Thou shalt not beare false witnes, Thou shalt not couet, and if there be any other commandement, it is comprised in this word, Thou shalt loue thy neighbour as thy self.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7975373268,"Ephesians 2.11, 12, 13, 14, 17, 18, 19, 20.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Romans 4.3 (Tyndale),0.7979930043,Rom: 3: 20: 24: 25.,For what sayth the scripture? Abraham beleved god and it was counted vnto him for rightewesnes.,FALSE,C_Only
Numbers 11.19 (Douay-Rheims),0.7988846302,"Rom. 4.11, 12, 13, 14, 15, 16, 17.","Not for one day, nor two, nor five, nor ten, no nor for twenty.",FALSE,C_Only
Deuteronomy 26.17 (Douay-Rheims),0.7992331386,"Exod 3.2, 6. Math. 10.17, 18, 19, 20. Acts 6.9, 10. Rom. 8.33, 34, 35.","Thou hast chosen the Lord this day to be thy God, and to walk in his ways and keep his ceremonies, and precepts, and judgments, and obey his command.",TRUE,C_Only
Revelation 21.20 (Tyndale),0.799400866,Reu: 2: 8: 10. Isaiah 27: 7: 8: 9. 1 Thess: 3: 3: 4.,the fyft sardonix: the sixt sardeos: the seventh crysolite the ayght berall: the nynth a topas: the tenth a crysoprasos: the eleventh a iacyncte: the twelfe an amatist.,TRUE,C_Only
2 Esdras 1.39 (AKJV),0.7994499207,"Matthew 11.20, 21, 22, 23, 24. & 12.40.41, 42, etc.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Deuteronomy 29.17 (Douay-Rheims),0.799518764,"Num 9. 17, 18, 19, 20, 21, 22, 23.","You have seen their abominations and filth, that is to say, their idols, wood and stone, silver and gold, which they worshipped.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7999418378,"Rom. 3. 19, 20, 21, 27, 28, 31. Christ 4. 13, 14, 15, 16. Christ 5. 13, 20. Christ 7. 3, 4, 5, 6, 7, 8. Christ 9. 4, 31, 32. Christ 10. 5. Gal. 2. 16, 19, 21. Christ 3. 2, 10, 11, 12, 13, 14, 19, 21, 24. Christ 4. 21. Christ 5. 3, 4, 14, 23. Christ 6. 13. Ephesians 2. 15. Philip 3. 6, 9 Hebrew 7. 11, 12, 19. Christ 9. 19. Christ 10. 28. 1 Cor. 9. 21.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Hosea 1.1 (Vulgate) - 0,0.7999454141,"Psalm 25.4, 5, 7, 11, 16, 18, 20, 21. & 39.8, 10. & 41.4, 10.","Verbum Domini, quod factum est ad Osee, filium Beeri, in diebus Oziae, Joathan, Achaz, Ezechiae, regum Juda;",FALSE,C_Only
Deuteronomy 1.8 (Douay-Rheims),0.8007065654,"John 3.16, 17. Gal. 4.4, 5. & 3.13. 2 Cor. 5.21. Rom 4.25. 1 Pet. 1.21, 24. Philip. 2.6, 7, 8, 9. 1 Tim. 2.6. Isaiah 45.22. Psalm 81.9, 10, & 50.1, 2. Curae 1.20, 21, 22, 23. John 16.7, 8, 9.10, 12, 13, 14, 15. Gen. 6.3. Rom. 2.4, 5. Psalm 68.18, 19, 20. Job. 33.16, 29, Psalm 68.21. Rom. 2.5. Hebrew 6.6, 7. & 10.26, 29. Jonah 2.8.","Behold, said he, I have delivered it to you: go in and possess it, concerning which the Lord swore to your fathers Abraham, Isaac, and Jacob, that he would give it to them, and to their seed after them.",FALSE,C_Only
Psalms 59.2 (ODRV),0.8010904789,Ps. 94.1.2.3 22 & 9.4.9.13.18. Psalm 10.1.12.14.17.18.,"when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
1 Chronicles 1.3 (Vulgate),0.8012089729,"Gen. 3 6 Hebrew 5 ▪ 7 Gen ▪ 3. 12 Math. 27, • … 9 Gen. 3. 6 Psalm ▪ 69 ▪ • … 2 Math. 27, 48","Henoch, Mathusale, Lamech,",FALSE,C_Only
Psalms 59.2 (ODRV),0.8015845418,Neh 2. 4. — 4. 4. — 4. 9. — 5. 19. — 6. 14. — 13. 14. — 22. — 29.,"when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
Genesis 26.5 (ODRV),0.8016149402,"Leu. 21.17, 18, 19, 20, 21.","for because Abraham obeyed my voice, and kept my preceptes and commandements, and obserued my ceremonies & lawes.",FALSE,C_Only
Romans 1.29 (Vulgate) - 0,0.8016845584,"Mathew 25.1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12. Job 36.13.","repletos omni iniquitate, malitia, fornicatione, avaritia, nequitia, plenos invidia, homicidio, contentione, dolo, malignitate:",FALSE,C_Only
Psalms 59.2 (ODRV),0.80170542,"John 14.2, 3.13, 14 16, 17, 18, 20.21.23.26.28. & 15.7 26 & 16.7. 23, 24.26.","when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.8018758297,"Psalm 6. 1, 2, 3. 6. & 13. 1, 2. & 27. 9, 13. & 30. 7. & 31. 16, 22. & 77. 1, 2, 7, 8, 9, 10.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Ecclesiasticus 41.6 (Vulgate) - 1,0.8018869162,"Ephesians 6.10, 11, 12, 13, 14, 15, 16, 17.","sive decem, sive centum, sive mille anni:",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.8021496534,"Mathew 22. 35, 36, 37, 38, 39. 40.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
Esther 9.26 (Douay-Rheims),0.8025203347,"Col. 1.28. 1 Cor. 12.7. Rom. 5.18. Jeremiah 29.31. Gan. 3.8. 1 Cor. 4.5. John 1.9. 1 Cor. 7.2. 20 Rom. 1.5. Rev. 18.3.23. Psalm 118.10. 1 Chronicles 14.17. John 8.26. John 12.19. Luke 2.1, 2, 3. 2 Cor. 5.19. Rom. 4.13.16. John 3.17 John 6.33. John 16.8. & 17.21. Hebrew 2.5. Psalm 22.27. John 1.29 1 Tim. 3.16., the Preposition [ ] translated [ by ] See Mar. 5 34, 35. 1 John 5.19. Rev. 13.3. Rom. 1.8. Luke 2.1. Rev. 12.9.","And since that time these days are called Phurim, that is, of lots: because Phur, that is, the lot, was cast into the urn. And all things that were done, are contained in the volume of this epistle, that is, of this book:",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.8026133776,"Rom. 2.14, 15. & 3.19, 20. & 4.13, 14 15. & 7.13 Hebrew 7.16. & 8.7, 8. & 9.13.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Tobit 12.3 (Douay-Rheims),0.8026559353,"John 3.17. 1 Tim. 2.4, 5, 6. 2 Cor. 5.14, 15. Rom. 5.12, 18. 1 Pet. 1.20, 21. with 1 Tim. 4.10. 2 Cor. 5.11. Curae 1.20.21. & 8.1, 2, 3, 4, 5, 31, 32, 33. & 9. 1-7. Rom. 2.4, 5. 1 John 5.11, 12. Act. 10.34.","He conducted me and brought me safe again, he received the money of Gabelus, he caused me to have my wife, and he chased from her the evil spirit, he gave joy to her parents, myself he delivered from being devoured by the fish, thee also he hath made to see the light of heaven, and we are filled with all good things through him. What can we give him sufficient for these things?",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.8026842475,"Rom. 2.7, 8, 9, 10, 11, 25, 26, 27.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
Deuteronomy 1.8 (Douay-Rheims),0.8029523492,"Rom. 5.12, 18, 19. & 3.23. Gen. 3.22, 23. with Psalm 30.5. Rom. 3.9, 10, 11, 12, — 19.23. Gen. 3.10, 11, 16, 17, 18.","Behold, said he, I have delivered it to you: go in and possess it, concerning which the Lord swore to your fathers Abraham, Isaac, and Jacob, that he would give it to them, and to their seed after them.",FALSE,C_Only
Deuteronomy 1.8 (Douay-Rheims),0.8029901385,"Isaiah 63.9. John 16, 33. Ephesians 6.11.14, 15. Hebrew 9.14, 15. Rom. 3.25.1 John 2.1, 2. Isaiah 56.7, 8, 9. Rev. 8.3, 4, 5.1 Pet. 2.5. John 1.4, 5, 9. & 12.46. & 6.32, 33, 43, 51.35. 1 Cor. 1.30, 31. Ephesians 2.10. Isaiah 56.8. with Hebrew 10.5, 6, 10. & 2.17. & 5.1, 5, 10. Acts 3.22, 23. Isaiah 55.4, 5. Matthew 11.28, 29, 30. Hebrew 12, 2. Rev. 1.11. & 22.13. Hebrew 3.2, 3, 4, 5, 6. & 5, 4, 5, 10, & 4.6, 8, 9. Isaiah 33.22.","Behold, said he, I have delivered it to you: go in and possess it, concerning which the Lord swore to your fathers Abraham, Isaac, and Jacob, that he would give it to them, and to their seed after them.",FALSE,C_Only
Deuteronomy 26.17 (Douay-Rheims),0.8031223416,"John 1.5, 6, 7, 15, 16, 29, 30, 31, 32, 33, 34. Matt. 3.16, 17.","Thou hast chosen the Lord this day to be thy God, and to walk in his ways and keep his ceremonies, and precepts, and judgments, and obey his command.",FALSE,C_Only
Jeremiah 31.28 (Douay-Rheims) - 0,0.8032268286,"Jer. 4.16, 17, 18, 19, 20, 21.","And as I have watched over them, to pluck up, and to throw down, and to scatter, and destroy, and afflict:",TRUE,C_Only
Psalms 6.1 (Vulgate),0.8032777309,ver. 28. ver. 27. ver. 28. ver. 27. ver. 25.,"In finem, in carminibus. Psalmus David. Pro octava.",FALSE,C_Only
1 Kings 11.33 (Douay-Rheims) - 1,0.8033686876,"Neh 13.15, 16, 17, 18, 19, 20. Jeremiah 17.21.22.","and hath not walked in my ways, to do justice before me, and to keep my precepts, and judgments as did David his father.",TRUE,C_Only
2 Esdras 1.39 (AKJV),0.8034774661,"Jeremiah 38. 7, 8, 9 10, 11, 12, 13. Ie 39. 16, 17 18.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
1 Corinthians 15.4 (Geneva),0.8042940497,"Mathew 16.24, 25, 26, 27. & 25.41.46.","And that he was buried, and that he arose the third day, according to the Scriptures,",FALSE,C_Only
Ecclesiasticus 41.6 (Douay-Rheims) - 1,0.804428041,"Rom. 5.5, 6, 7, 8, 9, 10, 11.","Whether ten, or a hundred, or a thousand years.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.8044351935,"Isaiah 28.12. Matthew 11.28. Isaiah 42.1. Rom. 15.12, 13, 14. John 1.14, 16. Coll. 1.19. Curae 3.15, 16, 17. Col. 2.8, 9, 10. Rev. 22.1, 2, 14 1 Pet. 3.20. Acts. 4.11, 12. Isaiah 28.14, 15, 16, 17. & 42.6. & 49.6, 7. Col. 2.10, 11. Philip 3.3. Gall. 5.24. Gen. 17.10, 13. Matthew 16.24, 25. Lycia 14.25, 26. Exod 12.4, 5. with John 1.29. Isaiah 55.4. John 6.40. & 14.1, 15, 16, 17, 25. Mathew 21.44. John 8.12. & 12.48. & 1.14. Hebrew 9.11, 12. John 14.8, 9, 10.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Esther 8.9 (Douay-Rheims) - 1,0.8045530915,"Hebrew 11. 4, 5, 7. 8, 20, 21, 33-34.","to province and province, to people and people, according to their languages and characters, and to the Jews, according as they could read and hear.",FALSE,C_Only
John 6.47 (ODRV) - 0; John 8.51 (ODRV) - 0,0.8047207594,"Luk. 20. 1•, 20, 21, 22, 23","Amen, amen I say to you:",TRUE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.8047776818,"Vers. 23, 24, 25, 26, 27, 28.","that is to say, toward the east, and west, and north, and south.",TRUE,C_Only
2 Esdras 1.39 (AKJV),0.8048130274,"Isaiah 28.12, 13, 14, 15, 16, 17. & 29.9, 10, 11.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Deuteronomy 29.17 (Douay-Rheims),0.8049303889,"Jeremiah 31.35, 36, 37. & 33.20, 21, 25, 26.","You have seen their abominations and filth, that is to say, their idols, wood and stone, silver and gold, which they worshipped.",TRUE,C_Only
Psalms 59.2 (ODRV),0.8052589893,"Rom. 3.19. Rom. 3.9. Ro. 5.16, 18. Gal. 3.10. Rom. 11.32.. Gal. 3.22. Rom. 3.23. Rom. 5.22.","when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
Psalms 59.2 (ODRV),0.8053414226,"Psalm 123. 2. & 69. 3. & 130. 5. & 37. 7. & 25. 5. & 27. 14. & 37. 34. & 25. 21. & 52. 9. & 59. 9. & 145. 15. Isaiah 8. 17. & 40. 31. & 49. 23. Hos. 12. 6. Lam. 3. 25, 26. Curae 20. 22.","when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
1 Chronicles 1.3 (Vulgate),0.8055033088,"Gen ▪ 3, 15 Rom. 4 ▪ 3 1 Cor ▪ 10. 3. 4 1 pet ▪ 1 ▪ 10, 11","Henoch, Mathusale, Lamech,",TRUE,C_Only
1 Chronicles 24.11 (Douay-Rheims),0.806083858,"Verse 6, 7, 8 9, 20, 21, 22 etc.","The ninth to Jesua, the tenth to Sechenia,",TRUE,C_Only
Deuteronomy 26.17 (Douay-Rheims),0.8060952425,"Tit. 2.11, 12, 13, 14. 2 Cor. 5.11, 19, 20, 21. & 6, 1, 2. 1 John 4.8, 11, 12. Gal. 5.22, 23. & 6, 7, 8.","Thou hast chosen the Lord this day to be thy God, and to walk in his ways and keep his ceremonies, and precepts, and judgments, and obey his command.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.8061233163,"Hebrew 10.29. & 12.21, 22, 23, 24, 25, 26, 27, 28, 29. Hebrew 1. & 2.1, 2, 3, 4.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Matthew 1.2 (Tyndale),0.8063604832,Psalm 25: 13. Psalm: 1: 13: Rom: • …: 28:,Abraham begat Isaac: Isaac begat Iacob: Iacob begat Iudas and his brethren:,FALSE,C_Only
Deuteronomy 29.17 (Douay-Rheims),0.8066615462,"Verse 6. Verses 18, 19, 20, 21, 22, 23","You have seen their abominations and filth, that is to say, their idols, wood and stone, silver and gold, which they worshipped.",TRUE,C_Only
Deuteronomy 9.27 (Douay-Rheims) - 0,0.8067033291,"Psalm 44.17, 18, 19, 20, 21, 22.","Remember thy servants Abraham, Isaac, and Jacob:",FALSE,C_Only
Ecclesiasticus 23.4 (Douay-Rheims),0.8068312407,"Job 1.15, 16, 17, 18, 19, 20.","O Lord, father, and God of my life, leave me not to their devices.",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.8069567084,"Gen. 18.17, 18, 19. Psalm 78.1, 2, 3, 4, 5, 6, 7, 8.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Ezekiel 18.9 (Douay-Rheims) - 0,0.8069796562,"Jeremiah 20.14, 15, 16, 17, 18.","Hath walked in my commandments, and kept my judgments, to do truth:",FALSE,C_Only
Psalms 59.2 (ODRV),0.8071163297,Hebrew 11.6.5.3. James 1.5.5.15. 1. Tim. 2.8.,"when he set fire on Mesopotamia of Syria, and in Sobal, and Ioab returned, and stroke Idumaea in the valley of saltpittes twelue thousand. (2. Reg. 8. & 10. & 1. Paral. 18.",FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.8071511984,"Mathew 7.16, 17, 18, 19, 20.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
