ESV,text,Parallel,version,verse_text,toCheck
1 Chronicles 1.52,"Oholibamah, Elah, Pinon,",1 Chronicles 1.52,AKJV,"1 Chronicles 1.52 Duke Aholibamah, Duke Elah, Duke Pinon,",False
1 Chronicles 7.39,"The sons of Ulla: Arah, Hanniel, and Rizia.",1 Chronicles 7.39,AKJV,"1 Chronicles 7.39 And the sonnes of Ulla: Arah, and Haniel, and Rezia.",False
1 Chronicles 8.11,He also fathered sons by Hushim: Abitub and Elpaal.,1 Chronicles 8.11,AKJV,"1 Chronicles 8.11 And of Hushim he begate Ahitub, and Elpaal.",False
1 Chronicles 8.21,"Adaiah, Beraiah, and Shimrath were the sons of Shimei.",1 Chronicles 8.21,AKJV,"1 Chronicles 8.21 And Adaiah, and Beraiah, and Shimrath, the sonnes of Shimhi,",False
1 Chronicles 24.16,"the nineteenth to Petha-hiah, the twentieth to Jehezkel,",1 Chronicles 24.16,AKJV,"1 Chronicles 24.16 The ninteenth to Pethahiah, the twentieth to Iehezekel,",False
Ezra 1.9,"And this was the number of them: 30 basins of gold, 1,000 basins of silver, 29 censers,",Ezra 1.9,AKJV,"Ezra 1.9 And this is the number of them: thirtie chargers of golde, a thousand chargers of siluer, nine and twentie kniues:",False
Ezra 2.12,"The sons of Azgad, 1,222.",Ezra 2.12,AKJV,"Ezra 2.12 The children of Azgad, a thousand, two hundred, twentie and two.",False
Nehemiah 7.12,"The sons of Elam, 1,254.",Nehemiah 7.12,AKJV,"Nehemiah 7.12 The children of Elam, a thousand, two hundred, fiftie and foure.",False
Nehemiah 7.17,"The sons of Azgad, 2,322.",Nehemiah 7.17,AKJV,"Nehemiah 7.17 The children of Azgad, two thousand, three hundred, twentie and two.",False
Nehemiah 7.19,"The sons of Bigvai, 2,067.",Nehemiah 7.19,AKJV,"Nehemiah 7.19 The children of Biguai, two thousand, threescore and seuen.",False
Nehemiah 7.41,"The sons of Pashhur, 1,247.",Nehemiah 7.41,AKJV,"Nehemiah 7.41 The children of Pashur, a thousand, two hundred, fourtie and seuen.",False
Nehemiah 7.42,"The sons of Harim, 1,017.",Nehemiah 7.42,AKJV,"Nehemiah 7.42 The children of Harim, a thousand, and seuenteene.",False
Job 14.22,"He feels only the pain of his own body, and he mourns only for himself.""",Job 14.22,AKJV,"Job 14.22 But his flesh vpon him shall haue paine, and his soule within him shall mourne.",False
Job 23.16,God has made my heart faint; the Almighty has terrified me;,Job 23.16,AKJV,"Job 23.16 For God maketh my heart soft, and the Almighty troubleth me:",False
Job 26.10,He has inscribed a circle on the face of the waters at the boundary between light and darkness.,Job 26.10,AKJV,"Job 26.10 Hee hath compassed the waters with bounds, vntill the day and night come to an end.",False
Job 27.1,"And Job again took up his discourse, and said:",Job 27.1,AKJV,"Job 27.1 Moreouer Iob continued his parable, and sayd,",False
Job 28.4,"He opens shafts in a valley away from where anyone lives; they are forgotten by travelers; they hang in the air, far away from mankind; they swing to and fro.",Job 28.4,AKJV,"Job 28.4 The floud breaketh out from the inhabitant; euen the waters forgotten of the foote: they are dried vp, they are gone away from men.",False
Job 29.1,"And Job again took up his discourse, and said:",Job 29.1,AKJV,"Job 29.1 Moreouer Iob continued his parable, and said,",False
Job 30.24,"""Yet does not one in a heap of ruins stretch out his hand, and in his disaster cry for help?",Job 30.24,AKJV,"Job 30.24 Howbeit he will not stretch out his hand to the graue, though they cry in his destruction.",False
Job 31.31,"if the men of my tent have not said, 'Who is there that has not been filled with his meat?'",Job 31.31,AKJV,"Job 31.31 If the men of my tabernacle said not, Oh that we had of his flesh! wee cannot be satisfied.",False
Job 39.13,"""The wings of the ostrich wave proudly, but are they the pinions and plumage of love?",Job 39.13,AKJV,"Job 39.13 Gauest thou the goodly wings vnto the peacocks, or wings and feathers vnto the Ostrich?",False
Psalms 73.10,"Therefore his people turn back to them, and find no fault in them.",Psalms 73.10,AKJV,Psalms 73.10 Therefore his people returne hither: and waters of a full cup are wrung out to them.,False
Psalms 88.1,"A SONG. A PSALM OF THE SONS OF KORAH. TO THE CHOIRMASTER: ACCORDING TO MAHALATH LEANNOTH. A MASKIL OF HEMAN THE EZRAHITE. O LORD, God of my salvation; I cry out day and night before you.",Psalms 88.1,AKJV,"Psalms 88.1 O Lord God of my saluation, I haue cried day and night before thee.",False
Proverbs 30.1,"The words of Agur son of Jakeh. The oracle. The man declares, I am weary, O God; I am weary, O God, and worn out.",Proverbs 30.1,AKJV,"Proverbs 30.1 The words of Agur the sonne of Iakeh, euen the prophecy: The man spake vnto Ithiel, euen vnto Ithiel and Ucal.",False
Isaiah 54.15,"If anyone stirs up strife, it is not from me; whoever stirs up strife with you shall fall because of you.",Isaiah 54.15,AKJV,"Isaiah 54.15 Behold, they shall surely gather together, but not by me: whosoeuer shal gather together against thee, shall fall for thy sake.",False
Jeremiah 13.8,Then the word of the LORD came to me:,Jeremiah 13.8,AKJV,"Jeremiah 13.8 Then the word of the Lord came vnto me, saying;",False
Jeremiah 18.5,Then the word of the LORD came to me:,Jeremiah 18.5,AKJV,"Jeremiah 18.5 Then the word of the Lord came to me, saying,",False
Jeremiah 32.6,"Jeremiah said, ""The word of the LORD came to me:",Jeremiah 32.6,AKJV,"Jeremiah 32.6 And Ieremiah said; The word of the Lord came vnto me, saying;",False
Jeremiah 32.26,The word of the LORD came to Jeremiah:,Jeremiah 32.26,AKJV,"Jeremiah 32.26 Then came the word of the Lord vnto Ieremiah, saying,",False
Jeremiah 33.23,The word of the LORD came to Jeremiah:,Jeremiah 33.23,AKJV,"Jeremiah 33.23 Moreouer, the word of the Lord came to Ieremiah, saying;",False
Jeremiah 34.12,The word of the LORD came to Jeremiah from the LORD:,Jeremiah 34.12,AKJV,"Jeremiah 34.12 Therefore the worde of the Lord came to Ieremiah, from the Lord, saying,",False
Jeremiah 48.30,"I know his insolence, declares the LORD; his boasts are false, his deeds are false.",Jeremiah 48.30,AKJV,"Jeremiah 48.30 I knowe his wrath, sayeth the Lord, but it shall not be so, his lyes shall not so effect it.",False
Ezekiel 7.1,The word of the LORD came to me:,Ezekiel 7.1,AKJV,"Ezekiel 7.1 Moreouer the word of the Lord came vnto mee, saying;",False
Ezekiel 12.17,And the word of the LORD came to me:,Ezekiel 12.17,AKJV,"Ezekiel 12.17 Moreouer, the worde of the Lord came to me, saying;",False
Ezekiel 12.21,And the word of the LORD came to me:,Ezekiel 12.21,AKJV,"Ezekiel 12.21 And the word of the Lord came vnto me, saying;",False
Ezekiel 16.1,Again the word of the LORD came to me:,Ezekiel 16.1,AKJV,"Ezekiel 16.1 Againe the worde of the Lord came vnto me, saying;",False
Ezekiel 21.18,The word of the LORD came to me again:,Ezekiel 21.18,AKJV,"Ezekiel 21.18 The word of the Lord came vnto me againe, saying,",False
Ezekiel 22.23,And the word of the LORD came to me:,Ezekiel 22.23,AKJV,"Ezekiel 22.23 And the word of the Lord came vnto me, saying,",False
Ezekiel 24.20,"Then I said to them, ""The word of the LORD came to me:",Ezekiel 24.20,AKJV,"Ezekiel 24.20 Then I answered them, The word of the Lord came vnto me, saying;",False
Ezekiel 28.11,"Moreover, the word of the LORD came to me:",Ezekiel 28.11,AKJV,"Ezekiel 28.11 Moreouer the word of the Lord came vnto me, saying;",False
Ezekiel 35.1,The word of the LORD came to me:,Ezekiel 35.1,AKJV,"Ezekiel 35.1 Moreouer the word of the Lord came vnto mee, saying;",False
Ezekiel 36.16,The word of the LORD came to me:,Ezekiel 36.16,AKJV,"Ezekiel 36.16 Moreouer the worde of the Lord came vnto me, saying,",False
Ezekiel 41.9,The thickness of the outer wall of the side chambers was five cubits. The free space between the side chambers of the temple and the,Ezekiel 41.9,AKJV,"Ezekiel 41.9 The thicknesse of the wall which was for the side chamber without, was fiue cubites, and that which was left, was the place of the side-chambers that were within.",False
Zechariah 6.9,And the word of the LORD came to me:,Zechariah 6.9,AKJV,"Zechariah 6.9 And the word of the Lord came vnto me, saying,",False
Matthew 1.10,"and Hezekiah the father of Manasseh, and Manasseh the father of Amos, and Amos the father of Josiah,",Matthew 1.10,AKJV,"Matthew 1.10 And Ezekias begate Manasses, and Manasses begate Amon, and Amon begate Iosias.",False
Matthew 25.17,So also he who had the two talents made two talents more.,Matthew 25.17,AKJV,"Matthew 25.17 And likewise he that had receiued two, he also gained other two.",False
Luke 9.56,And they went on to another village.,Luke 9.56,AKJV,"Luke 9.56 For the Sonne of man is not come to destroy mens liues, but to saue them. And they went to another village.",False
Luke 21.19,By your endurance you will gain your lives.,Luke 21.19,AKJV,Luke 21.19 In your patience possesse ye your soules.,False
Acts 3.20,"that times of refreshing may come from the presence of the Lord, and that he may send the Christ appointed for you, Jesus,",Acts 3.20,AKJV,"Acts 3.20 And hee shall send Iesus Christ, which before was preached vnto you.",False
Acts 9.28,"So he went in and out among them at Jerusalem, preaching boldly in the name of the Lord.",Acts 9.28,AKJV,"Acts 9.28 And he was with them comming in, and going out at Hierusalem.",False
1 Corinthians 14.38,"If anyone does not recognize this, he is not recognized.",1 Corinthians 14.38,AKJV,"1 Corinthians 14.38 But if any man bee ignorant, let him be ignorant.",False
1 Corinthians 16.24,My love be with you all in Christ Jesus. Amen.,1 Corinthians 16.24,AKJV,"1 Corinthians 16.24 My loue be with you all in Christ Iesus, Amen. The first Epistle to the Corinthians was written from Philippi by Stephanas, and Fortunatus, and Achaicus, and Timotheus.",False
2 Corinthians 2.6,"Now if anyone has caused pain, he has caused it not to me, but in some measure- not to put it too severely- to all of you.",2 Corinthians 2.6,AKJV,"2 Corinthians 2.6 Sufficient to such a man is this punishment, which was inflicted of many.",False
2 Corinthians 12.1,"I must go on boasting. Though there is nothing to be gained by it, I will go on to visions andrevelations of the Lord.",2 Corinthians 12.1,AKJV,"2 Corinthians 12.1 It is not expedient for me, doubtlesse, to glory, I wil come to visions and reuelations of the Lord.",False
1 Thessalonians 5.28,The grace of our Lord Jesus Christ be with you.,1 Thessalonians 5.28,AKJV,"1 Thessalonians 5.28 The grace of our Lord Iesus Christ be with you, Amen. The first Epistle vnto the Thessalonians, was written from Athens.",False
Philemon 1.25,The grace of the Lord Jesus Christ be with your spirit.,Philemon 1.25,AKJV,"Philemon 1.25 The grace of our Lord Iesus Christ be with your spirit. Amen.Written from Rome to Philemon, by Onesimus a seruant.",False
Revelation 7.6,"12,000 from the tribe of Asher, 12,000 from the tribe of Naphtali, 12,000 from the tribe of Manasseh,",Revelation 7.6,AKJV,Revelation 7.6 Of the tribe of Aser were sealed twelue thousand. Of the tribe of Nepthali were sealed twelue thousand. Of the tribe of Manasses were sealed twelue thousand.,False
Genesis 34.29,"All their wealth, all their little ones and their wives, all that was in the houses, they captured and plundered.",Genesis 34.29,Douay-Rheims,"Genesis 34.29 And their children and wives they took captive,",False
Leviticus 1.12,"And he shall cut it into pieces, with its head and its fat, and the priest shall arrange them on the wood that is on the fire on the altar,",Leviticus 1.12,Douay-Rheims,"Leviticus 1.12 And they shall divide the joints, the head, and all that cleave to the liver: and shall lay them upon the wood, under which the fire is to be put:",False
Leviticus 3.9,"Then from the sacrifice of the peace offering he shall offer as a food offering to the LORD its fat; he shall remove the whole fat tail, cut off close to the backbone, and the fat that covers the entrails and all the fat that is on the entrails",Leviticus 3.9,Douay-Rheims,"Leviticus 3.9 And they shall offer of the victim of peace offerings a sacrifice to the Lord: the fat and the whole rump,",False
Leviticus 3.14,"Then he shall offer from it, as his offering for a food offering to the LORD, the fat covering the entrails and all the fat that is on the entrails",Leviticus 3.14,Douay-Rheims,"Leviticus 3.14 And they shall take of it for the food of the Lord’s fire, the fat that covereth the belly, and that covereth all the vital parts:",False
Leviticus 4.13,"""If the whole congregation of Israel sins unintentionally and the thing is hidden from the eyes of the assembly, and they do any one of the things that by the LORD's commandments ought not to be done, and they realize their guilt,",Leviticus 4.13,Douay-Rheims,"Leviticus 4.13 And if all the multitude of Israel shall be ignorant, and through ignorance shall do that which is against the commandment of the Lord,",False
Leviticus 5.13,"Thus the priest shall make atonement for him for the sin which he has committed in any one of these things, and he shall be forgiven. And the remainder shall be for the priest, as in the grain offering.""",Leviticus 5.13,Douay-Rheims,"Leviticus 5.13 Praying for him and making atonement: but the part that is left, he himself shall have for a gift.",False
Leviticus 6.4,if he has sinned and has realized his guilt and will restore what he took by robbery or what he got by oppression or the deposit that was committed to him or the lost thing that he found,Leviticus 6.4,Douay-Rheims,"Leviticus 6.4 Being convicted of the offence, he shall restore",False
Leviticus 6.21,"It shall be made with oil on a griddle. You shall bring it well mixed, in baked pieces like a grain offering, and offer it for a pleasing aroma to the LORD.",Leviticus 6.21,Douay-Rheims,"Leviticus 6.21 It shall be tempered with oil, and shall be fried in a fryingpan.",False
Leviticus 7.30,"His own hands shall bring the LORD's food offerings. He shall bring the fat with the breast, that the breast may be waved as a wave offering before the LORD.",Leviticus 7.30,Douay-Rheims,"Leviticus 7.30 He shall hold in his hands the fat of the victim, and the breast: and when he hath offered and consecrated both to the Lord, he shall deliver them to the priest,",False
Leviticus 9.12,"Then he killed the burnt offering, and Aaron's sons handed him the blood, and he threw it against the sides of the altar.",Leviticus 9.12,Douay-Rheims,"Leviticus 9.12 He immolated also the victim of holocaust: and his sons brought him the blood thereof, which he poured round about on the altar.",False
Leviticus 11.47,to make a distinction between the unclean and the clean and between the living creature that may be eaten and the living creature that may not be eaten.,Leviticus 11.47,Douay-Rheims,"Leviticus 11.47 That you may know the differences of the clean, and unclean, and know what you ought to eat, and what to refuse.",False
Leviticus 13.32,"and on the seventh day the priest shall examine the disease. If the itch has not spread, and there is in it no yellow hair, and the itch appears to be no deeper than the skin,",Leviticus 13.32,Douay-Rheims,"Leviticus 13.32 And on the seventh day he shall look upon it. If the spot be not grown, and the hair keep its colour, and the place of the blemish be even with the other flesh:",False
Leviticus 13.33,"then he shall shave himself, but the itch he shall not shave; and the priest shall shut up the person with the itching disease for another seven days.",Leviticus 13.33,Douay-Rheims,"Leviticus 13.33 The man shall be shaven all but the place of the spot, and he shall be shut up other seven days:",False
Leviticus 13.34,"And on the seventh day the priest shall examine the itch, and if the itch has not spread in the skin and it appears to be no deeper than the skin, then the priest shall pronounce him clean. And he shall wash his clothes and be clean.",Leviticus 13.34,Douay-Rheims,"Leviticus 13.34 If on the seventh day the evil seem to have stayed in its place, and not lower than the other flesh, he shall cleanse him, and his clothes being washed he shall be clean.",False
Leviticus 13.43,"Then the priest shall examine him, and if the diseased swelling is reddish-white on his bald head or on his bald forehead, like the appearance of leprous disease in the skin of the body,",Leviticus 13.43,Douay-Rheims,"Leviticus 13.43 And the priest perceive this, he shall condemn him undoubtedly of leprosy which is risen in the bald part.",False
Leviticus 13.44,"he is a leprous man, he is unclean. The priest must pronounce him unclean; his disease is on his head.",Leviticus 13.44,Douay-Rheims,"Leviticus 13.44 Now whosoever shall be defiled with the leprosy, and is separated by the judgment of the priest,",False
Leviticus 13.49,"if the disease is greenish or reddish in the garment, or in the skin or in the warp or the woof or in any article made of skin, it is a case of leprous disease, and it shall be shown to the priest.",Leviticus 13.49,Douay-Rheims,"Leviticus 13.49 If it be infected with a white or red spot, it shall be accounted the leprosy, and shall be shewn to the priest.",False
Leviticus 13.50,And the priest shall examine the disease and shut up that which has the disease for seven days.,Leviticus 13.50,Douay-Rheims,Leviticus 13.50 And he shall look upon it and shall shut it up seven days:,False
Leviticus 13.51,"Then he shall examine the disease on the seventh day. If the disease has spread in the garment, in the warp or the woof, or in the skin, whatever be the use of the skin, the disease is a persistent leprous disease; it is unclean.",Leviticus 13.51,Douay-Rheims,"Leviticus 13.51 And on the seventh day when he looketh on it again, if he find that it if grown, it is a Axed leprosy: he shall judge the garment unclean, and every thing wherein it shall be found:",False
Leviticus 13.52,"And he shall burn the garment, or the warp or the woof, the wool or the linen, or any article made of skin that is diseased, for it is a persistent leprous disease. It shall be burned in the fire.",Leviticus 13.52,Douay-Rheims,Leviticus 13.52 And therefore it shall be burnt with fire.,False
Leviticus 13.57,"Then if it appears again in the garment, in the warp or the woof, or in any article made of skin, it is spreading. You shall burn with fire whatever has the disease.",Leviticus 13.57,Douay-Rheims,"Leviticus 13.57 And if after this there appear in those places that before were without spot, a flying and wandering leprosy: it must be burnt with fire.",False
Leviticus 13.58,"But the garment, or the warp or the woof, or any article made of skin from which the disease departs when you have washed it, shall then be washed a second time, and be clean.""",Leviticus 13.58,Douay-Rheims,"Leviticus 13.58 If it cease, he shall wash with water the parts that are pure, the second time, and they shall be clean.",False
Leviticus 14.20,"And the priest shall offer the burnt offering and the grain offering on the altar. Thus the priest shall make atonement for him, and he shall be clean.",Leviticus 14.20,Douay-Rheims,"Leviticus 14.20 And put it on the altar with the libations thereof, and the man shall be rightly cleansed.",False
Leviticus 14.28,"And the priest shall put some of the oil that is in his hand on the lobe of the right ear of him who is to be cleansed and on the thumb of his right hand and on the big toe of his right foot, in the place where the blood of the guilt offering was put.",Leviticus 14.28,Douay-Rheims,"Leviticus 14.28 And he shall touch the tip of the right ear of him that is cleansed, and the thumb of his right hand and the great toe of his right foot, in the place of the blood that was shed for trespass.",False
Leviticus 14.31,"one for a sin offering and the other for a burnt offering, along with a grain offering. And the priest shall make atonement before the LORD for him who is being cleansed.",Leviticus 14.31,Douay-Rheims,"Leviticus 14.31 One for trespass, and the other for a holocaust, with their libations.",False
Leviticus 14.56,"and for a swelling or an eruption or a spot,",Leviticus 14.56,Douay-Rheims,"Leviticus 14.56 Of a scar and of blisters breaking out, of a shining spot, and when the colours are diversely changed:",False
Leviticus 15.3,"And this is the law of his uncleanness for a discharge: whether his body runs with his discharge, or his body is blocked up by his discharge, it is his uncleanness.",Leviticus 15.3,Douay-Rheims,"Leviticus 15.3 And then shall he be judged subject to this evil, when a filthy humour, at every moment, cleaveth to his flesh, and gathereth there.",False
Leviticus 15.15,"And the priest shall use them, one for a sin offering and the other for a burnt offering. And the priest shall make atonement for him before the LORD for his discharge.",Leviticus 15.15,Douay-Rheims,"Leviticus 15.15 Who shall offer one for sin, and the other for a holocaust: and he shall pray for him before the Lord, that he may be cleansed of the issue of his seed.",False
Leviticus 15.20,And everything on which she lies during her menstrual impurity shall be unclean. Everything also on which she sits shall be unclean.,Leviticus 15.20,Douay-Rheims,"Leviticus 15.20 Every one that toucheth her, shall be unclean until the evening.",False
Leviticus 15.23,"Whether it is the bed or anything on which she sits, when he touches it he shall be unclean until the evening.",Leviticus 15.23,Douay-Rheims,"Leviticus 15.23 Whosoever shall touch any vessel on which she sitteth, shall wash his clothes: and himself being washed with water, shall be defiled until the evening.",False
Leviticus 16.3,But in this way Aaron shall come into the Holy Place: with a bull from the herd for a sin offering and a ram for a burnt offering.,Leviticus 16.3,Douay-Rheims,"Leviticus 16.3 Unless he first do these things: He shall offer a calf for sin, and a ram for a holocaust.",False
Leviticus 19.22,"And the priest shall make atonement for him with the ram of the guilt offering before the LORD for his sin that he has committed, and he shall be forgiven for the sin that he has committed.",Leviticus 19.22,Douay-Rheims,"Leviticus 19.22 And the priest shall pray for him and for his sin before the Lord, and he shall have mercy on him, and the sin shall be forgiven.",False
Leviticus 25.15,"You shall pay your neighbor according to the number of years after the jubilee, and he shall sell to you according to the number of years for crops.",Leviticus 25.15,Douay-Rheims,Leviticus 25.15 And he shall sell to thee according to the computation of the fruits.,False
Leviticus 27.6,"If the person is from a month old up to five years old, the valuation shall be for a male five shekels of silver, and for a female the valuation shall be three shekels of silver.",Leviticus 27.6,Douay-Rheims,Leviticus 27.6 From one month until the fifth year. for a male shall be given five sides: for a female three.,False
Numbers 1.17,"Moses and Aaron took these men who had been named,",Numbers 1.17,Douay-Rheims,Numbers 1.17 Whom Moses and Aaron took with all the multitude of the common people:,False
Numbers 1.21,"those listed of the tribe of Reuben were 46,500.",Numbers 1.21,Douay-Rheims,Numbers 1.21 Were forty-six thousand five hundred.,False
Numbers 1.27,"those listed of the tribe of Judah were 74,600.",Numbers 1.27,Douay-Rheims,Numbers 1.27 Were reckoned up seventy-four thousand six hundred.,False
Numbers 1.29,"those listed of the tribe of Issachar were 54,400.",Numbers 1.29,Douay-Rheims,Numbers 1.29 Were reckoned up fifty-four thousand four hundred.,False
Numbers 1.35,"those listed of the tribe of Manasseh were 32,200.",Numbers 1.35,Douay-Rheims,Numbers 1.35 Thirty-two thousand two hundred.,False
Numbers 1.39,"those listed of the tribe of Dan were 62,700.",Numbers 1.39,Douay-Rheims,Numbers 1.39 Sixty-two thousand seven hundred.,False
Numbers 1.46,"all those listed were 603,550.",Numbers 1.46,Douay-Rheims,Numbers 1.46 Were six hundred and three thousand five hundred and fifty men.,False
Numbers 2.32,"These are the people of Israel as listed by their fathers' houses. All those listed in the camps by theircompanies were 603,550.",Numbers 2.32,Douay-Rheims,"Numbers 2.32 This is the number of the children of Israel, of their army divided according to the houses of their kindreds and their troops, six hundred and three thousand five hundred and fifty.",False
Numbers 3.8,"They shall guard all the furnishings of the tent of meeting, and keep guard over the people of Israel as they minister at the tabernacle.",Numbers 3.8,Douay-Rheims,"Numbers 3.8 And let them keep the vessels of the tabernacle, serving in the ministry thereof.",False
Numbers 3.9,And you shall give the Levites to Aaron and his sons; they are wholly given to him from among the people of Israel.,Numbers 3.9,Douay-Rheims,"Numbers 3.9 And thou shalt give the Levites for a gift,",False
Numbers 3.16,"So Moses listed them according to the word of the LORD, as he was commanded.",Numbers 3.16,Douay-Rheims,Numbers 3.16 Moses numbered them as the Lord had commanded.,False
Numbers 3.18,And these are the names of the sons of Gershon by their clans: Libni and Shimei.,Numbers 3.18,Douay-Rheims,Numbers 3.18 The sons of Gerson: Lebni and Semei.,False
Numbers 3.20,"And the sons of Merari by their clans: Mahli and Mushi. These are the clans of the Levites, by their fathers' houses.",Numbers 3.20,Douay-Rheims,Numbers 3.20 The sons of Merari: Moholi and Musi.,False
Numbers 3.25,"And the guard duty of the sons of Gershon in the tent of meeting involved the tabernacle, the tent with its covering, the screen for the entrance of the tent of meeting,",Numbers 3.25,Douay-Rheims,Numbers 3.25 And their charge shall be in the tabernacle of the covenant:,False
Numbers 3.27,To Kohath belonged the clan of the Amramites and the clan of the Izharites and the clan of the Hebronites and the clan of the Uzzielites; these are the clans of the Kohathites.,Numbers 3.27,Douay-Rheims,Numbers 3.27 Of the kindred of Caath come the families of the Amramites and Jesaarites and Hebronites and Ozielites. These are the families of the Caathites reckoned up by their names:,False
Numbers 3.30,with Elizaphan the son of Uzziel as chief of the fathers' house of the clans of the Kohathites.,Numbers 3.30,Douay-Rheims,Numbers 3.30 And their prince shall be Elisaphan the son of Oziel:,False
Numbers 3.35,And the chief of the fathers' house of the clans of Merari was Zuriel the son of Abihail. They were to camp on the north side of the tabernacle.,Numbers 3.35,Douay-Rheims,Numbers 3.35 Their prince Suriel the son of Abihaiel: they shall camp on the north side.,False
Numbers 4.3,"from thirty years old up to fifty years old, all who can come on duty, to do the work in the tent of meeting.",Numbers 4.3,Douay-Rheims,"Numbers 4.3 From thirty years old and upward, to fifty years old, of all that go in to stand and to minister in the tabernacle of the covenant.",False
Numbers 4.10,And they shall put it with all its utensils in a covering of goatskin and put it on the carrying frame.,Numbers 4.10,Douay-Rheims,Numbers 4.10 And over all they shall put a cover of violet skins and put in the bars.,False
Numbers 4.30,"From thirty years old up to fifty years old, you shall list them, everyone who can come on duty, to do the service of the tent of meeting.",Numbers 4.30,Douay-Rheims,"Numbers 4.30 From thirty years old and upward, unto fifty years old, all that go in to the office of their ministry, and to the service of the covenant of the testimony.",False
Numbers 4.36,"and those listed by clans were 2,750.",Numbers 4.36,Douay-Rheims,Numbers 4.36 And they were found two thousand seven hundred and fifty.,False
Numbers 4.39,"from thirty years old up to fifty years old, everyone who could come on duty for service in the tent of meeting",Numbers 4.39,Douay-Rheims,"Numbers 4.39 From thirty years old and upward, unto fifty years old, all that go in to minister in the tabernacle of the covenant:",False
Numbers 4.44,"those listed by clans were 3,200.",Numbers 4.44,Douay-Rheims,Numbers 4.44 And they were found three thousand two hundred.,False
Numbers 4.48,"those listed were 8,580.",Numbers 4.48,Douay-Rheims,Numbers 4.48 Were in all eight thousand five hundred and eighty.,False
Numbers 10.15,And over the company of the tribe of the people of Issachar was Nethanel the son of Zuar.,Numbers 10.15,Douay-Rheims,"Numbers 10.15 In the tribe of the sons of Issachar, the prince was Nathanael the son of Suar.",False
Numbers 10.20,And over the company of the tribe of the people of Gad was Eliasaph the son of Deuel.,Numbers 10.20,Douay-Rheims,"Numbers 10.20 And in the tribe of Cad, the prince was Eliasaph the son of Duel.",False
Numbers 13.3,"So Moses sent them from the wilderness of Paran, according to the command of the LORD, all of them men who were heads of the people of Israel.",Numbers 13.3,Douay-Rheims,"Numbers 13.3 Send men to view the land of Chanaan, which I will give to the children of Israel, one of every tribe, of the rulers.",False
Numbers 13.5,"from the tribe of Simeon, Shaphat the son of Hori;",Numbers 13.5,Douay-Rheims,"Numbers 13.5 Of the tribe of Ruben, Sammua the son of Zechur.",False
