verse_id,text,verse_text,score,prediction,DS_prediction,correction,length_disparity,match
Philippians 4.8 (Vulgate),"Finally, brethren, whatsoeuer things are true, whatsoeuer things are honest, whatsoeuer things are iust, whatsoeuer things are pure, whatsoeuer things are louely, whatsoeuer things are of good report: if there bee any vertue, and if there bee any praise, thinke on these things:","De cetero fratres, quaecumque sunt vera, quaecumque pudica, quaecumque justa, quaecumque sancta, quaecumque amabilia, quaecumque bonae famae, siqua virtus, siqua laus disciplinae, haec cogitate.",0.7653245329856873,True,,,False,
Numbers 31.30 (Vulgate),"But of the halfe of the children of Israel thou shalt take one, taken out of fiftie, both of the persons, of the beeues, of the asses, and of the sheepe, euen of all the cattel: and thou shalt giue them vnto the Leuites, which haue the charge of the Tabernacle of the Lord.","Ex media quoque parte filiorum Israel accipies quinquagesimum caput hominum, et boum, et asinorum, et ovium, cunctorum animantium, et dabis ea Levitis, qui excubant in custodiis tabernaculi Domini.",0.7821913957595825,True,,,False,
Psalms 10.1 (Vulgate); Psalms 18.1 (Vulgate); Psalms 19.1 (Vulgate); Psalms 20.1 (Vulgate); Psalms 63.1 (Vulgate); Psalms 108.1 (Vulgate); Psalms 139.1 (Vulgate),"To him that excelleth. A Psalme of Dauid the seruant of the Lord, which spake unto the Lord the wordes of this song (in the day that the Lord delivered him for the hande of all this enemies, and form the and of saul) and sayd, I will loue thee dearely, O Lord my strength.",In finem. Psalmus David.,0.7931305766105652,False,True,,True,False
Numbers 22.6 (Vulgate),"Come now therefore, I pray thee, and curse me this people (for they are stronger then I) so it may be that I shall be able to smite them, and to driue them out of the land: for I knowe that hee, whome thou blessest, is blessed, and he whom thou cursest, shall be cursed.","Veni igitur, et maledic populo huic, quia fortior me est: si quomodo possim percutere et ejicere eum de terra mea. Novi enim quod benedictus sit cui benedixeris, et maledictus in quem maledicta congesseris.",0.784584641456604,True,,,False,
Deuteronomy 4.32 (Vulgate),"For inquire now of the dayes that are past, which were before thee, since the day that God created man vpon the earth, and aske from the one ende of heauen vnto the other, if there came to passe such a great thing as this, or whether any such like thing hath bene heard.","Interroga de diebus antiquis, qui fuerunt ante te ex die quo creavit Deus hominem super terram, a summo caelo usque ad summum ejus, si facta est aliquando hujuscemodi res, aut umquam cognitum est,",0.7987492680549622,True,,,False,
2 Kings 25.17 (Douay-Rheims),"The height of the one pillar was eighteene cubits, and the chapiter thereon was brasse, and the height of the chapiter was with networke three cubites, and pomegranates vpon the chapiter rounde about, all of brasse: and likewise was the second pillar with the networke.","One pillar was eighteen cubits high, and the chapiter of brass which was upon it was three cubits high: and the network, and the pomegranates that were upon the chapiter of the pillar, were all of brass: and the second pillar had the like adorning.",0.7769073843955994,True,,,False,
2 Kings 25.17 (Vulgate),"The height of the one pillar was eighteene cubits, and the chapiter thereon was brasse, and the height of the chapiter was with networke three cubites, and pomegranates vpon the chapiter rounde about, all of brasse: and likewise was the second pillar with the networke.","Decem et octo cubitos altitudinis habebat columna una: et capitellum aereum super se altitudinis trium cubitorum: et retiaculum, et malogranata super capitellum columnae, omnia aerea: similem et columna secunda habebat ornatum.",0.7618929743766785,True,,,False,
2 Chronicles 29.16 (Douay-Rheims),"And the Priests went into the inner partes of the house of the Lord, to clense it, and brought out all the vncleannesse that they founde in the Temple of the Lord, into the court of the house of the Lord: and the Leuites tooke it, to cary it out vnto the brooke Kidron.","And the priests went into the temple of the Lord to sanctify it, and brought out all the uncleanness that they found within to the entrance of the house of the Lord, and the Levites took it away, and carried it out abroad to the torrent Cedron.",0.7736095190048218,True,,,False,
Leviticus 10.19 (Wycliffe),"And Aaron said vnto Moses, Behold, this day haue they offred their sinne offring, and their burnt offring before the Lord, and such things as thou knowest are come vnto mee: If I had eaten the sinne offring to day, should it haue bene accepted in the sight of the Lord?","And Aaron answeride, Sacrifice for synne, and brent sacrifice is offrid to dai bifor the Lord; sotheli this that thou seest, bifelde to me; how myyte Y ete it, ether plese God in cerymonyes with soreuful soule?",0.7874287366867065,True,True,,False,True
2 Kings 10.6 (AKJV),"And he wrote letters the second time to them, saying: If you be mine, and will obey me, take the heads of the sons of your master, and come to me to Jezrahel by tomorrow this time. Now the king's sons, being seventy men, were brought up with the chief men of the city.","Then he wrote a letter the second time to them, saying, If yee be mine, and if ye will hearken vnto my voyce, take ye the heads of the men your masters sonnes, and come to me to Iezreel by to morow this time: (now the kings sonnes being seuenty persons, were with the great men of the city, which brought them vp.)",0.7779321074485779,True,True,,False,True
2 Kings 13.25 (Douay-Rheims),"Therefore Iehoash the sonne of Iehoahaz returned, and tooke out of the hand of Ben-hadad the sonne of Hazael the cities which he had taken away by warre out of the hand of Iehoahaz his father: for three times did Ioash beate him, and restored the cities vnto Israel.","Now Joas the son of Joachaz, took the cities out of the hand of Benadad, the son of Hazael, which he had taken out of the hand of Joachaz his father by war, three times did Joas beat him, and he restored the cities to Israel.",0.7804309725761414,True,,,False,
Numbers 27.1 (Wycliffe),"Then came the daughters of Zelophehad, the sonne of Hepher, the sonne of Gilead, the sonne of Machir, the sonne of Manasseh, of the familie of Manasseh, the sonne of Ioseph (and the names of his daughters were these, Mahlah, Noah and Hoglah, and Milcah, and Tirzah)","Forsothe the douytris of Salphaat, sone of Epher, sone of Galaad, sone of Machir, sone of Manasses, that was the sone of Joseph, neiyeden; of whiche douytris these ben the names; Maala, and Noha, and Egla, and Melcha, and Thersa.",0.7446625828742981,True,True,,False,True
1 Kings 21.2 (Vulgate),"And Ahab spake vnto Naboth, saying, Giue me thy vineyarde, that I may make mee a garden of herbes thereof, because it is neere by mine house: and I will giue thee for it a better vineyarde then it is: or if it please thee, I will giue thee the worth of it in money.","Locutus est ergo Achab ad Naboth, dicens: Da mihi vineam tuam, ut faciam mihi hortum olerum, quia vicina est, et prope domum meam: daboque tibi pro ea vineam meliorem, aut si commodius tibi putas, argenti pretium, quanto digna est.",0.7477073669433594,True,,,False,
1 Kings 21.4 (Vulgate),"Then Ahab came into his house heauie and in displeasure, because of the word which Naboth the Izreelite had spoken vnto him. for hee had sayde, I will not giue thee the inheritance of my fathers, and he lay vpon his bed, and turned his face and would eate no bread.","Venit ergo Achab in domum suam indignans, et frendens super verbo quod locutus fuerat ad eum Naboth Jezrahelites, dicens: Non dabo tibi haereditatem patrum meorum. Et projiciens se in lectulum suum, avertit faciem suam ad parietem, et non comedit panem.",0.799778163433075,True,True,,False,True
2 Kings 7.12 (Douay-Rheims),"Qui surrexit nocte, et ait ad servos suos: Dico vobis quid fecerint nobis Syri: sciunt quia fame laboramus, et idcirco egressi sunt de castris, et latitant in agris, dicentes: Cum egressi fuerint de civitate, capiemus eos vivos, et tunc civitatem ingredi poterimus.","And he arose in the night and said to his servants: I tell you what the Syrians have done to us: They know that we suffer great famine, and therefore they are gone out of the camp, and lie hid in the fields, saying: When they come out of the city we shall take them alive, and then we may get into the city.",0.7781918048858643,True,,,False,
Numbers 27.1 (Vulgate),"Then came the daughters of Zelophehad, the sonne of Hepher, the sonne of Gilead, the sonne of Machir, the sonne of Manasseh, of the familie of Manasseh, the sonne of Ioseph (and the names of his daughters were these, Mahlah, Noah and Hoglah, and Milcah, and Tirzah)","Accesserunt autem filiae Salphaad, filii Hepher, filii Galaad, filii Machir, filii Manasse, qui fuit filius Joseph: quarum sunt nomina, Maala, et Noa, et Hegla, et Melcha, et Thersa.",0.7475921511650085,True,,,False,
Matthew 13.15 (Vulgate),"For the hart of this people is waxed grosse, and with their eares they haue heauily heard, and their eyes they haue shut: lest any time they may see with their eyes, and heare with their eares, and vnderstand with their hart and be converted, and I may heale them.","Incrassatum est enim cor populi hujus, et auribus graviter audierunt, et oculos suos clauserunt: nequando videant oculis, et auribus audiant, et corde intelligant, et convertantur, et sanem eos.",0.7831403017044067,True,True,,False,True
Daniel 3.26 (Vulgate),"Then Nebuchad-nezzar came neere to the mouth of the burning fierie furnace, and spake and said, Shadrach, Meshach and Abednego, ye seruants of the most High God, come forth, and come hither. Then Shadrach, Meshach, and Abednego came forth of the midst of the fire.","Benedictus es, Domine Deus patrum nostrorum, et laudabile, et gloriosum nomen tuum in saecula:",0.7970200181007385,False,True,,False,False
Matthew 13.15 (Wycliffe),"For the hart of this people is waxed grosse, and with their eares they haue heauily heard, and their eyes they haue shut: lest any time they may see with their eyes, and heare with their eares, and vnderstand with their hart and be converted, and I may heale them.","for the herte of this puple is greetli fattid, and thei herden heuyli with eeris, and thei han closed her iyen, lest sumtime thei seen with iyen, and with eeris heeren, and vndirstonden in herte, and thei be conuertid, and Y heele hem.",0.7943858504295349,True,,,False,
Judith 13.25 (Douay-Rheims),"quia hodie nomen tuum ita magnificavit, ut non recedat laus tua de ore hominum qui memores fuerint virtutis Domini in aeternum, pro quibus non pepercisti animae tuae propter angustias et tribulationem generis tui, sed subvenisti ruinae ante conspectum Dei nostri.","Because he hath so magnified thy name this day, that thy praise shall not depart out of the mouth of men who shall be mindful of the power of the Lord for ever, for that thou hast not spared thy life, by reason of the distress and tribulation of thy people, but hast prevented our ruin in the presence of our God.",0.7582643032073975,True,,,False,
Matthew 13.15 (Tyndale),"For this peoples heart is waxed fat, and their eares are dull of hearing, and with their eyes they haue winked, lest they should see with their eyes, and heare with their eares, and should vnderstand with their hearts, and should returne, that I might heale them.",For this peoples hertes are wexed grosse and their eares were dull of herynge and their eyes have they closed lest they shulde se with their eyes and heare with their eares and shuld vnderstonde with their hertes and shuld tourne that I myght heale them.,0.7797075510025024,True,,,False,
1 Maccabees 14.35 (Douay-Rheims),"Et vidit populus actum Simonis, et gloriam quam cogitabat facere genti suae, et posuerunt eum ducem suum, et principem sacerdotum, eo quod ipse fecerat haec omnia, et justitiam, et fidem, quam conservavit genti suae, et exquisivit omni modo exaltare populum suum.","And the people seeing the acts of Simon, and to what glory he meant to bring his nation, made him their prince, and high priest, because he had done all these things, and for the justice, and faith, which he kept to his nation, and for that he sought by all means to advance his people.",0.7795896530151367,True,,,False,
Matthew 13.15 (ODRV),"For this peoples heart is waxed fat, and their eares are dull of hearing, and with their eyes they haue winked, lest they should see with their eyes, and heare with their eares, and should vnderstand with their hearts, and should returne, that I might heale them.","For the hart of this people is waxed grosse, and with their eares they haue heauily heard, and their eyes they haue shut: lest any time they may see with their eyes, and heare with their eares, and vnderstand with their hart and be converted, and I may heale them.",0.7767487168312073,True,True,,False,True
Numbers 18.11 (Wycliffe),"This also shalbe thine: the heaue offering of their gift, with all the shake offerings of the children of Israel: I haue giuen them vnto thee and to thy sonnes and to thy daughters with thee, to be a duetie for euer al the cleane in thine house shall eate of it.","Forsothe Y haue youe to thee, and to thi sones and douytris, bi euerlastynge riyt, the firste fruytis whiche the sones of Israel a vowen and offren; he that is clene in thin hous, schal ete tho.",0.7964766025543213,True,,,False,
Numbers 18.11 (Douay-Rheims),"This also shalbe thine: the heaue offering of their gift, with all the shake offerings of the children of Israel: I haue giuen them vnto thee and to thy sonnes and to thy daughters with thee, to be a duetie for euer al the cleane in thine house shall eate of it.","But the firstfruits, which the children of Israel shall vow and offer, I have given to thee, and to thy sons, and to thy daughters, by a perpetual law. He that is clean in thy house, shall eat them.",0.792716920375824,True,True,,False,True
Numbers 22.5 (Wycliffe),"Hee sent messengers therefore vnto Balaam the sonne of Beor to Pethor (which is by the riuer of the lande of the children of his folke) to call him, saying, Beholde, there is a people come out of Egypt, which couer the face of the earth, and lye ouer against me.","Therfor he sente messangeris to Balaam, the sone of Beor, a fals diuynour, that dwellide on the flood of the lond of the sones of Amon, that thei schulden clepe hym, and schulden seie, Lo! a puple yede out of Egipt, which puple hilide the face of erthe, and sittith ayens me.",0.7777812480926514,True,,,False,
2 Kings 24.2 (Vulgate),"And the Lord sent against him bandes of the Caldees, and bands of the Aramites, and bands of the Moabites, and bandes of the Ammonites, and he sent them against Iudah to destroy it, according to the worde of the Lord, which he spake by his seruants the Prophets.","Immisitque ei Dominus latrunculos Chaldaeorum, et latrunculos Syriae, et latrunculos Moab, et latrunculos filiorum Ammon: et immisit eos in Judam ut disperderent eum, juxta verbum Domini quod locutus fuerat per servos suos prophetas.",0.7972031831741333,True,,,False,
Ezekiel 28.13 (Douay-Rheims),"In deliciis paradisi Dei fuisti: omnis lapis pretiosus operimentum tuum, sardius, topazius, et jaspis, chrysolithus, et onyx, et beryllus, sapphirus, et carbunculus, et smaragdus: aurum, opus decoris tui: et foramina tua, in die qua conditus es, praeparata sunt.","Thou wast in the pleasures of the paradise of God: every precious stone teas thy covering: the sardius, the topaz, and the jasper, the chrysolite, and the onyx, and the beryl, the sapphire, and the carbuncle, and the emerald: gold the work of thy beauty: and thy pipes were prepared in the day that thou wast created.",0.7909949421882629,True,,,False,
2 Kings 12.7 (Douay-Rheims),"Then King Iehoash called for Iehoiada the Priest, and the other Priestes, and sayd vnto them, Why repaire yee not the ruines of the Temple? nowe therefore receiue no more money of your acquaintance, except yee deliuer it to repaire the ruines of the Temple.","And king Joas called Joiada the high priest and the priests, saying to them: Why do you not repair the temple? Take you therefore money no more according to your order, but restore it for the repairing of the temple.",0.7957422137260437,True,,,False,
2 Kings 23.2 (Douay-Rheims),"Ascenditque rex templum Domini, et omnes viri Juda, universique qui habitabant in Jerusalem cum eo sacerdotes et prophetae, et omnis populus a parvo usque ad magnum: legitque, cunctis audientibus, omnia verba libri foederis, qui inventus est in domo Domini.","And the king went up to the temple of the Lord, and all the men of Juda, and all the inhabitants of Jerusalem with him, the priests and the prophets, and all the people both little and great: and in the hearing of them all he read all the words of the book of the covenant, which was found in the house of the Lord.",0.796619713306427,True,,,False,
Revelation 5.13 (Tyndale),"And al the creatures which are in heauen, and on the earth, and vnder the earth, and in the sea, and al that are in them, heard I, saying, Praise, and honour, and glory, and power be vnto him, that sitteth vpon the throne, and vnto the Lambe for euermore.",And all creatures which are in heven and on the erth and vnder the erth and in the see and all that are in them herd I sayinge: blyssinge honour glory and power be vnto hym that sytteth apon the seate and vnto the lambe for ever more.,0.7749369144439697,True,True,,False,True
Numbers 16.38 (Vulgate),"The censers, I say, of these sinners, that destroyed themselues: and let them make of them broade plates for a couering of the Altar: for they offered them before the Lord, therefore they shalbe holy, and they shall be a signe vnto the children of Israel.","in mortibus peccatorum: producatque ea in laminas, et affigat altari, eo quod oblatum sit in eis incensum Domino, et sanctificata sint, ut cernant ea pro signo et monimento filii Israel.",0.7467901110649109,True,,,False,
