ESV,text,Parallel,version,verse_text,rank,prediction,toCheck,correction
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.11,Vulgate,1 Corinthians 11.11 Verumtamen neque vir sine muliere: neque mulier sine viro in Domino.,0.0,True,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.12,Geneva,"1 Corinthians 11.12 For as the woman is of the man, so is the man also by the woman: but all things are of God.",0.0,True,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.13,Geneva,"1 Corinthians 11.13 Iudge in your selues, Is it comely that a woman pray vnto God vncouered?",,False,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.12,AKJV,1 Corinthians 11.12 For as the woman is of the man: euen so is the man also by the woman; but all things of God.,0.0,True,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.13,Tyndale,1 Corinthians 11.13 Iudge in youre selves whether it be coly that a woman praye vnto god bare heeded.,3.0,False,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.12,Tyndale,1 Corinthians 11.12 For as the woman is of the man even so is the man by the woman: but all is of God.,0.0,True,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.15,Tyndale,1 Corinthians 11.15 and a prayse to a woman yf she have longe heere? For her heere is geven her to cover her with all.,1.0,False,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.11,Tyndale,1 Corinthians 11.11 Neverthelesse nether is the man with oute the woman nether the woman with out the man in the lorde.,2.0,False,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.13,AKJV,"1 Corinthians 11.13 Iudge in your selues, is it comely that a woman pray vnto God vncouered?",,False,False,
1 Corinthians 11.13,"1 Corinthians 11.13 for as woman was made from man, so man is now born of woman. And all things are from God.",1 Corinthians 11.9,AKJV,1 Corinthians 11.9 Neither was the man created for the woman: but the woman for the man.,4.0,False,False,
1 Corinthians 11.14,1 Corinthians 11.14 Judge for yourselves: is it proper for a wife to pray to God with her head uncovered?,1 Corinthians 11.14,Vulgate,"1 Corinthians 11.14 Nec ipsa natura docet vos, quod vir quidem si comam nutriat, ignominia est illi:",3.0,False,False,
1 Corinthians 11.14,1 Corinthians 11.14 Judge for yourselves: is it proper for a wife to pray to God with her head uncovered?,1 Corinthians 11.15,Vulgate,"1 Corinthians 11.15 mulier vero si comam nutriat, gloria est illi: quoniam capilli pro velamine ei dati sunt.",2.0,False,False,
1 Corinthians 11.14,1 Corinthians 11.14 Judge for yourselves: is it proper for a wife to pray to God with her head uncovered?,1 Corinthians 11.13,Vulgate,1 Corinthians 11.13 Vos ipsi judicate: decet mulierem non velatam orare Deum?,0.0,True,False,
1 Corinthians 11.14,1 Corinthians 11.14 Judge for yourselves: is it proper for a wife to pray to God with her head uncovered?,1 Corinthians 11.12,Vulgate,"1 Corinthians 11.12 Nam sicut mulier de viro, ita et vir per mulierem: omnia autem ex Deo.",1.0,False,False,
1 Corinthians 11.16,"1 Corinthians 11.16 but if a woman has long hair, it is her glory? For her hair is given to her for a covering.",1 Corinthians 11.16,Tyndale,1 Corinthians 11.16 If there be eny man amonge you that lusteth to stryve let him knowe that we have no soche custome nether the congregacions of God.,,False,False,
1 Corinthians 11.16,"1 Corinthians 11.16 but if a woman has long hair, it is her glory? For her hair is given to her for a covering.",1 Corinthians 11.16,Vulgate,"1 Corinthians 11.16 Si quis autem videtur contentiosus esse: nos talem consuetudinem non habemus, neque ecclesia Dei.",,False,False,
1 Corinthians 11.16,"1 Corinthians 11.16 but if a woman has long hair, it is her glory? For her hair is given to her for a covering.",1 Corinthians 11.14,Vulgate,"1 Corinthians 11.14 Nec ipsa natura docet vos, quod vir quidem si comam nutriat, ignominia est illi:",1.0,False,False,
1 Corinthians 11.16,"1 Corinthians 11.16 but if a woman has long hair, it is her glory? For her hair is given to her for a covering.",1 Corinthians 11.15,Vulgate,"1 Corinthians 11.15 mulier vero si comam nutriat, gloria est illi: quoniam capilli pro velamine ei dati sunt.",0.0,True,False,
1 Corinthians 11.16,"1 Corinthians 11.16 but if a woman has long hair, it is her glory? For her hair is given to her for a covering.",1 Corinthians 11.14,Tyndale,1 Corinthians 11.14 Or els doth not nature teach you that it is a shame for a man if he have longe heere:,1.0,False,False,
1 Corinthians 11.16,"1 Corinthians 11.16 but if a woman has long hair, it is her glory? For her hair is given to her for a covering.",1 Corinthians 11.15,Tyndale,1 Corinthians 11.15 and a prayse to a woman yf she have longe heere? For her heere is geven her to cover her with all.,0.0,True,False,
1 Corinthians 11.19,"1 Corinthians 11.19 For, in the first place, when you come together as a church, I hear that there are divisions among you. And I believe it in part,",1 Corinthians 11.19,Vulgate,"1 Corinthians 11.19 Nam oportet et hæreses esse, ut et qui probati sunt, manifesti fiant in vobis.",,False,False,
1 Corinthians 11.19,"1 Corinthians 11.19 For, in the first place, when you come together as a church, I hear that there are divisions among you. And I believe it in part,",1 Corinthians 11.18,Vulgate,"1 Corinthians 11.18 Primum quidem convenientibus vobis in ecclesiam, audio scissuras esse inter vos, et ex parte credo.",0.0,True,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.20,Vulgate,"1 Corinthians 11.20 Convenientibus ergo vobis in unum, jam non est Dominicam cœnam manducare.",,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.19,Vulgate,"1 Corinthians 11.19 Nam oportet et hæreses esse, ut et qui probati sunt, manifesti fiant in vobis.",0.0,True,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.19,ODRV,"1 Corinthians 11.19 For there must be heresies also: that they also which are approued, may be made manifest among you.",0.0,True,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.20,ODRV,"1 Corinthians 11.20 When you come therfore together in one, it is not now to eate our Lordes supper.",,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.18,ODRV,"1 Corinthians 11.18 First indeed when you come together into the Church, I heare that there are schismes among you, and in part I beleeue it.",1.0,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.19,Geneva,"1 Corinthians 11.19 For there must be heresies euen among you, that they which are approoued among you, might be knowen.",0.0,True,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.18,Geneva,"1 Corinthians 11.18 For first of all, when ye come together in the Church, I heare that there are dissentions among you: and I beleeue it to be true in some part.",1.0,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.20,Geneva,"1 Corinthians 11.20 When ye come together therefore into one place, this is not to eate the Lords Supper.",,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.20,AKJV,"1 Corinthians 11.20 When yee come together therefore into one place, this is not to eate the Lords Supper.",,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.18,AKJV,"1 Corinthians 11.18 For first of all when yee come together in the Church, I heare that there be diuisions among you, and I partly beleeue it.",1.0,False,False,
1 Corinthians 11.20,1 Corinthians 11.20 for there must be factions among you in order that those who are genuine among you may be recognized.,1 Corinthians 11.19,AKJV,"1 Corinthians 11.19 For there must bee also heresies among you, that they which are approued may be made manifest among you.",0.0,True,False,
1 Corinthians 11.21,"1 Corinthians 11.21 When you come together, it is not the Lord's supper that you eat.",1 Corinthians 11.20,Vulgate,"1 Corinthians 11.20 Convenientibus ergo vobis in unum, jam non est Dominicam cœnam manducare.",0.0,True,False,
1 Corinthians 11.21,"1 Corinthians 11.21 When you come together, it is not the Lord's supper that you eat.",1 Corinthians 11.23,Vulgate,"1 Corinthians 11.23 Ego enim accepi a Domino quod et tradidi vobis, quoniam Dominus Jesus in qua nocte tradebatur, accepit panem,",2.0,False,False,
1 Corinthians 11.21,"1 Corinthians 11.21 When you come together, it is not the Lord's supper that you eat.",1 Corinthians 11.21,Vulgate,"1 Corinthians 11.21 Unusquisque enim suam cœnam præsumit ad manducandum, et alius quidem esurit, alius autem ebrius est.",,False,False,
1 Corinthians 11.21,"1 Corinthians 11.21 When you come together, it is not the Lord's supper that you eat.",1 Corinthians 11.22,Vulgate,"1 Corinthians 11.22 Numquid domos non habetis ad manducandum, et bibendum? aut ecclesiam Dei contemnitis, et confunditis eos qui non habent? Quid dicam vobis? laudo vos? in hoc non laudo.",1.0,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.21,Geneva,"1 Corinthians 11.21 For euery man when they should eate, taketh his owne supper afore, and one is hungry, and another is drunken.",0.0,True,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.22,Geneva,"1 Corinthians 11.22 Haue ye not houses to eate and to drinke in? despise ye the Church of God, and shame them that haue not? what shall I say to you? shall I prayse you in this? I prayse you not.",,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.21,Tyndale,1 Corinthians 11.21 For every man begynneth a fore to eate his awne supper. And one is hongrye and another is dronken.,0.0,True,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 10.4,Vulgate,1 Corinthians 10.4 And did all drinke the same spirituall drinke: (for they dranke of that spirituall Rocke that followed them: and that Rocke was Christ),2.0,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.20,Tyndale,1 Corinthians 11.20 When ye come to gedder a man cannot eate the lordes supper.,1.0,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.22,Vulgate,"1 Corinthians 11.22 Numquid domos non habetis ad manducandum, et bibendum? aut ecclesiam Dei contemnitis, et confunditis eos qui non habent? Quid dicam vobis? laudo vos? in hoc non laudo.",,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.21,ODRV,"1 Corinthians 11.21 For euery one taketh his owne supper before to eate. And one certes is an hungred, and another is drunke.",0.0,True,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.20,ODRV,"1 Corinthians 11.20 When you come therfore together in one, it is not now to eate our Lordes supper.",2.0,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.22,ODRV,"1 Corinthians 11.22 Why, haue you not houses to eate and drinke in? or contemne ye the Church of God: and confound them that haue not? What shal I say to you? praise I you in this? I doe not praise you.",,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.23,Tyndale,1 Corinthians 11.23 That which I delyvered vnto you I receaved of the lorde. For the lorde Iesus the same nyght in which he was betrayed toke breed:,3.0,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.22,Tyndale,1 Corinthians 11.22 Have ye not houses to eate and to drinke in? Or els despyse ye the congregacion of god and shame them that have not? What shall I saye vnto you? shall I prayse you: In this prayse I you not.,,False,False,
1 Corinthians 11.22,"1 Corinthians 11.22 For in eating, each one goes ahead with his own meal. One goes hungry, another gets drunk.",1 Corinthians 11.21,Vulgate,"1 Corinthians 11.21 Unusquisque enim suam cœnam præsumit ad manducandum, et alius quidem esurit, alius autem ebrius est.",0.0,True,False,
1 Corinthians 11.3,1 Corinthians 11.3 Now I commend you because you remember me in everything and maintain the traditions even as I delivered them to you.,1 Corinthians 11.3,Vulgate,"1 Corinthians 11.3 Volo autem vos scire quod omnis viri caput, Christus est: caput autem mulieris, vir: caput vero Christi, Deus.",,False,False,
1 Corinthians 11.3,1 Corinthians 11.3 Now I commend you because you remember me in everything and maintain the traditions even as I delivered them to you.,1 Corinthians 11.2,Vulgate,"1 Corinthians 11.2 Laudo autem vos fratres quod per omnia mei memores estis: et sicut tradidi vobis, præcepta mea tenetis.",0.0,True,False,
1 Corinthians 11.30,1 Corinthians 11.30 For anyone who eats and drinks without discerning the body eats and drinks judgment on himself.,1 Corinthians 11.30,Vulgate,"1 Corinthians 11.30 Ideo inter vos multi infirmi et imbecilles, et dormiunt multi.",,False,False,
1 Corinthians 11.30,1 Corinthians 11.30 For anyone who eats and drinks without discerning the body eats and drinks judgment on himself.,1 Corinthians 11.29,Vulgate,"1 Corinthians 11.29 Qui enim manducat et bibit indigne, judicium sibi manducat et bibit, non dijudicans corpus Domini.",0.0,True,False,
1 Corinthians 11.30,1 Corinthians 11.30 For anyone who eats and drinks without discerning the body eats and drinks judgment on himself.,1 Corinthians 11.28,Vulgate,"1 Corinthians 11.28 Probet autem seipsum homo: et sic de pane illo edat, et de calice bibat.",1.0,False,False,
1 Corinthians 11.31,"1 Corinthians 11.31 That is why many of you are weak and ill, and some have died.",1 Corinthians 11.31,Vulgate,"1 Corinthians 11.31 Quod si nosmetipsos dijudicaremus, non utique judicaremur.",,False,False,
1 Corinthians 11.31,"1 Corinthians 11.31 That is why many of you are weak and ill, and some have died.",1 Corinthians 11.30,Vulgate,"1 Corinthians 11.30 Ideo inter vos multi infirmi et imbecilles, et dormiunt multi.",0.0,True,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.5,AKJV,"1 Corinthians 11.5 But euery woman that prayeth or prophesieth with her head vncouered, dishonoureth her head: for that is euen all one as if she were shauen.",0.0,True,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.7,Geneva,1 Corinthians 11.7 For a man ought not to couer his head: for as much as he is the image and glory of God: but the woman is the glory of the man.,3.0,False,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.6,Geneva,"1 Corinthians 11.6 Therefore if the woman be not couered, let her also be shorne: and if it be shame for a woman to be shorne or shauen, let her be couered.",1.0,True,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.5,Geneva,"1 Corinthians 11.5 But euery woman that prayeth or prophecieth bare headed, dishonoureth her head: for it is euen one very thing, as though she were shauen.",0.0,True,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.15,AKJV,"1 Corinthians 11.15 But if a woman haue long haire, it is a glory to her: for her haire is giuen her for a couering.",3.0,False,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.7,AKJV,"1 Corinthians 11.7 For a man in deede ought not to couer his head, forasmuch as hee is the image and glory of God: but the woman is the glory of the man.",,False,False,
1 Corinthians 11.7,"1 Corinthians 11.7 For if a wife will not cover her head, then she should cut her hair short. But since it is disgraceful for a wife to cut off her hair or shave her head, let her cover her head.",1 Corinthians 11.6,AKJV,"1 Corinthians 11.6 For if the woman be not couered, let her also bee shorne: but if it bee a shame for a woman to be shorne or shauen, let her be couered.",2.0,True,False,
1 Samuel 24.13,"1 Samuel 24.13 As the proverb of the ancients says, 'Out of the wicked comes wickedness.' But my hand shall not be against you.",1 Samuel 24.13,Geneva,"1 Samuel 24.13 The Lord be iudge betweene thee and me, and the Lord auenge me of thee, and let not mine hand be vpon thee.",,False,False,
1 Samuel 24.13,"1 Samuel 24.13 As the proverb of the ancients says, 'Out of the wicked comes wickedness.' But my hand shall not be against you.",1 Samuel 24.14,Geneva,"1 Samuel 24.14 According as the olde prouerbe sayeth, Wickednesse proceedeth from the wicked, but mine hand be not vpon thee.",0.0,True,False,
1 Samuel 24.6,"1 Samuel 24.6 He said to his men, ""The LORD forbid that I should do this thing to my lord, the LORD's anointed, to put out my hand against him, seeing he is the LORD's anointed.""",1 Samuel 24.7,Geneva,"1 Samuel 24.7 And he said vnto his men, The Lord keepe mee from doing that thing vnto my master the Lords Anoynted, to lay mine hand vpon him: for he is the Anoynted of the Lord.",0.0,True,False,
1 Samuel 24.6,"1 Samuel 24.6 He said to his men, ""The LORD forbid that I should do this thing to my lord, the LORD's anointed, to put out my hand against him, seeing he is the LORD's anointed.""",1 Samuel 24.6,Geneva,"1 Samuel 24.6 And afterward Dauid was touched in his heart, because he had cut off the lappe which was on Sauls garment.",,False,False,
1 Samuel 30.30,"1 Samuel 30.30 in Hormah, in Bor-ashan, in Athach,",1 Samuel 30.30,AKJV,"1 Samuel 30.30 And to them which were in Hormah, and to them which were in Chorashan, and to them which were in Athach,",,True,False,
1 Thessalonians 2.12,"1 Thessalonians 2.12 we exhorted each one of you and encouraged you and charged you to walk in a manner worthy of God, who calls you into his own kingdom and glory.",1 Thessalonians 2.12,ODRV,"1 Thessalonians 2.12 Therfore we also giue thankes to God without intermission: because that when you had receiued of vs the word of the hearing of God, you receiued it not as the word of men, but ( as it is indeed) the word of God, who worketh in you that haue beleeued.",,False,False,
1 Thessalonians 2.12,"1 Thessalonians 2.12 we exhorted each one of you and encouraged you and charged you to walk in a manner worthy of God, who calls you into his own kingdom and glory.",1 Thessalonians 2.11,ODRV,"1 Thessalonians 2.11 As you know in what manner we desiring and comforting you, haue adiured euery one of you (as a father his children) that you would walke worthie of God, who hath called you into his Kingdome and glorie.",0.0,True,False,
1 Thessalonians 2.12,"1 Thessalonians 2.12 we exhorted each one of you and encouraged you and charged you to walk in a manner worthy of God, who calls you into his own kingdom and glory.",1 Thessalonians 2.10,ODRV,"1 Thessalonians 2.10 You are witnesses and God, how holily, and iustly & without blame, we haue been to you that did beleeue.",1.0,False,False,
1 Thessalonians 2.16,1 Thessalonians 2.16 by hindering us from speaking to the Gentiles that they might be saved- so as always to fill up the measure of their sins. But God's wrath has come upon them at last!,1 Thessalonians 2.15,ODRV,"1 Thessalonians 2.15 prohibiting vs to speake to the Gentils that they may be saued, to make vp their sinnes alwaies. For the wrath of God is come vpon them euen to the end.",0.0,True,False,
1 Thessalonians 2.16,1 Thessalonians 2.16 by hindering us from speaking to the Gentiles that they might be saved- so as always to fill up the measure of their sins. But God's wrath has come upon them at last!,1 Thessalonians 2.16,ODRV,"1 Thessalonians 2.16 But we, Brethren, depriued of you for a short time, in sight, not in hart; haue hastned the more aboundantly to see your face with much desire.",,False,False,
2 Corinthians 2.11,"2 Corinthians 2.11 Anyone whom you forgive, I also forgive. What I have forgiven, if I have forgiven anything, has been for your sake in the presence of Christ,",2 Corinthians 2.10,Vulgate,"2 Corinthians 2.10 Cui autem aliquid donastis, et ego: nam et ego quod donavi, si quid donavi, propter vos in persona Christi,",0.0,True,False,
2 Corinthians 2.11,"2 Corinthians 2.11 Anyone whom you forgive, I also forgive. What I have forgiven, if I have forgiven anything, has been for your sake in the presence of Christ,",2 Corinthians 2.11,Vulgate,2 Corinthians 2.11 ut non circumveniamur a Satana: non enim ignoramus cogitationes ejus.,,False,False,
2 Corinthians 2.11,"2 Corinthians 2.11 Anyone whom you forgive, I also forgive. What I have forgiven, if I have forgiven anything, has been for your sake in the presence of Christ,",2 Corinthians 2.11,Tyndale,2 Corinthians 2.11 lest Satan shuld prevet vs. For his thoughtes are not vnknowen vnto vs.,,False,False,
2 Corinthians 2.11,"2 Corinthians 2.11 Anyone whom you forgive, I also forgive. What I have forgiven, if I have forgiven anything, has been for your sake in the presence of Christ,",2 Corinthians 2.10,Tyndale,2 Corinthians 2.10 To whom ye forgeve enythinge I forgeve also. And verely if I forgeve enythinge to whom I forgave it for youre sakes forgave I it in the roume of Christ,0.0,True,False,
2 Corinthians 2.11,"2 Corinthians 2.11 Anyone whom you forgive, I also forgive. What I have forgiven, if I have forgiven anything, has been for your sake in the presence of Christ,",2 Corinthians 2.10,ODRV,"2 Corinthians 2.10 And whom you haue pardoned any thing, I also. For, my-self also that which I pardoned, if I pardoned any thing, for you in the person of Christ,",0.0,True,False,
2 Corinthians 2.11,"2 Corinthians 2.11 Anyone whom you forgive, I also forgive. What I have forgiven, if I have forgiven anything, has been for your sake in the presence of Christ,",2 Corinthians 2.11,ODRV,2 Corinthians 2.11 that we be not circumuented of Satan. For we are not ignorant of his cogitations.,,False,False,
2 Corinthians 2.12,2 Corinthians 2.12 so that we would not be outwitted by Satan; for we are not ignorant of his designs.,2 Corinthians 2.14,Tyndale,2 Corinthians 2.14 Thankes be vnto God which alwayes geveth vs the victorie in Christ and openeth the saver of his knowledge by vs in every place.,1.0,False,False,
2 Corinthians 2.12,2 Corinthians 2.12 so that we would not be outwitted by Satan; for we are not ignorant of his designs.,2 Corinthians 2.12,Tyndale,2 Corinthians 2.12 When I was come to Troada for Christes gospels sake (and a great dore was openned vnto me of the Lorde),,False,False,
2 Corinthians 2.12,2 Corinthians 2.12 so that we would not be outwitted by Satan; for we are not ignorant of his designs.,2 Corinthians 2.11,Tyndale,2 Corinthians 2.11 lest Satan shuld prevet vs. For his thoughtes are not vnknowen vnto vs.,0.0,True,False,
2 Corinthians 2.13,"2 Corinthians 2.13 When I came to Troas to preach the gospel of Christ, even though a door was opened for me in the Lord,",2 Corinthians 2.13,Vulgate,"2 Corinthians 2.13 non habui requiem spiritui meo, eo quod non invenerim Titum fratrem meum, sed valefaciens eis, profectus sum in Macedoniam.",3.0,False,False,
