verse_id,text,verse_text,prediction,DS_prediction,match,correction,length_disparity
2 Maccabees 15.21 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","Machabeus considering the coming of the multitude, and the divers preparations of armour, and the fierceness of the beasts, stretching out his hands to heaven, called upon the Lord, that worketh wonders, who giveth victory to them that are worthy, not according to the power of their arms, but according as it seemeth good to him.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 47.24 (Douay-Rheims) - 0,"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","But God will not leave off his mercy, and he will not destroy, nor abolish his own works, neither will he out up by the roots the offspring of his elect:",TRUE,FALSE,FALSE,FALSE,FALSE
2 Maccabees 7.24 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","Now Antiochus, thinking himself despised, and withal despising the voice of the upbraider, when the youngest was yet alive, did not only exhort him by words, but also assured him with an oath, that he would make him a rich and a happy man, and, if he would turn from the laws of his fathers, would take him for a friend, and furnish him with things necessary.",FALSE,FALSE,TRUE,FALSE,FALSE
Judith 10.4 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","And the Lord also gave her more beauty: because all this dressing up did not proceed from sensuality, lent from virtue: and therefore the Lord increased this her beauty, so that she appeared to all men's eyes incomparably lovely.",FALSE,FALSE,TRUE,FALSE,FALSE
Esther 2.15 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","And as the time came orderly about, the day was at hand, when Esther, the daughter of Abihail the brother of Mardochai, whom he had adopted for his daughter, was to go in to the king. But she sought not women's ornaments, but whatsoever Egeus the eunuch the keeper of the virgins had a mind, he gave her to adorn her. For she was exceeding fair, and her incredible beauty made her appear agreeable and amiable in the eyes of all.",TRUE,FALSE,FALSE,FALSE,FALSE
1 Maccabees 14.35 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","And the people seeing the acts of Simon, and to what glory he meant to bring his nation, made him their prince, and high priest, because he had done all these things, and for the justice, and faith, which he kept to his nation, and for that he sought by all means to advance his people.",FALSE,FALSE,TRUE,FALSE,FALSE
Tobit 12.3 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","He conducted me and brought me safe again, he received the money of Gabelus, he caused me to have my wife, and he chased from her the evil spirit, he gave joy to her parents, myself he delivered from being devoured by the fish, thee also he hath made to see the light of heaven, and we are filled with all good things through him. What can we give him sufficient for these things?",TRUE,FALSE,FALSE,FALSE,FALSE
Judith 13.20 (Douay-Rheims),"Yet the Scripture doth frequently adjoin the Word Free, and freely, to Grace, and Gift, as if it could never enough set forth, how Free the Grace of God is in the Salvation of guilty, and Dead Sinners, Rom. 3. 24. Being justified freely by his Grace. Ver. 32. How shall he not with him freely give us all Things?","But as the same Lord liveth, his angel hath been my keeper both going hence, and abiding there, and returning from thence hither: and the Lord hath not suffered me his handmaid to be defiled, but hath brought me back to you without pollution of sin, rejoicing for his victory, for my escape, and for your deliverance.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 6.23 (AKJV),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","But he began to consider discreetly, and as became his age, and the excellencie of his ancient yeeres, and the honour of his gray head, whereunto hee was come, and his most honest education from a child, or rather the holy lawe made, and giuen by God: therefore hee answered accordingly, and willed them straightwaies to send him to the graue.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 12.42 (AKJV),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","Betooke themselues vnto praier, and besought him that the sinne committed, might wholy bee put out of remembrance. Besides, that noble Iudas exhorted the people to keep themselues from sinne, forsomuch as they saw before their eyes the things that came to passe, for the sinne of those &thorn; were slaine.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 37.12 (AKJV),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","But be continually with a godly man, whom thou knowest to keepe the commandements of the Lord, whose minde is according to thy minde, and will sorrow with thee, if thou shalt miscarry.",TRUE,FALSE,FALSE,FALSE,FALSE
Ecclesiasticus 12.11 (AKJV),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","Though he humble himselfe, and goe crouching, yet take good heed, and beware of him, and thou shalt bee vnto him, as if thou hadst wiped a looking glasse, and thou shalt knowe that his rust hath not beene altogether wiped away.",FALSE,FALSE,TRUE,FALSE,FALSE
Esther 4.11 (AKJV) - 0,"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","All the Kings seruants, and the people of the kings prouinces do know, that whosoeuer, whether man or woman, shall come vnto the King into the inner court, who is not called, there is one lawe of his to put him to death, except such to whom the King shall hold out the golden scepter, that he may liue:",TRUE,FALSE,FALSE,FALSE,FALSE
Wisdom 1.6 (AKJV),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","For wisedome is a louing spirit: and will not acquite a blasphemour of his words: for God is witnesse of his reines, and a true beholder of his heart, and a hearer of his tongue.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 29.5 (AKJV),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","Till he hath receiued, he will kisse a mans hand: and for his neighbours money he will speake submissely: but when he should repay, he will prolong the time, and returne words of griefe, and complaine of the time.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 26.28 (Douay-Rheims),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,",Two sorts of callings have appeared to me hard and dangerous: a merchant is hardly free from negligence: and a huckster shall not be justified from the sins of the lips.,FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 8.11 (Douay-Rheims),"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","Wherefore he sent immediately to the cities upon the sea coast, to invite men together to buy up the Jewish slaves, promising that they should have ninety slaves for one talent, not reflecting on the vengeance, which was to follow him from the Almighty.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 5.6 (AKJV),"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","And say not, His mercy is great, hee will be pacified for the multitude of my sinnes: for mercy and wrath come from him, and his indignation resteth vpon sinners.",TRUE,FALSE,FALSE,FALSE,FALSE
2 Maccabees 15.21 (AKJV),"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","Maccabeus seeing the comming of the multitude, and the diuers preparations of armour, and the fiercenesse of the beasts, stretched out his hands towards heauen, and called vpon the Lord, that worketh wonders, knowing that victorie commeth not by armes, but euen as it seemeth good to him, he giueth it to such as are worthy:",TRUE,FALSE,FALSE,FALSE,FALSE
Wisdom 12.22 (AKJV),"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","Therefore whereas thou doest chasten vs, thou scourgest our enemies a thousand times more, to the intent that when wee iudge, wee should carefully thinke of thy goodnesse, and when we our selues are iudged, wee should looke for mercy.",TRUE,FALSE,FALSE,FALSE,FALSE
Daniel 5.21 (AKJV) - 1,"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","they fed him with grasse like oxen, and his body was wet with the dew of heauen, till hee knew that the most high God ruled in the kingdome of men, and that hee appointeth ouer it whomsoeuer he will.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 29.5 (AKJV),"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","Till he hath receiued, he will kisse a mans hand: and for his neighbours money he will speake submissely: but when he should repay, he will prolong the time, and returne words of griefe, and complaine of the time.",TRUE,FALSE,FALSE,FALSE,FALSE
Wisdom 1.6 (AKJV),"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","For wisedome is a louing spirit: and will not acquite a blasphemour of his words: for God is witnesse of his reines, and a true beholder of his heart, and a hearer of his tongue.",TRUE,FALSE,FALSE,FALSE,FALSE
Ecclesiasticus 23.16 (AKJV),"The Almighty (saith the Wise-man) is a patient rewarder, but when his patience is often and much abused, then his great lenity is dissolued into most fearefull and bitter wrath, and the more patient hee is in suffering, the more terrible will hee bee in punishing,","Two sorts of men multiply sinne, and the third will bring wrath: a hot minde is as a burning fire, it will neuer be quenched till it be consumed: a fornicatour in the body of his flesh, will neuer cease till he hath kindled a fire.",TRUE,FALSE,FALSE,FALSE,FALSE
2 Samuel 14.14 (AKJV),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","For we must needs die, and are as water spilt on the ground, which cannot bee gathered vp againe: neither doeth God respect any person, yet doeth he deuise meanes, that his banished bee not expelled from him.",FALSE,FALSE,TRUE,FALSE,FALSE
Esther 4.11 (AKJV) - 0,"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","All the Kings seruants, and the people of the kings prouinces do know, that whosoeuer, whether man or woman, shall come vnto the King into the inner court, who is not called, there is one lawe of his to put him to death, except such to whom the King shall hold out the golden scepter, that he may liue:",TRUE,FALSE,FALSE,FALSE,FALSE
Daniel 5.21 (AKJV) - 1,"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","they fed him with grasse like oxen, and his body was wet with the dew of heauen, till hee knew that the most high God ruled in the kingdome of men, and that hee appointeth ouer it whomsoeuer he will.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 11.19 (AKJV),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","Whereas he sayth, I haue found rest, and now will eate continually of my goods, and yet hee knoweth not what time shall come vpon him, and that hee must leaue those things to others, and die.",TRUE,FALSE,FALSE,FALSE,FALSE
2 Maccabees 12.42 (AKJV),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","Betooke themselues vnto praier, and besought him that the sinne committed, might wholy bee put out of remembrance. Besides, that noble Iudas exhorted the people to keep themselues from sinne, forsomuch as they saw before their eyes the things that came to passe, for the sinne of those &thorn; were slaine.",FALSE,FALSE,TRUE,FALSE,FALSE
Wisdom 11.20 (AKJV),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","Yea and without these might they haue fallen downe with one blast, being persecuted of vengeance, and scattered abroad thorough the breath of thy power, but thou hast ordered all things in measure, and number, and weight.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 23.16 (AKJV),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","Two sorts of men multiply sinne, and the third will bring wrath: a hot minde is as a burning fire, it will neuer be quenched till it be consumed: a fornicatour in the body of his flesh, will neuer cease till he hath kindled a fire.",TRUE,FALSE,FALSE,FALSE,FALSE
Romans 7.1 (ODRV),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","ARE you ignorant, Brethren, (for I speake to them that know the Law) that the Law hath dominion ouer a man as long time as it liueth?",TRUE,FALSE,FALSE,FALSE,FALSE
2 Maccabees 7.7 (AKJV),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","So when the first was dead, after this maner, they brought the second to make him a mocking stocke: and when they had pulled off the skin of his head with the haire, they asked him, Wilt thou eate before thou bee punished throughout euery member of thy body?",FALSE,FALSE,TRUE,FALSE,FALSE
1 Esdras 5.73 (AKJV),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","And by their secret plots, and popular perswasions, and commotions, they hindred the finishing of the building, all the time that king Cyrus liued, so they were hindered from building for the space of two yeeres, vntill the reigne of Darius.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 12.11 (AKJV),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","Though he humble himselfe, and goe crouching, yet take good heed, and beware of him, and thou shalt bee vnto him, as if thou hadst wiped a looking glasse, and thou shalt knowe that his rust hath not beene altogether wiped away.",FALSE,FALSE,TRUE,FALSE,FALSE
Tobit 1.18 (AKJV),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","And if the king Sennacherib had slaine any, when hee was come, and fledde from Iudea, I buried them priuily, (for in his wrath hee killed many) but the bodies were not found, when they were sought for of the king.",FALSE,FALSE,TRUE,FALSE,FALSE
Jude 1.9 (Geneva),"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","Yet Michael the Archangell, when hee stroue against the deuill, and disputed about the body of Moses, durst not blame him with cursed speaking, but sayd, The Lord rebuke thee.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 1.1 (AKJV) - 3,"Some Divines draw this thorne in the flesh, of which Saint Paul complaines, as farre as from Adams loynes, and say it was originall concupiscence, which the Apostle calls l•gem in carne, a law in his flesh, in his members, Rom. 7.","When as therefore the first Iesus died, leauing this booke almost perfected, Si rach his sonne receiuing it after him, left it to his owne sonne Iesus, who hauing gotten it into his hands, compiled it all orderly into one Volume, and called it Wisdome, Intituling it, both by his owne name, his fathers name, and his grandfathers, alluring the hearer by the very name of Wisedome, to haue a greater loue to the studie of this Booke.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Chronicles 20.12 (Douay-Rheims),"such a love we should press to, and improve to such a flame, that we may be able to say, all this is come upon us, (as the Church speaks, in Ps. 44.) yet have we not departed from thee, no• … have we dealt falsely in thy Covenant:","O our God, wilt thou not then judge them? as for us we have not strength enough, to be able to resist this multitude, which cometh violently upon us. But as we know not what to do, we can only turn our eyes to thee.",FALSE,FALSE,TRUE,FALSE,FALSE
Joshua 22.29 (Douay-Rheims),"such a love we should press to, and improve to such a flame, that we may be able to say, all this is come upon us, (as the Church speaks, in Ps. 44.) yet have we not departed from thee, no• … have we dealt falsely in thy Covenant:","God keep us from any such wickedness that we should revolt from the Lord, and leave off following his steps, by building an altar to offer holocausts, and sacrifices, and victims, beside the altar of the Lord our God, which is erected before his tabernacle.",TRUE,FALSE,FALSE,FALSE,FALSE
