verse_id,text,verse_text,label,top_k
Malachi 2.15 (Geneva),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","And did not hee make one? yet had hee abundance of spirit: and wherefore one? because he sought a godly seede: therefore keepe your selues in your spirit, and let none trespasse against the wife of his youth.",FALSE,
1 Chronicles 14.14 (Geneva),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","And when Dauid asked againe counsell at God, God said to him, Thou shalt not goe vp after them, but turne away from them, that thou mayest come vpon them ouer against the mulberie trees.",FALSE,
Acts 16.27 (Geneva),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","Then the keeper of the prison waked out of his sleepe, and when he sawe the prison doores open, he drewe out his sword and would haue killed himselfe, supposing the prisoners had bin fled.",FALSE,
2 Samuel 5.23 (Geneva),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","And when Dauid asked counsell of the Lord, hee answered, Thou shalt not goe vp, but turne about behinde them, and come vpon them ouer against the mulberie trees.",FALSE,
John 5.18 (Geneva),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","Therefore the Iewes sought the more to kill him: not onely because he had broken the Sabbath: but said also that God was his Father, and made himselfe equall with God.",FALSE,
Psalms 119.62 (Geneva),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","At midnight will I rise to giue thanks vnto thee, because of thy righteous iudgements.",TRUE,1-3
Psalms 119.62 (AKJV),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?",At mid-night I will rise to giue thankes vnto thee: because of thy righteous iudgements.,TRUE,1-3
Psalms 118.62 (ODRV),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","At midnight I rose to confesse to thee, for the iudgements of thy iustification.",TRUE,1-3
Psalms 118.62 (Vulgate),"Dauid was a man beloued of God, hee rose euery night at mid-night to praier, but how did he breake out from one sinne to other, because he did not resist the first motions of sinne?","Media nocte surgebam ad confitendum tibi, super judicia justificationis tuæ.",TRUE,4
Galatians 4.1 (Geneva),"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","Then I say, that the heire as long as hee is a childe, differeth nothing from a seruant, though he be Lord of all,",FALSE,
Genesis 47.18 (Geneva),"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","But when the yeere was ended, they came vnto him the next yeere, and sayd vnto him, We will not hide from my lord, that since our money is spent, and my lord hath the heards of the cattel, there is nothing left in the sight of my lorde, but our bodies and our ground.",FALSE,
Daniel 4.14 (Geneva) - 1,"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
2 Samuel 14.14 (Geneva),"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","For we must needes dye, and we are as water spilt on the ground, which cannot be gathered vp againe: neither doeth God spare any person, yet doeth he appoynt meanes, not to cast out from him, him that is expelled.",FALSE,
Genesis 44.22 (Geneva),"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","And we answered my lord, The childe can not depart from his father: for if he leaue his father, his father would die.",FALSE,
Amos 8.11 (Geneva),"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","Beholde, the dayes come, sayeth the Lord God, that I will send a famine in the lande, not a famine of bread, nor a thirst for water, but of hearing the word of the Lord.",TRUE,1-3
Amos 8.11 (AKJV),"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","Behold, the daies come, saith the Lord God, that I will send a famine in the land, not a famine of bread, nor a thirst for water, but of hearing the words of the Lord.",TRUE,1-3
Amos 8.11 (Douay-Rheims) - 1,"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","not a famine of bread, nor a thirst of water, but of hearing the word of the Lord.",TRUE,1-3
Amos 8.11 (Vulgate) - 1,"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","non famem panis, neque sitim aquæ, sed audiendi verbum Domini.",TRUE,4
2 Chronicles 20.25 (Geneva) - 0,"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","And when Iehoshaphat and his people came to take away the spoyle of them, they founde among them in abundance both of substance and also of bodies laden with precious iewels, which they tooke for themselues, till they could cary no more:",FALSE,
Daniel 4.14 (Geneva) - 1,"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
Deuteronomy 31.21 (Geneva),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","And then when many aduersities and tribulations shall come vpon them, this song shall answere them to their face as a witnesse: for it shall not be forgotte out of the mouthes of their posteritie: for I knowe their imagination, which they goe about euen now, before I haue brought them into the lande which I sware.",FALSE,
,"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.",No Bible verse quotation or paraphrase found,TRUE,
Joshua 12.24 (Geneva) - 0,Or Lion-like men. 1 Chron. 11. 22.,"The King of Tirzah, one.",FALSE,
Joshua 12.21 (Geneva) - 1,Or Lion-like men. 1 Chron. 11. 22.,"the King of Megiddo, one:",FALSE,
1 Chronicles 11.22 (AKJV) - 1,Or Lion-like men. 1 Chron. 11. 22.,"he slue two Lyon-like men of Moab, also he went downe and slue a Lyon in a pit in a snowy day.",TRUE,1
1 Chronicles 11.22 (Douay-Rheims) - 1,Or Lion-like men. 1 Chron. 11. 22.,he slew the two ariels of Moab:,TRUE,2
1 Chronicles 11.22 (Geneva) - 0,Or Lion-like men. 1 Chron. 11. 22.,"Benaiah the sonne of Iehoiada (the sonne of a valiant man) which had done many actes, and was of Kabzeel, he slewe two strong men of Moab:",TRUE,4
1 Chronicles 11.22 (Vulgate) - 1,Or Lion-like men. 1 Chron. 11. 22.,"ipse percussit duos ariel Moab, et ipse descendit et interfecit leonem in media cisterna tempore nivis.",FALSE,3
Daniel 4.14 (Geneva) - 1,"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.","the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
Daniel 4.14 (Geneva),"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.","The sentence is according to the decree of the watchmen, and according to the word of the holy ones: the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
Daniel 4.34 (Geneva),"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.","Now therefore I Nebuchad-nezzar prayse and extoll and magnifie the King of heauen, whose workes are all trueth, and his wayes iudgement, and those that walke in pride, he is able to abase.",FALSE,
Psalms 115.3 (AKJV) - 1,"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.",he hath done whatsoeuer he pleased.,TRUE,1
Psalms 115.3 (Geneva) - 1,"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.",he doeth what so euer he will.,TRUE,2
Psalms 113.11 (ODRV) - 1,"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.",he hath done al thinges what soeuer he would.,TRUE,3
Psalms 113.11 (Vulgate) - 1,"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.",omnia quæcumque voluit fecit.,TRUE,4
2 Corinthians 4.9 (Geneva) - 1,So they answere againe. We are not consumed.,"cast downe, but we perish not.",FALSE,
Joshua 8.6 (Geneva) - 1,So they answere againe. We are not consumed.,"for they will say, They flee before vs as at the first time:",FALSE,
Nehemiah 9.21 (Geneva) - 1,So they answere againe. We are not consumed.,they lacked nothing:,FALSE,
Malachi 3.6 (Douay-Rheims) - 1,So they answere againe. We are not consumed.,and you the sons of Jacob are not consumed.,TRUE,1-3
Malachi 3.6 (Geneva) - 1,So they answere againe. We are not consumed.,"I change not, and ye sonnes of Iaakob are not consumed.",TRUE,1-3
Malachi 3.6 (AKJV) - 1,So they answere againe. We are not consumed.,therefore ye sonnes of Iacob are not consumed.,TRUE,1-3
Malachi 3.6 (Vulgate) - 1,So they answere againe. We are not consumed.,"et vos filii Jacob, non estis consumpti.",TRUE,4
Micah 7.3 (Geneva) - 1,"Ps. 131. Solomon, the haughtinesse of the spirit,",therefore the great man he speaketh out the corruption of his soule:,FALSE,
Proverbs 16.18 (AKJV) - 1,"Ps. 131. Solomon, the haughtinesse of the spirit,",and an hautie spirit before a fall.,TRUE,1
Proverbs 16.18 (Douay-Rheims) - 1,"Ps. 131. Solomon, the haughtinesse of the spirit,",and the spirit is lifted up before a fall.,TRUE,2
Proverbs 16.18 (Vulgate),"Ps. 131. Solomon, the haughtinesse of the spirit,","Contritionem præcedit superbia, et ante ruinam exaltatur spiritus.",TRUE,3
Proverbs 16.18 (Geneva),"Ps. 131. Solomon, the haughtinesse of the spirit,","Pride goeth before destruction, and an high minde before the fall.",TRUE,4
2 Samuel 22.48 (Geneva),"the turning of our cheke vnto him that striketh vs,","It is God that giueth me power to reuenge me, and subdue the people vnder me,",FALSE,
Psalms 18.47 (Geneva),"the turning of our cheke vnto him that striketh vs,","It is God that giueth me power to auenge me, and subdueth the people vnder me.",FALSE,
Job 40.14 (Geneva) - 1,"the turning of our cheke vnto him that striketh vs,","he that made him, will make his sworde to approch vnto him.",FALSE,
Matthew 5.39 (ODRV) - 1,"the turning of our cheke vnto him that striketh vs,","but if one strike thee on thy right cheeke, turne to him also the other:",TRUE,1
Matthew 5.39 (AKJV) - 1,"the turning of our cheke vnto him that striketh vs,","but whosoeuer shall smite thee on thy right cheeke, turne to him the other also.",TRUE,2-3
Matthew 5.39 (Geneva) - 1,"the turning of our cheke vnto him that striketh vs,","but whosoeuer shall smite thee on thy right cheeke, turne to him the other also.",TRUE,2-3
Luke 6.29 (ODRV) - 0,"the turning of our cheke vnto him that striketh vs,","And he that striketh thee on the cheeke, offer also the other.",TRUE,4
Luke 6.29 (AKJV) - 0,"the turning of our cheke vnto him that striketh vs,","And vnto him that smiteth thee on the one cheeke, offer also the other:",TRUE,5-6
Luke 6.29 (Geneva) - 0,"the turning of our cheke vnto him that striketh vs,","And vnto him that smiteth thee on ye one cheeke, offer also the other:",TRUE,5-6
Matthew 5.39 (Tyndale) - 1,"the turning of our cheke vnto him that striketh vs,",But whosoever geve the a blowe on thy right cheke tourne to him the other.,TRUE,7
Matthew 5.39 (Wycliffe) - 1,"the turning of our cheke vnto him that striketh vs,","but if ony smyte thee in the riyt cheke, schewe to him also the tothir;",TRUE,8
Luke 6.29 (Tyndale) - 0,"the turning of our cheke vnto him that striketh vs,",And vnto him that smyteth the on the one cheke offer also the other.,TRUE,9
Luke 6.29 (Wycliffe) - 0,"the turning of our cheke vnto him that striketh vs,","And to him that smytith thee on o cheeke, schewe also the tothir;",TRUE,10
Matthew 5.39 (Vulgate) - 1,"the turning of our cheke vnto him that striketh vs,","sed si quis te percusserit in dexteram maxillam tuam, præbe illi et alteram:",TRUE,11-12
Luke 6.29 (Vulgate) - 0,"the turning of our cheke vnto him that striketh vs,","Et qui te percutit in maxillam, præbe et alteram.",TRUE,11-12
Daniel 4.14 (Geneva) - 1,"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,","the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
Daniel 4.14 (Geneva) - 1,"Mat. 7. 25. humane care and providence I confesse is subordinate to divine, and that so farre, that he that sleights his part in obedience to God, forfeits Gods part of beneficence to himselfe, and to his, whether person or estate, and incurreth the severe censure of teh Apostle,",No Bible verse quotation or paraphrase found,TRUE,
1 Kings 11.2 (Geneva) - 1,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","for surely they will turne your hearts after their gods, to them, I say, did Salomon ioyne in loue.",FALSE,
Psalms 4.2 (AKJV) - 1,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","how long will yee loue vanitie, and seeke after leasing?",TRUE,1-6
Ecclesiastes 1.2 (Douay-Rheims),"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","Vanity of vanities, said Ecclesiastes vanity of vanities, and all is vanity.",TRUE,1-6
Psalms 4.2 (Geneva) - 0,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","O ye sonnes of men, howe long will yee turne my glory into shame, louing vanitie, and seeking lyes?",TRUE,1-6
Psalms 4.3 (ODRV) - 1,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","why loue you vanitie, and seeke lying?",TRUE,1-6
Ecclesiastes 1.2 (Geneva),"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","Vanitie of vanities, sayth the Preacher: vanitie of vanities, all is vanitie.",TRUE,1-6
Ecclesiastes 1.2 (AKJV),"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","Uanitie of vanities, saith the Preacher, vanitie of vanities, all is vanitie.",TRUE,1-6
Psalms 4.3 (Vulgate) - 1,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","ut quid diligitis vanitatem, et quæritis mendacium?",TRUE,7-8
Ecclesiastes 1.2 (Vulgate),"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","Vanitas vanitatum, dixit Ecclesiastes; vanitas vanitatum, et omnia vanitas.",TRUE,7-8
Job 38.25 (Geneva) - 1,"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","or the way for the lightning of ye thunders,",FALSE,
Genesis 7.4 (AKJV) - 0,"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","For yet seuen dayes, and I will cause it to raine vpon the earth, fortie dayes, and forty nights:",TRUE,1-8
Genesis 7.4 (ODRV) - 0,"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","For yet a while, and after seauen dayes, I wil rayne vpon the earth fourtie dayes and fourtie nights:",TRUE,1-8
Genesis 7.4 (Geneva),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","For seuen dayes hence I will cause it raine vpon the earth fourtie dayes and fourtie nightes, and all the substance that I haue made, will I destroy from off the earth.",TRUE,1-8
Genesis 19.24 (AKJV),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","Then the LORD rained vpon Sodome & vpon Gomorrah, brimstone and fire, from the LORD out of heauen.",TRUE,1-8
Genesis 19.24 (ODRV),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.",Therfore our Lord rained vpon Sodome and Gomorre brimstone & fire from our Lord out of heauen:,TRUE,1-8
Genesis 19.24 (Geneva),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","Then the Lord rained vpon Sodom and vpon Gomorah brimstone, and fire from the Lord out of heauen,",TRUE,1-8
Psalms 106.18 (AKJV),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.",And a fire was kindled in their company: the flame burnt vp the wicked.,TRUE,1-8
Psalms 106.18 (Geneva),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.",And the fire was kindled in their assembly: the flame burnt vp the wicked.,TRUE,1-8
Genesis 7.4 (Wycliffe),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","For yit and aftir seuene daies Y schal reyne on erthe fourti daies and fourti nyytis, and Y schal do awey al substaunce which Y made, fro the face of erthe.",TRUE,9-12
Genesis 7.4 (Vulgate) - 0,"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","Adhuc enim, et post dies septem ego pluam super terram quadraginta diebus et quadraginta noctibus:",TRUE,9-12
Genesis 19.24 (Wycliffe),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","Therfor the Lord reynede on Sodom and Gomorre brynston and fier, fro the Lord fro heuene,",TRUE,9-12
Genesis 19.24 (Vulgate),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.",Igitur Dominus pluit super Sodomam et Gomorrham sulphur et ignem a Domino de cælo:,TRUE,9-12
Genesis 7.4 (Vulgate) - 0,"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.","Adhuc enim, et post dies septem ego pluam super terram quadraginta diebus et quadraginta noctibus:",TRUE,9-12
Psalms 105.18 (ODRV),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.",And a fire flamed vp in their sinagogue: the flame burnt the sinners.,TRUE,13
Psalms 105.18 (Vulgate),"What should I speak of the overflowing of waters, Gen. 7.4. of the violence of fire, Gen. 19.24. Psalm 106.18.",Et exarsit ignis in synagoga eorum: flamma combussit peccatores.,TRUE,14
Daniel 5.20 (Geneva),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","But when his heart was puft vp, and his minde hardened in pride, hee was deposed from his kingly throne, and they tooke his honour from him.",FALSE,
Luke 18.4 (Geneva),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","And hee would not of a long time: but afterward he said with himselfe, Though I feare not God, nor reuerence man,",FALSE,
Leviticus 14.43 (Geneva),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","But if the plague come againe and breake out in the house, after that he hath taken away ye stones, and after that hee hath scraped and playstered the house,",FALSE,
Ezekiel 18.5 (Geneva),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","But if a man be iust, and doe that which is lawfull, and right,",FALSE,
Acts 2.29 (Geneva),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","Men and brethren, I may boldly speake vnto you of the Patriarke Dauid, that hee is both dead and buried, and his sepulchre remaineth with vs vnto this day.",FALSE,
2 Samuel 12.13 (Douay-Rheims),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.",And David said to Nathan: I have sinned against the Lord. And Nathan said to David: The Lord also hath taken away thy sin: thou shalt not die.,TRUE,1-3
2 Samuel 12.13 (Geneva),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","Then Dauid sayde vnto Nathan, I haue sinned against the Lord. And Nathan sayde vnto Dauid, The Lord also hath put away thy sinne, thou shalt not die.",TRUE,1-3
2 Samuel 12.13 (AKJV),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","And Dauid saide vnto Nathan, I haue sinned against the Lord. And Nathan saide vnto Dauid, The Lord also hath put away thy sinne, thou shalt not die.",TRUE,1-3
2 Samuel 12.13 (Vulgate),"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.",Et dixit David ad Nathan: Peccavi Domino. Dixitque Nathan ad David: Dominus quoque transtulit peccatum tuum: non morieris.,TRUE,4
Exodus 21.23 (Geneva),"moth tamuth morte morieris, thou shalt surely die, yea through the hereditary contagion of this originall rebellion,","But if death follow, then thou shalt paye life for life,",FALSE,
Genesis 2.17 (AKJV) - 1,"moth tamuth morte morieris, thou shalt surely die, yea through the hereditary contagion of this originall rebellion,","for in the day that thou eatest thereof, thou shalt surely die.",TRUE,1-2
Genesis 2.17 (Vulgate) - 1,"moth tamuth morte morieris, thou shalt surely die, yea through the hereditary contagion of this originall rebellion,","in quocumque enim die comederis ex eo, morte morieris.",TRUE,1-2
Genesis 2.17 (Geneva) - 1,"moth tamuth morte morieris, thou shalt surely die, yea through the hereditary contagion of this originall rebellion,","for in the day that thou eatest thereof, thou shalt die the death.",TRUE,3
Genesis 2.17 (ODRV) - 1,"moth tamuth morte morieris, thou shalt surely die, yea through the hereditary contagion of this originall rebellion,","For in what day soeuer thou shalt eate of it, thou shalt dye the death.",TRUE,4
Genesis 2.17 (Wycliffe) - 1,"moth tamuth morte morieris, thou shalt surely die, yea through the hereditary contagion of this originall rebellion,","for in what euere dai thou schalt ete therof, thou schalt die bi deeth.",TRUE,5
Genesis 47.18 (Geneva),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","But when the yeere was ended, they came vnto him the next yeere, and sayd vnto him, We will not hide from my lord, that since our money is spent, and my lord hath the heards of the cattel, there is nothing left in the sight of my lorde, but our bodies and our ground.",FALSE,
Daniel 4.14 (Geneva),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","The sentence is according to the decree of the watchmen, and according to the word of the holy ones: the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
Daniel 4.14 (Geneva) - 1,"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",FALSE,
2 Samuel 14.14 (Geneva),"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","For we must needes dye, and we are as water spilt on the ground, which cannot be gathered vp againe: neither doeth God spare any person, yet doeth he appoynt meanes, not to cast out from him, him that is expelled.",FALSE,
