id,estc,stc,title,authors,publisher,pubplace,subject_headings,date
B20231,None,C3994,"The Church catechism explain'd and prov'd by apt texts of Scripture divided into XXVI parts / recommended by His Grace Narcissus, Lord Archbishop of Dublin for the use of his diocess.",Church of England.,Printed by and for Joseph Ray,Dublin,"Church of England; Catechisms.; Catechisms, English.",1699
B31273,None,V2,"An enlargement of a former catechisme which contained in briefe the grounds and principles of Christian religion that shewed what we ought to beleeve, this upon what ground we ought so to beleeve, both which are necesseary in the faith of every Chirstian / gathered at the first and since enlarged by D.V. ...",D. V.,Printed by T and R Cotes for S Enderby,London,Catechisms.,1641
B10301,S117411,1838,"Eglurhad helaeth-lawn o'r Athrawaeth Gristnogavvl A gyfansodhwyd y tro cyntaf yn Italaeg, trwy waith yr Ardherchoccaf a'r Hybarchaf Gardinal Rhobert Bellarmin o Gymdeithas yr Iesu. Ag o'r Italaeg a gymreigwyd er budh Ysproydol i'r Cymru, drwy dhiwydrwydh a dyfal gymorth y penbefig canmoladwy V.R.","Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621.; Salisbury, John, 1575-1625.",English College Press,Saint Omer,Catholic Church; Catechisms; Early works to 1800.; Catholic Church; Controversial literature; Early works to 1800.; Catholic Church; Doctrines; Early works to 1800.,1618
B15559,S116040,21166,"A practicall catechisme: or, A view of those principall truths according to godlinesse, which are contayned in the catechisme diuided into three parts: and seruing for the vse, (as of all, so) especially of those that first heard them. By D.R. B. of Divin, minister of the Gospell.","D. R. (Daniel Rogers), 1573-1652.",Printed by I ohn N orton for Samuel Man dwelling at the signe of the Swanne in Pauls Church yard,London,"Catechisms, English; Early works to 1800.; Christian life; Early works to 1800.",1632
B10303,None,H3310A,"Allwydd neu agoriad paradwys i'r Cymrv Hynny yw: gweddiau, devotionau, cynghorion, ac athrawiaethau tra duwiol ac angentheidiol i bôb Christion yn mynhu agoryd y Porth a myned i mewn i'r Nef. Wedi eu cynnull o amryw lyfrau duwiol, a'i cyfeithu yn Gymraeg: neu wedi eu cyfansoddi, gan I.H.","Hughes, John, 1615-1686.",Imprintiwyd yn y Flwyddyn,Yn Lvyck,"Catholic Church; Prayer-books and devotions; Welsh; Early works to 1800.; Bible.; N.T.; Gospels; Translations into Welsh; Early works to 1800.; Catechisms, Welsh; Early works to 1800.",1670
B12280,S114531,6057,"An explication of those principles of Christian religion, exprest or implyed in the catechisme of our Church of England, set downe in the Booke of Common Prayer Vsefull for housholders, that desire heaven in earnest: and are willing to discharge their dutie in examination of their charge, before they send any of them to our communion. Begun and finisht in Barstaple, in the Countie of Devon, according to his maiesties late pious directions, for the renewing and continuing of the ordinance of catechising, so generally sleighted and neglected: now thus farre published respectively for the benefit of that corporation.","Crompton, William, 1599?-1642.",Printed by I L egat for P S tephens and C M eredith and are to be sold at their shop at the Golden Lyon in Pauls Church yard,London,Church of England; Catechisms; Early works to 1800.,1633
B11281,S115851,1024,A catechisme or briefe instruction in the principles and grounds of the true Christian religion With a short treatise premised concerning the profity and necessitie of catechizing.,"E. B., fl. 1617.; Olevian, Caspar, 1536-1587.; Ursinus, Zacharias, 1534-1583.",Printed by Edvvard Griffin for Henry Fetherstone,London,"Heidelberger Katechismus; Early works to 1800.; Catechisms, English; Early works to 1800.",1617
B11055,None,None,"A short, plaine, and profitable catechisme containing an instruction vnto the foure principal points of Christian religion. Needfull for all those, who doe not as yet perfitly knowe the same.","Aldem, Mordecai, d. 1615.",By R B ourne for Richard Watkins and Iohn Wolfe,Imprinted at London,"Catechisms, English; Early works to 1800.",1592
B14440,None,None,"A catechisme and playne instruction for children which prepare the[m]selues to communicate in the Holy Supper yeelding therein openlie a reason of their faith, according to the order of the Frenche church at London / written in French by Monsieur Fountaine, minister of the same churche there ; and lately translated into English by T.W.","Le Macon, Robert, fl. 1557-1611.; T. W. (Thomas Wilcox), 1549?-1608.",Printed by Henrie Middleton for Thomas Man,London,"Catechisms, French.",1580
B17085,None,A3077,"A catechism for the use of His Royal Highness, the Prince of Wales","Anderdon, Christopher.",To be sold at Thomas Moette,At Paris,Catholic Church; Prayer-books and devotions; English.; Catholic Church; Prayer-books and devotions; Latin.; Catholic Church; Catechisms; English.,1692
B13909,None,None,Three formes of catechismes conteyning the most principall pointes of religion. R.H.,"Harrison, Robert, d. 1585?",R Schilders,Middelburg,"Catechisms, English.",1583
B05815,R183163,S289B,Sail crefydd Ghristnogol.,Anonymous,s n,London,"Catechisms, Welsh; Early works to 1800.",1688
B07434,S91281,4391.3,"[Adtimchiol an chreidimh comhaghalluidhedar an maighiser, agas an foghluinte:] [aghon, minisder an tsoisgeil, agas an leanamh].","Calvin, Jean, 1509-1564.",J Wreittoun,Edinburgh,Reformed Church; Catechisms; Early works to 1800.,1631
B00039,S121298,10768.5,"A brief treatise vpon the first table of the lavve, orderly disposing the principles of religion, whereby we may examine ourselues. / Written by Maister Dudley Fenner, minister of the Gospel.","Fenner, Dudley, 1558?-1587.",Imprinted by Richard Schilders,At Midlebrugh,"Theology, Doctrinal; Puritan authors; Early works to 1800.; Catechisms, English; Early works to 1800.",1588
B00148,S92905,13031.2,A Catechisme of Christian religion.,Anonymous,By Richard Schilders Printer to the States of Zealand,At Middelborough,"Heidelberger Katechismus; Early works to 1800.; Catechisms, English; Early works to 1800.",1610
B03940,R188364,K260AB,"Directions for prayer, for the Diocess of Bath and Wells. To the poor inhabitants within the Diocess of Bath and Wells, Thomas their unworthy bishop wisheth the knowledge and the love of God.","Ken, Thomas, 1637-1711.",for Charles Brome,London,Church of England; Catechisms; Early works to 1800.; Prayer; Early works to 1800.,1686
B08205,S95794,25433.7,"Short questions and answeres to be learned of such as be ignorant, before they be admitted to the Lords Supper. Whereunto are added certaine obseruations necessarie to be vsed of euerie Christian. / By Giles Whiting..","Whiting, Giles.",Printed by Thomas Orwin for Robert Dexter,London,"Catechisms, English; Early works to 1800.",1593
B01430,R170002,A36,"The A, B, C. Or, A catechisme for yong [sic] children. Appoynted by act of the Church and Councell of Scotland, to be learned in all families and lector schooles in the said kingdome.",Church of Scotland.,s n,London,"Catechisms, Scottish; Children; Early works to 1800.; Prayer-books; Children; Early works to 1800.",1644
B00672,S95141,22030.7,"Confession generale de la vraye foy & religion Chrestienne selon la parole de Dieu & les actes de nostre Parlement, signée par le roy & ceux de son conseil & maison, & plusieurs autres, a la gloire de Dieu & edification de tous..",Church of Scotland.,par commandement du Roy,Imprime e nouuellement a Londres,Church of Scotland; Catechisms; Early works to 1800.; Scotland; Church history; 17th century; Early works to 1800.,1603
B09143,W24610,F1062,The watering of the olive plant in Christs garden. Or A short catechism for the first entrance of our Chelmesford children: Enlarged by a three-fold appendix / by John Fisk ...,"Fiske, John, 1601-1677.",Printed by Samuel Green at Cambridg in New England,Cambridge Mass,"Congregational churches; Catechisms; English; Early works to 1800.; Catechisms, English; Early works to 1800.",1657
B03540,R177729,G2184C,"A guide to devotion: or, The penitent souls dayly practice. Containing, godly prayers for several occasions; with heavenly meditations, and graces before and after meat. : Together with a short catechism for the better instruction in the Christian religion. Also the holy sayings of several of the ancient fathers of the primitive church. : Very profitable for all people, and useful for families.",Anonymous,Printed for I Back at the Black Boy on London Bridge,London,"Devotional literature, English; Early works to 1800.; Conduct of life; Early works to 1800.; Catechisms, English; Early works to 1800.",1682-1700?
B07200,S90465,1941.5,"Good Christian looke to thy creede : for a true triall of an holy profession, and of the truth of religion, from all crooked by-paths. / By Richard Bernard rector of Batcombe in Sumersetshire..","Bernard, Richard, 1568-1641.",Imprinted by Felix Kyngston and are to be sold by Edward Blackmore at the Angell in Pauls Church yard,At London,"Church of England; Catechisms; Early works to 1800.; Catechisms, English; Early works to 1800.",1630
B03339,R177142,F1396A,"Foirceadul aithghearr, cheasnuighe, ar ttùs ar na òrdughadh le Coimhthional na Ndiàgh-aireadh aig Niàrmhanister an Sasgan. Leis an daontuighe Ard-seanadh Eagluis na Halbann, chum a bheith na chuid égin daomhodh Chrabuigh edir Eaglaisaioh Chriosd annsna tri Rioghochdaibh. / Ar na chur a ngaoidheilg, la Seanadh Earraghaoidheal. Do chuireadh so angclo anois an treas uair.",Westminster Assembly,le oighreachaibh Aindra Ainderson a mbliadhnna ar Dtighearna,Ar na chur a ngclo a Ndu n e duin Edinburgh,"Catechisms, Gaelic; Early works to 1800.",1694
B03487,R177567,G1368A,"Gwyddorion y grefydd Gristianogol, wedi eu hegluro i'r gwannaf eu deall a'u cymmhwyso tuag at yr ymarweddiad.","Gouge, Thomas, 1605-1681.",gan Tho Dawks,Printiedig yn Llundain,"Congregationalism; Catechisms; Welsh; 17th century.; Catechisms, Welsh.",1679
B00150,S124283,1314.3,"A short treatise: containing all the principall grounds of Christian religion. By way of questions and answers: very profitable for all sorts of men, but especially for housholders..","Ball, John, 1585-1640.",Printed for William Welby,London,"Church of England; Catechisms; Early works to 1800.; Catechisms, English; Early works to 1800.; Puritans; England; Early works to 1800.",1617
B04689,R215935,P1566B,"The foundation of Christian religion, gathered into six principles. And it is to be learned of ignorant people, that they may be fit to heare sermons with profit, and to receive the Lords Supper with comfort.","Perkins, William, 1558-1602.; Shelton, Thomas, 1601-1650?",Printed by John Field and are to be sold by John Williams,London,"Catechisms, English; 17th century.; Theology, Doctrinal; Early works to 1800.",1660
B08241,R175349,A27AA,"A plaine and easie catechisme: wherein the grounds and principles of Christian religion are briefly taught; and likewise proved by scripture. Published for the benefit of all, / by R. A.",R. A.,Printed for William Franckling and are to be sold at his Shop Near the Signe of the George in Norwich,London,"Church of England; Catechisms; Early works to 1800.; Catechisms, English; Early works to 1800.",1649
B07539,S91562,6019.5,"Meate for men, or, a principall seruice of the sacraments. Wherein (amongst many) these two points are specifically handled [brace] 1. Of the baptizing of infants.  2. Of kneeling in the act of breaking and receiuing the Lords Supper. For the vse of all religious families and monethly communicants in the kingdome when they come to the Lords table. / Written by way of briefe questions and answers, for the ease and benefit of the simple. By W. Crashaw B. of Divinitie, and sometimes pastor at White-Chappell..","Crashaw, William, 1572-1626.",Printed for G Fayer beard at the North doore of the Royall Exchange,London,"Church of England; Catechisms; Early works to 1800.; Catechisms, English; Early works to 1800.; Lord's Supper; Early works to 1800.",1629
B07544,S91576,6099.7,"The cristall of Christianitie, or looking glasse of Gods love. Containing the principles of our Christian profession, by the way of disputation betweene master and scholler, in schooles and families, fit for the profitable practise of all (especially of youth) to be vsed. / Initiated formerly by others, and amplified by R.P. minister and preacher of Gods word..",R. P.,by Thomas Dawson dwelling neere the three Cranes in the Vinetree,Imprinted at London,"Bible; Examinations, questions, etc.; Early works to 1800.; Catechisms, English; Early works to 1800.",1617
B01950,R173609,C1475AB,The catechisme in the Book of Common-prayer explained.,Anonymous,Printed by T R and N T for Richard Thrale,London,"Church of England.; Book of common prayer.; Catechisms, English.",1672
B00578,S94784,20310,"Yny lhyvyr hwnn y traethir. Gwyðor kymraeg. Kalandyr. Ygredo, ney bynkeu yr ffyð gatholig. Y pader, ney weði yr aglwyð. Y deng air deðyf. Saith kinweð yr egglwys. Y kampey arber[--]wy ar Gwyðieu gochbladwy ae keingeu.","Price, John, Sir, 1502?-1573.",E Whitchurch,S l,Catechisms; Welsh; Early works to 1800.,1546
B03538,R177654,G2135AA,"The grovnds and principles of religion, contained in a shorter catechism (according to the advice of the Assembly of Divines, sitting at Westminster) to be used througout the kingdom of England and dominion of Wales.",Westminster Assembly,s n,S l,Church of Scotland; Catechisms.; Church of England; Catechisms.; Presbyterianism; Catechisms.,1646
B01079,S96008,5455,"A briefe instruction, collected for the exercise of youth, and simple sort of people. / By Thomas Cobhead preacher..","Cobhead, Thomas.",by Thomas Newton,Imprinted at London,"Catechisms, English; Early works to 1800.; Theology, Doctrinal; Early works to 1800.",1579
B07429,S91269,4237.5,"A candle lighted at the lampe of sacred scriptures. Or, A catechisme conteining all truths fundamentall, and none but fundamentalls. By Richard Bifield, minister of Gods word, and pastor in Long Dutton..","Byfield, Richard, 1598?-1664.",s n,Imprinted at London,"Catechisms, English; Early works to 1800.; Bible; Examinations, questions, etc; Early works to 1800.",1627
B07554,S91608,6324.5,"Some helpes for young schollers in Christianity as they are in vse & taught; partly, at the examination before the communion: and partly, in the ordinarie catechisme euery Sabboth day, in the new kirk of Salt-Preston..","Davidson, John, ca. 1549-1603.; Sibbald, Robert, Sir, 1641-1722.",Printed by Robert VValdegraue Printer to the Kings Maiesty,Edinburgh,"Church of Scotland; Prayer-books and devotions; English; Early works to 1800.; Catechisms, English; Early works to 1800.; Catechetics; Church of Scotland; Early works to 1800.",1602
B08739,R173815,C3737E,"The doctrine of the Sacrament, with the right use therof catichistically handled by way of question and answer.  / By Mr. Charles Chancy sometimes minister of Ware.","Chauncy, Charles, 1592-1672.",Printed by G M for Thomas Underhill at the signe of the Bible in Wood street,London,Church of England; Catechisms; Early works to 1800.; Lord's Supper; Early works to 1800.,1642
B03941,R179180,K260B,"Esponiad ar gatechism yr eglwys, neu, Ymarfer o gariad dwyfol, a gymmonwyd er llefhad Esgobaeth Baddon. Ac a gyfieithiwyd o'r saefonaeg (yn ôl ei gyntaf ofodiad allan) / gan William Foulkes ...","Foulkes, William.; Ken, Thomas, 1637-1711.; Church of England. Diocese of Bath and Wells. Bishop (1685-1690 : Ken)",s n,Printiedig yn Rhydychen i e Oxford,Church of England; Catechisms; Welsh.,1688
B09199,R177659,G2138AA.5,"The grounds and principles of religion contained in a shorter catechism: (according to the advice of the assembly of divines sitting at Westminster.)  To be used throughout the kingdom of England, and dominion of Wales.",Anonymous,Printed and are to be sold by John Whitlock near Stationers Hall,London,"Catechisms, English; Early works to 1800.; Bible; Examinations, questions, etc; Early works to 1800.",1693
B07393,S91084,3024,"The doctrine of the Bible: or, Rules of Discipline. Briefelie gathered through the whole course of the Scripture, by waie of questions and answers..",Anonymous,Printed by Richard Bradocke for Thomas Pauier and are to be sold at his shop at the entring in of the Exchange,London,"Bible; Examinations, questions, etc.; Early works to 1800.; Catechisms, English; Early works to 1800.",1608
B07589,S91798,7431.5,"A treasure of knowledge: springing from the fountaine of godlinesse, which is the word of God. A little catechisme, wherin is handled the doctrine of the knowledge of God in Iesus Christ. : Also a briefe and pithie exposition of the Ten Commandements of almightie God ... / plainely expounded and delclared in questions and answers, by the late faithfull minister and seruant of Iesus Christ, William Dyke..","Dyke, William",Printed by R Field for Robert Mylbourne and are to be sold at the great South doore of Pauls,London,"Catechisms, English; Early works to 1800.; Theology, Doctrinal; Early works to 1800.",1620
B07540,S91563,6020,"Milke for babes. Or, a north-countrie catechisme. Made plaine and easy, to the capacitie of the countrie people. / By William Crashavv, Batchellor in Diuinity and preacher of the Word...","Crashaw, William, 1572-1626.",Printed by Nicholas Okes and are to be sold by Thomas Langley at his shop ouer against the Sarazens head without Newgate,London,"Church of England; Catechisms; Early works to 1800.; Catechisms, English; Early works to 1800.",1618
B07519,S91472,5450.5,"Athravaeth Gristnogavl, ḷe cair ụedi cynnụys yn grynno'r hoḷ brifbynciau syḍ i gyfarụyḍo dyn ar y phorḍ i baradụys..","Robert, Gruffydd, ca. 1522-ca. 1610, ed.; Clynnog, Morys, ca. 1521-1581.",Vincenzo Girardoni,Ymlen i e Milan,Catholic Church; Catechisms and creeds; Welsh; Early works to 1800.; Welsh language; Texts; Early works to 1800.,1568
B03982,R179429,L1027D,Bp. Lighton's catechism for children,"Leighton, Robert, 1611-1684.",Printed and sold by J Watson in Wariston s Clos,Edinburgh,Church of Scotland; Catechisms; Early works to 1800.; Children; Prayer-books and devotions; Early works to 1800.,1695
A85870,R209594,G397,XI choice sermons preached upon severall occasions. With a catechisme expounding the grounds and principles of Christian religion. By William Gay B.D. rector of Buckland.,"Gay, William, Rector of Buckland.",Printed for Humphrey Moseley and are to be sold at his shop at the Princes Armes in St Pauls Church yard,London,"Sermons, English; 17th century.; Catechisms, English; Early works to 1800.",1655
A80320,R210325,C5760,"The confession of faith and catechisms, agreed upon by the assembly of divines at Westminster together with their humble advice concerning church government and ordination of ministers.",Anonymous,Printed for Robert Bostock at the Sign of the Kings Head in Pauls Church yard,London,"Church of England; Creeds; Early works to 1800.; Church of England; Government; Early works to 1800.; Catechisms, English; Early works to 1800.; Ordination; Church of England; Early works to 1800.",1649
A80625,R22867,C6443,"Milk for babes. Drawn out of the breasts of both Testaments. Chiefly, for the spirituall nourishment of Boston babes in either England: but may be of like use for any children. By John Cotton, B.D. and teacher to the church of Boston in New-England.","Cotton, John, 1584-1652.",Printed by J Coe for Henry Overton and are to be sold at his shop in Popes head Alley,London,Church of England; Catechisms; Early works to 1800.,1646
A87249,R204939,I146,The independent catechisme.,Anonymous,Printed for Richard Burton,London,"Catechisms, English; Early works to 1800.",1647
A84291,R207472,E3867,An exhortation to catechizing: the long neglect whereof is sadly lamented. And the speedy reviving as earnestly desired. / By the provincial assembly at London. August 30. 1655.,London (England). Provincial Assembly.,Printed by T R and E M for Samuel Gellibrand at the signe of the Ball in Pauls Church yard,London,"Catechisms, English; Early works to 1800.; Catechetics; Early works to 1800.",1655
A85075,R208209,F29,"A compendiovs chatechsime. Newly set forth for the benefit of such as intend the sacrament of Christs body and blood, &c. Imprimatur John Dovvname.",J. F.,Printed by Tho Paine and are to be sold by Andrew Kembe at Margarets Hill in Southwarke,London,Church of England; Catechisms; Early works to 1800.,1645
A81582,R208693,D1757,"A new catechism short and plain, and very necessary to be learned of the youn ger [sic] sort, before they come to be partakers of the Holy Communion. Published for the benefit of Shaffham School, Norfolk. By Geo. Dochant, minister of Gods word, and there teacher in a private school.","Dochant, George.",Printed and are to be sold at the sign of the Black spread Eagle at the West end of Pauls,London,"Catechisms, English; Early works to 1800.",1654
A87447,R223607,J122C,The Jews catechism Which was lately translated out of Hebrew into Latine. By the eminently learned Ludovicus de Compeigne de Veil.,"Jagel, Abraham ben Hananiah dei Galicchi, 16th/17th cent.; Compiègne de Veil, Louis de.",printed for Benjamin Harris at the Stationers Arms in the Piazza under the Royal Exchange in Cornhill,London,"Catechisms, English; Early works to 1800.; Judaism; Early works to 1800.",1680
A87756,R202442,K512AB,A new and useful catechism; very necessary and teachable both for children and young Christians. : Wherein is contained by way of question and answer a brief discovery ... / by Manasseth King.,"King, Manasseth.",s n,London,"Catechisms, English.",1693
A80664,R208234,C6507,"A new catechisme drawn out of the breasts of the Old and New Testament, for the soules nourishment, concerning the blessed sacrament of the Lords Supper, and the visible signe in baptisme. Wherein is set forth, the strong bond and seales of the Covenant betwixt God and his people. With an excellent caution to beware of sectaries. By W. Cotton, B.D. and minister of the true word of God.","Cotton, W.",Printed by B Alsop dwelling neer Cripplegate,London,"Catechisms, English; Early works to 1800.; Baptism; Early works to 1800.",1648
A84896,R209732,F2135,"The Common-wealths catechism. Published to inform the good and plain people of this Common-wealth, in arms, and out of arms, and to prevent the designes of hypocritical ambition. Humbly dedicated to the members of Parliament, and their General Monck. / By Lyon Freeman.","Freeman, Lyon.",Printed by John Clowes,London,"England and Wales.; Parliament; Humor; Early works to 1800.; Catechisms, English; Early works to 1800.; Political satire, English; 17th century.; Great Britain; Politics and government; 1649-1660; Humor; Early works to 1800.",1659
A82009,R229671,D460,"The communicants instructor. Or, A sacramental catechism in which the nature of the covenant of grace, and the visible seals thereof (viz.) baptism and the Lord's Supper, with the gospel qualifications of worthy receivers, are opened with all plainness and clearness by way of question and answer. Recommended to the use of the younger and more ignorant sort, especially to such as desire admission to, and would worthily partake of the Lord's Supper; with a request to the charitable, that they would make it a piece of their spiritual alms to the poor. By George Day, Minister of the gospel.","Day, George, d. 1697.",printed for Tho Parkhurst a t the Bible and Three Crowns in Cheapside nea r Mercers Chappel,London,"Baptism; Early works to 1800.; Catechisms, English; Early works to 1800.; Last Supper; Early works to 1800.",1700
A80636,R233982,C6462A,"Spirituall milk for Boston babes in either England. Drawn out of the breasts of both Testaments, for their soules nourishment: but may be of like use for any children. / By John Cotton, B.D. and teacher to the church of Boston in New-England.","Cotton, John, 1584-1652.",Printed for Henry Cripps,London,"Congregational churches; Catechisms.; Catechisms, English; 17th century.",1657
A81566,R174671,D1718A,"Divine characters: or, The true Christian discovered, and the hypocrite detected.  In three treatises. The first treatise shewing, that both saints and unconverted sinners ought daily to go to God in Jesus Christ, for pardon of their sins ... The second treatise shewing, how we are to expect salvation, not from any righteousness of our own, but by the righteousness of the mediator, Jesus Christ ... The third treatise shewing, The Gospel evidences of a true Christian ... ; To which is added the summe and substance of the Christian religion, in a short catechise.","P., A.",s n,London,"Christian life.; Catechisms, English.",1695
A85373,R210211,G1096,"A new catechisme, commanded to be set forth in this time of reformation, being the principall grounds of Christian religion, with directions for the examining of all persons, before they come to receive the holy Communion, or Lords Supper. Also, with a breefe direction, how to read the Holy Scriptures with profit. / Written by William Good, minister of Gods word, at Denton in Norfolke. Published according to order.","Goode, William, b. 1599 or 1600.",Printed by Bernard Alsop,London,Church of England; Catechisms; Early works to 1800.,1645
A80203,R223943,C5444A,The church-catechism with a brief and easie explanation thereof for the help of the meanest capacities and weakest memories. By T.C. D.D.,"Comber, Thomas, 1645-1699.",printed by M C for Henry Brome and Robert Clavel in S Pauls Church yard,London,"Church of England; Catechisms; Early works to 1800.; Catechisms, English; Early works to 1800.",1681
A87647,R208212,K11,"A catechisme for, the times. Published according to order.",J. K.,Printed by G Miller and are to be sold at his house in Black Fryers,London,Church of England; Catechisms; Early works to 1800.,1645
A87649,R204917,K13,Scripture security for conscience. Reconciling the safety of truth with the safety of persons. By an honest counterplot to keep off the execution of an expected ordinance. With a Scripture catechisme very usefull in these times. For advancing unity. Suppressing errour. Stating present controversies. Vindicating the covenanted reformation.,I. K.,Printed by T R and E M for John Bellamie at the three golden Lions in Cornhill neer the Royall Exchange,London,"Catechisms, English; Early works to 1800.; Great Britain; Religion; 17th century; Early works to 1800.",1646
A89596,R231088,M807A,"Y catechism a osodwyd allan yn llyfr Gweddi Gyffredin, wedi i egluro yn gryno drwy nodau Byrrion a sylfaenwyd ar yr yscrythyr lan","Marshall, Thomas, 1621-1685.",s n,Printiedig yn Rhydychen i e Oxford,"Catechisms, Welsh; Early works to 1800.",1682
A83473,R214218,E2282A,"The rules and directions of the Lords and Commons assembled in Parliament: concerning the examination of all such as shall be admitted to the sacrament of the Lords Supper, within the kingdome of England, and dominion of Wales: contained in an ordinance of the twentieth of October, 1645. with questions and answers concerning the same.",England and Wales. Parliament.,for M Wright,Printed at London,"Church of England; Catechisms.; Lord's Supper; Anglican Communion; Early works to 1800.; Theology, Doctrinal.",1659
