tcp_id,id,page,p_idx,s_idx,text
A19277,62,13,0,12,"And the sea gaue vp her dead which were in her, & death & hell deliuered vp the deade which were in them: & (PB_15) they were iudged euery man according to their workes."
A19277,63,13,0,13,And death & hel were cast into the lake of fire: this is the seconde death.
A19277,64,13,0,14,"And whosoeuer was not founde in the booke of life written, was cast into the lake of fire."
A19277,65,13,0,15,"This holy scripture (beloued) doth most playnely lay abroad, the order & maner of iudgemet, at the last day."
A19277,66,13,0,16,"And first the maiestie of the iudge in his comming is described: Secondly, the maner of the iudgement, who they be, & wherof the Apparants be iudged."
A19277,67,13,0,17,"The Lords comming is with great glory, he sitteth on a mightie seat, farre passing the iudicial thrones of the greatest princes."
A19277,68,13,0,18,"And of necessitie that must bée a greate Seate, (NOTE_13:0_3) which must beare the God of might: It is a bright shining seate, all glorious, not with corruptible golde or precious stone, but with the heauely gleames, more bright then the Sunne beames, euen lightned with the brightnesse of his diuine glorie, as Christ hath saide: (NOTE_13:0_4) The sonne of Man shal come in his glorie, & he shall sit vppon the seate of his glorie, & all the holy Angels shall come with him."
A19277,69,13,0,19,"Whose glorious throne, doth euen teach (PB_16) vs, that the Lords iudgements are pure & without spotte."
A19277,70,13,0,20,"No pleading at the barre, no bribing of the iudge, no frending by aquest, no fauour found for siluer, nor loue or hate shall beare a sway, but equitie alone in him shall then bee séene."
A19277,71,13,0,21,"Also his brightnesse in comming, shal perce into the hearts & actes of al men, to manifest & lay open ye hidden secrets of the conscience, according to ye sentence of Paul: (NOTE_13:0_5) Iudge nothing before the time, vntill the Lord come, who wil lighten things that are hide in darkenes, & make the councels of the hearts manifest, & then shal euery man haue praise of God."
A19277,72,13,0,22,viz. as his labour asketh.
A19277,73,13,0,23,"Likewise the shinning sunne & moone, the glittering starres, yea, heauen & earth shall be darkened, & faile of their brightnes, before him."
A19277,74,13,0,24,"For like as the glorious sunne shinning, causeth the blasing torch to loose his brightnes, in respect of him: So shall that most beawtifull planet, be as darkened with the great glorie of this shining throne, in the comming of the Amightie Christ."
A19277,75,16,0,0,"But (my beloued) if these glorious creatures shal flée from the presence of (PB_17) this mighty CHRIST, comming to iudgement, which euer haue béene obedient to his holy will yea, & that but when he is comming: how shal it fare with vs, when he is set vpon that terrible throne whose sinnes haue béene so many, & the accusers so ready, (as the Lord his witnes, sathas accusation, (NOTE_16:0_0) & thine owne conscience, which is to thée 1000 witnesses) when the sunne is blacke, the Moone as blood, the stars fall, (NOTE_16:0_1) like the gréene figges from their trées, in a mightie wind, the heauens depart away like a scroll, (NOTE_16:0_2) & all ysles & montaines, are moued out of their places."
A19277,76,16,0,1,"And the kinges the of earth, & the great men, & the rich men, & the chiefe captaines, & the mightie men, & euery bondman & euery frée man, hide them selues in dennes, (NOTE_16:0_3) & amongst the rocks of the mountaines, & shall say to the mountaines & rockes, fall on vs, & hide vs from the presence of him, that sitteth on the throne, & from ye wrath of the lambe."
A19277,77,16,0,2,"In cause hereof, let me say vnto vs, with that holy Dauid Oh, (NOTE_16:0_4) cosider this, you that forget God, least the Lorde teare you in péeces, & there bée (PB_18) none to deliuer you."
A19277,78,16,0,3,"Séeing therefore yt all these thinges must be dissolued ( & come to passe) what manner of persons ought we to bée, (NOTE_16:0_5) in holy conuersation & godlinesse But when this iudge our Lorde Christ is thus gloriouslyset, then these foresaid persons of ech degrée, shall stand before him, euen great & smal: for neither heauen nor earth can hid them, or their crownes, their dignities, Lordships or warrelike courage, wealth, wil, or wit, shall be able to kéepe them from his presence, or escape the iust iudgemet which the balance of his equitie shal cast vnto the."
A19277,79,16,0,4,"Looke to this now, ye knights & gentils here present, & you rich in possessions, be not careles of your life: for godly preuention nowe, shal embolden your persons then, to lift vp your heades, because your redemption is the at hand. (NOTE_16:0_6)"
A19277,80,16,0,5,"This order then shall be obserued: The bookes shal be laid open before the Lorde: & euery man high & low, rich & poore, shall be iudged with the scepter of trueth, euen according as his déedes are written in those bookes."
A19277,81,16,0,6,"Note héere (beloued) by an elegant Metaphor, howe the spirite of GOD doth (PB_19) display the iudgementes of the Lorde."
A19277,82,16,0,7,"He alludeth vnto the iudiciall courtes of kinges & Potentates, where the bookes of recorde beare memorie of the faultes of men conuicted by good proofe."
A19277,83,16,0,8,"Not that the Lord hath néede of bookes: for he knoweth the thoughts, words & workes of all men, & of euery idle word, (NOTE_16:0_7) shall man be iudged: but, that héereby, he would sende vs, to our owne senses, to knowe & féele, that all our actions & heartes are in his sight, & cannot be wiped out of his remembrance by other pensill, then onely by true faith & repentance."
A19277,84,16,0,9,"And as we are fallen into this Metaphor, of the Lords bookes: So let vs know that the holy scriptures, (NOTE_16:0_8) attribute thrée bookes vnto God: viz. liber prouidentiae, Iudicii, & vitae: The booke of his prouidence: The booke of his iudgement: & the blessed booke of life."
A19277,85,16,0,10,"Of his prouidence, Dauid saith thus: (NOTE_16:0_9) Thine eyes did see mee, when I was without fourme: for in thy booke were all things writte, which in continuaunce were fashioned, when there was none of them before."
A19277,86,16,0,11,"O Lorde (sayth hée) (PB_20) when as yet I was not formed in my mothers wombe, thine eyes did see me, & in the book of thy foreknowledge & prouidence of thy diuine mind, were all men written from the foudation of the earth, when as yet there was not one begotten."
A19277,87,20,0,0,"The booke of his iudgementes, this former text doth enforce ye consideration of, which bookes were opened, & signifieth the certaine knowledge, of al the words & workes, of euery man, from Adam, tyll that instant, according to the which, they shall be all then iudged."
A19277,88,20,0,1,"For those things, which ye Lord now knoweth, as if he had them written in bookes, those thinges, that either our heartes, wordes or workes, haue imagined, spoken or done, the same then shall he then lay before vs, as if he redde them out of them, (NOTE_20:0_0) & shall thereby builde a reason vnto vs all, why some shall by iudgement goe to hell, some other vnto life."
A19277,89,20,0,2,"Be not deceiued therefore (good people) God is not mocked or beguiled: (NOTE_20:0_1) for we shall be adiudged of euery idle worde, yt shall be spoken: howe much more, of wicked déeds: as of idolatrie, whordome, blasphemie & such like Nowe go too, (PB_21) you that put farre away the euill day, (NOTE_20:0_2) & approch the seat of iniquitie, which take singular pleasure in ribauldry & filthy iesting: which can laughe the lowdest, when your lewde seruants are most disposed to lie."
A19277,90,20,0,3,"Doe you thinke indéed, ther is a God, that knoweth this A Scribe, that recordeth it A iudge, that will reuenge it & a day, that shall reueale it, by the bookes of your heauie iudgement And dare you continue your delight, in lying, whoring, in filthy iestinges, that are not comely, in such the workes of darkenesse, which rather you ought to reprooue in others, then to fauour or practise them your selues But these euils dwel not altogether in beggers, but you, you, eue you: (I say) who the Lord hath blessed with landes & reuenewes in great aboundance, which for your birthes, are called gentlemen, & for your chiualrie, knights: but for your follie, flattered as fooles, to winne of you preferment: euen of you (I said) there are, that dare dispise the spirit of trueth, with the false spirit of lying, ribauldry, & filthy whoredome."
A19277,91,20,0,4,"Your seruantes perceyuing your foolishnesse, are contented (PB_22) to sell themselues to hel, to gaine some earthly preferment at your handes."
A19277,92,20,0,5,"For, séeing your diuellish disposition, they frame their practise to your pleasurs: but you shalbe iudged of those thinges most seuerely."
A19277,93,20,0,6,"Oh, you seruing-men absteyne from pleasing your maisters, with this egregious lewdenes of lying."
A19277,94,20,0,7,"Wotte you what you doe & whose ye are (NOTE_20:0_3) you do make your soules the slaues of sathan, & you are herein, the children of the deuill your father, which is a lyer from the beginning."
A19277,95,20,0,8,"Cast of these works of darkenesse, haue no fellowship with them, but rather reprooue them, & those that vse them, yea, though they be your great masters."
A19277,96,20,0,9,"For, you are not called to serue men, but God."
A19277,97,20,0,10,"And you shall then be founde best profitable to your maisters, when you shall take sinne from their bodies, & exhort vertue to their soules."
A19277,98,20,0,11,"And be it knowne to you, you knightes héere present, & the rest, that, that noble Naaman had not béene clensed from his leprosie, had he not humbled his soule to the admonition of his godly seruing-men. (REF0) (NOTE_20:0_4)"
A19277,99,23,0,0," (PB_23) The Lorde GOD worke our conuersion in tyme, that wee may dye to sinne, & haue parte in the firste resurrection: so shall we bee sure not to taste of the seconde death: because our names are founde written, in the booke of life: Whereof nowe wee are to speake."
A19277,100,23,0,1,"And it is notable, that it is saide, euery man was iudged accordinge to his workes, that hée had done in his life time, not what others haue done for him, after."
A19277,101,23,0,2,"Yea, aswell the godly as the reprobate, are in theselues vnder the censure of the seconde booke, that is, condemnable to the seconde death."
A19277,102,23,1,0,"But now there is an other cause, why the godly are saued: namely, that their names are written in the booke of life. (NOTE_23:1_0)"
A19277,103,23,1,1,"This booke of life is not of this life corporall, but spiritual, & hath his beginning in these our dayes, but is perfited in the last resurrection, & is called the most sure, & swéete election & predestination of god, which doth seale & sanctifie to himselfe, those that be his, whom he hath chosen to be partakers of the first resurrection, before the beginning (PB_24) of dayes: (NOTE_23:1_1) & therefore they cannot perishe in the ende of time."
A19277,104,23,1,2,Of this booke speaketh Paule: The Lord knoweth who bee his.
A19277,105,23,1,3,"And though sparingly I would speak in singular reuerence of this hidde mystery, (NOTE_23:1_2) to many in ye world, & comfortable only to the childre of life, when their eyes be opened to reade this booke: yet in humblenesse of heart, I say thus much of it: This booke of life, is the most certaine, sure, firme, & eternall foreknowledge in the most holy minde of God, (NOTE_23:1_3) by the which hee euer hath & doeth in his Christ, & for him alone, appoint & choose vs, to be his children adopted to grace, & heires of eternall life, approueth them for his, & taketh peculiar & perpetuall care on them."
A19277,106,23,1,4,"I knowe my sheepe, saith Christ: I knowe whome I haue choosen & And those whome the Lorde writeth in this booke, those only shall haue saith & life."
A19277,107,23,1,5,"And whosoeuer is not written in this booke, without doubt, he shall be cast into the seconde death."
A19277,108,23,1,6,But howe shal we know that wee are written in this booke Surely euerie man is to séeke the knowledge héereof.
A19277,109,23,1,7,"To some it is (PB_25) giuen at morne, to other at noone, & to some onely at night, euen gasping at breath."
A19277,110,23,1,8,"The ordinarie way to this knowledge is elegatly set downe by Paul to the Romans, where the graces of God are so linked in one, & so easie to be perceiued, that euerie man may haue an insight, of this golden cheine yt feareth God. (NOTE_23:1_4)"
A19277,111,23,1,9,"We know that all thinges (saith he) worke together for the best, to to them that loue God, eue to them that are called of his purpose."
A19277,112,23,1,10,"For those who he knew before, he also predestinate to be made like to the image of his sonne, that he might be the first borne amonge manie brethren."
A19277,113,23,1,11,"Moreouer, Whome he predestinate, them also hee called, & whome hee called, them also hee iustified, & whome he iustified, them also he glorified."
A19277,114,23,1,12,"Héere, beloued, the booke is gods purpose to choose, & our writing in it is, that we are elected to liue in Christ before all times, a life conformable to the following of Christ: to bée holy & blameles, sober & godly, religious & iust, peaceable & blessed in this present worlde: And not to be worldly bent, & to blaspheme with rebellious (PB_26) spirites, saying: what should I feare to to robbe, to kil, to spoile, to whore it, & brace it, & to followe my lust For, if I be elected, I shalbe saued: if I be not elected, I shalbe daned."
A19277,115,23,1,13,"But beloued, Oh, hateful spirit against Gods holy spirit of our electio."
A19277,116,23,1,14,"Do you draw hence an other nature in the grace of this book namely, learne to sée, how those that are elected, those shalbe called to féele their election."
A19277,117,23,1,15,"And they shalbe iustified from their former corruptions, sanctified from after sinnes: & glorified to God."
A19277,118,23,1,16,"But as we haue said, those yt be not found writte in this booke, those shalbe iudged by ye other bookes of iudgement, & that according to their workes."
A19277,119,23,1,17,"This doctrine is héere deliuered vs to note: Iohn speaketh of the generall iudgement, executed long after the natural death, & he speaketh generally of all, when as (no doubte) great heapes of infinite thousands, haue had the works of Popes & Cardinals, popish priests, & sacrilegious Masses, trentals, doles & chauntrie fées, moonkish builde & frierish helpes for them."
A19277,120,23,1,18,"All whose works of darknesse notwithstanding, euery man shall rise vnchaunged, (PB_27) from his former state: For, euen so as he dyed, such shall he arise, & shall haue iudgement after his owne works, & not according to the merite of other mens labours for him after his death."
A19277,121,23,1,19,"Thus saith Gods spirite, which cannot lye: Away therefore with your prayer for the deade, your almes & dole to the poore, at the place & day of Funerals."
A19277,122,23,1,20,"And euen this day I exhort in the Lord, whom it doth most concerne, that as I knowe, & doe affirme your hate, to that pestilent péece of popery, & your sinceritie in Christ: so yée faithfully shewe it at this instant."
A19277,123,23,1,21,"Féede these poore assembled, but foster not that popishe opinion, to pray for the soule departed."
A19277,124,23,1,22,"Forget not ye Lord at this present, who hath not forgotte to bring you to great things."
A19277,125,23,1,23,Abstain (saith ye Apostle) not only from euill: but euen also from ye shadow & shew of euill.
A19277,126,23,1,24,"If it might be, take some other day for them & giue them wt warning, yt you meane no procuring of prayer for ye dead."
A19277,127,23,1,25,"For I know, yt you are assured, yt euery man shall appeare & aunswere for his owne factes, as well this reuerend corps going to his graue, (PB_28) as all you & wee here assembled, in cause of him."
A19277,128,23,1,26,"We must all appeare (saith Paule) before the iudgement seate of Christ, (NOTE_23:1_5) that euery man may receiue the things that are done in his bodie, according to that he hath done, whether it be good or euill."
A19277,129,23,1,27,"The Lord in mercy blesse vs with his grace, that liuing in him, we may die in the Lorde Christ, & so rest in peace, till our returne to this bodily resurrection, when we shall resigne to our soules, our newe bodies, though burned to ashes, eaten with vermine, in Sea, or by lande: For death, lande & sea, shall giue vppe, not newe creatures, but her receiued deade, to be revnited, to this resurrection."
A19277,130,23,1,28,"And so with holy Iob, we shall all sée our redéemer, not with other, but with these eyes, that nowe we haue, & with the selfe same bodies which nowe we beare, shall wée all both small & great, stande before the almightie Christ, the iudge of quick & deade."
A19277,131,23,1,29,To whom be glory for euer.
A19277,132,23,1,30,"And nowe time requireth to speake of the first resurrectio, which earst we called spirituall."
A19277,133,23,1,31,"And of this resurrection Paul speaketh thus: (NOTE_23:1_6) And when we were (PB_29) deade by sinnes, God in his rich mercie, through his great loue, wherewith hee loued vs, hath quickened vs together in Christ, by whose grace wee are saued: And hath raised vs vp together, & made vs sit together in the heauenly places in Christ Iesus. (NOTE_23:1_7)"
A19277,134,23,1,32,"And againe to the Romans thus: We are buried then with Christ by baptisme, into his death, that like as Christ was raised of God the father, so wee shoulde walke in newnesse of life."
A19277,135,23,1,33,"And nowe of these places we are to obserue: First, that there is a death, that goeth before this resurrection."
A19277,136,23,1,34,"Then, yt by an other power, beyonde our selues, we are reuiued, & raised from that death."
A19277,137,23,1,35,"And thirdly, what this life is, where vnto we are raised."
A19277,138,23,1,36,"To the first, this death is spiritual, & is none other but sinne, as here is saide: & when we were deade in sinne."
A19277,139,23,1,37,"And rightly is sin called death: for it killeth all the vitall partes of the soule, & maketh it not onely vnapt, but vnable to serue the liuing God."
A19277,140,23,1,38,It depriueth vs of the grace of God.
A19277,141,23,1,39,"It separateth Christ, (NOTE_23:1_8) which is our life, from vs, it bringeth sathan to possesse our soules, & haleth vs to the (PB_30) second death: which is the infernal lake."
A19277,142,23,1,40,"This is the nature of euery sinne, & therefore they are rightly saide to bée deade, which be possessed of it: as wholly cut off from God, estraunged from his life, (NOTE_23:1_9) & deade to godlynesse."
A19277,143,23,1,41,"So are the lashing widowes called deade in spirite, though they liue by nature, which giue themselues to carnalitie & fleshly lusts."
A19277,144,23,1,42,"And of such men also spake Christ the Lorde, saying: Let the deade burie their dead. (NOTE_23:1_10)"
A19277,145,23,1,43,"Nowe (beloued) drawe hence this doctrine: We are by course of naturall life sinners, but by our selfe delights, we are become deade in trespasses: but he that is dead, is so frée from life, that he hath no part of whatsoeuer is done vnder the sunne: as the preacher saith. (NOTE_23:1_11)"
A19277,146,23,1,44,"So now that I speake to you, that you conceiue, & we all féele the power of the voyce, it is by that wee liue: but this Corpes héere present, is so frée from all this, yt he neither heareth, or conceiueth, féeleth, or partaketh, whatsoeuer by his occasion héere is done: for hée is deade, & his life is not in him: Euen so (beloued) the deade in sinne are as frée from righteousnes, (PB_31) & the true féeling thereof: as this sanctified corpes is cut from our present action."
A19277,147,23,1,45,"Moreouer this corps can neither goe, nor stir, hinder or let those, that list to carry & conuey him whether they woulde: Neither can the deade in sinne, withstande the guide of his deadly soule, the killing diuell the prince of hell, but is ledde & drawen, euen whether & to what him lust: to whoredomes, murthers, lying, blasphemie, & what not (NOTE_23:1_12) For of whom so euer a man is ouercome, his seruant he is, whether of sinne vnto death, or of grace vnto life."
A19277,148,23,1,46,"Last of all, it is not in the power of any deade man to arise againe, till his life be returned to him: No more is it in ye power of man once deade in sin, to rise againe from it: vntill his life, which is Christ, returne, to reuiue him."
A19277,149,23,1,47,"Wherefore the Apostle saith, hee hath quickned vs, euen God the father, by the spirite of his Christ, hath raised vs vp with Christ."
A19277,150,23,1,48,"Where is then thy frée will, & power, to kéepe the wayes of God when thou hast eares, but fatted eares, that cannot heare: a heart, but blinded, (NOTE_23:1_13) that canot perceiue ye good wil of god: a soule, (PB_32) but deade & estraunged from the life of God. (NOTE_23:1_14)"
A19277,151,23,1,49,"And for this cause God is saide, to raise vs from the deade, that Christ may giue vs light, & that by his mighty operation through faith in him."
A19277,152,23,1,50,"It is his mighty operation, (NOTE_23:1_15) not mans weaknesse, to raise vs from sinne: For sathan is stronger then we, (NOTE_23:1_16) & holdeth vs (once dead) eue at his wil, as Paul saith, so as it is not possible for vs, to arise from his boos, til our life Christ, which is ye stroger, (NOTE_23:1_17) enter combat with him, bind him, & take vs (his spoile) away from him."
A19277,153,23,1,51,"The workeman then to raise vs in this first resurrection, is not man, but God."
