Phrase,Citations,Outliers,Text
2. Tim. 1.,2 Timothy 1,,2. Tim. 1.
Rom. 8.,Romans 8,,Rom. 8.
Hebr. 12.,Hebrews 12,,Hebr. 12.
Gen. 4.,Genesis 4,,Gen. 4.
Col. 2.,Colossians 2,,Col. 2.
Daniel. 17.,Daniel 17,,Daniel. 17.
Luke. 7.,Luke 7,,Luke. 7.
Psal. 21,Psalms 21,,Psal. 21
Ezech. 16.,Ezekiel 16,,Ezech. 16.
Psalm. 31.,Psalms 31,,Psalm. 31.
2 Reg 13.,2 Kings 13,,2 Reg ▪ 13.
Mat. 11.,Matthew 11,,Mat. 11.
Esay. 14.,Isaiah 14,,Esay. 14.
Apoca. 14.,Revelation 14,,Apoca. 14.
Heb. 5.,Hebrews 5,,Heb. 5.
Math. 22.,Matthew 22,,Math. 22.
"Malachi 3. verse 16, 17. 16",Malachi 3.verse 16; Malachi 17.16,,"Malachi 3. verse 16, 17. 16"
"Leui, ver. 8. chap. 2.",Leviticus 8.2,,"ver. 14. chap. 1. They were out of the way, they caused many to fall by the lawe, they brake the couenant of Leui, ver. 8. chap. 2. They defiled the holynes of the Lord, and maried the daughters of a straunge God, ver. 11. chap. 2. To be shorte they said that euerye one that dooth euill, is good in the sight of the Lord, and he deliteth in them."
Pro. 14.; Hebrewes. 4.,Proverbs 14; Hebrews 4,,"Whereby (right Honorable, and dearelye beloued) wee may s•e and obserue, not onelye that the feare of the Lord is a wel-spring of life, to auoid the snares of death, for so saith the wise man, Pro. 14. But also that y• word of God is sharper then any two edged swoorde, and pearceth, & cutteth, wheresoeuer it commeth, euen to the hard bones and marrow, for so saith the Apostle Hebrewes. 4."
2. King. 22.,2 Kings 22,,"for at the reading of the booke of the law by Shaphan, there was renting of cloathes, and melting of harts, and shedding of teares, in all humility, 2. King. 22."
Iohn. 3.,John 3,,"And so it preuailed with the King of Niniuie, and his People, for at the preaching of Ionas, there was proclaming of fastes, and putting on of sackcloath, and sitting downe in ashes, and crying mightilye vnto God, from the greatest to the least: Iohn. 3."
Esay. 2.,Isaiah 2,,"Come ye house of Iacob, let vs walk in the light of the Lord, Esay. 2. And so it preuailed with the people which heard Peters heauenly sermon:"
Act. 2.,Acts 2,,"for they were thereby euen pricked in their hartes ▪ and said, men and brethren what shall we do? Act. 2."
Amos. 2. 7.,Amos 2.7,,"insomuch that the father defloureth a woman, and to make her amendes marrieth her to hys owne sonne, Amos. 2. 7."
Pro. 22.,Proverbs 22,,"but the foole goeth on forward, and is snared, Pro. 22. Let vs be wise now at the length, and learne to hyde our selues in tyme vnder the sackcloath, and in the ashes of repentaunce."
Heb. 3,Hebrews 3,,"Let vs discharge that duety which the Apostle requireth Heb. 3 which is to exhorte one another, and to edifie one another, whiles it is called to day."
Daniel. 12. 3.,Daniel 12.3,,"Daniel. 12. 3. And that he that conuerteth a sinner from going astray, shall saué a soule from death, and shall hide a multitude of sinnes."
Iames. 5. ver. 20.,James 5.20,,"Iames. 5. ver. 20. This duety therefore as we owe one to another, and euery mā to his Neighbour, so the Lord make vs carefull to performe it, that we may be partakers with Israell, of such grace and fauour as doeth belong vnto it. Pars. 2."
Exod. 14.,Exodus 14,,"And yet he spake not a worde, only he sighed and groned. Exod. 14."
1. Sam. 1.,1 Samuel 1,,"No more did Anna, when the tears came down her chéeks, and her lippes were séene to moue, her voyce was not heard. 1. Sam. 1. Loquebatur non voce, sed corde:"
Luke. 18.; Mat. 15.,Luke 18; Matthew 15,,"for still it beggeth vengeance at Gods hands, and is therein so importunate, as that same poore widowe which followed the vnrighteous Judge, & woulde haue no naye, but still cryed Reuenge me on my aduersary, Luke. 18. or it is lyke that same sorrowfull womā of Canaan which followed our Sauiour Christe, crauing the health of her daughter so instantly, that the disciples said, Demitte eā quia clamat post nos, Dismisse her for she crieth after vs, Mat. 15."
Gen. 4.,Genesis 4,,and what a fearefull Judgement had he? Gen. 4.
1. Sam. 31.,1 Samuel 31,,"And the bloode of all the Priests whome Saul slew so butcherlike for affecting Dauid, neuer ceast crying out for due vengeance, vntill Saul with his owne hands, sheathed his owne sworde in his owne bowels, 1. Sam. 31. And what an outcrye made ▪ the innocent bloode of Naboth, shedde by the practise of Iezabel, and was not her rewarde thereafter?"
2. Kin. 9.,2 Kings 9,,"when her pride had a fall, her necke was broken, and the dogges deuoured her flesh & gnawed her bones. 2. Kin. 9."
2. Kings 12.,2 Kings 12,,"The innocencie of Zachary the preist (murthered by Ioas King of Iuda ) cryed so loud for vengeance, that the Lord brought the Kings own blood vpon his owne head, and suffred his own seruauntes to cutte him off in his neste, 2. Kings ▪ 12."
Exod. 22.,Exodus 22,,And this is apparant by his owne promise. Exod. 22.
Eccle. 38.,Ecclesiastes 38,,so saieth Eccle. 38. he heareth the prayer of the opressed.
Ioh. 9.,John 9,,"If any man be a woorshipper of God and doth his will, him doth he heare. Ioh. 9."
1. Thes. 4.,1 Thessalonians 4,,"Now this is his will, euen your holynes. 1. Thes. 4."
Leuit. 2.; Leuit. 23.,Leviticus 2; Leviticus 23,,"And we finde that there was a sacrifice of Remembrance, made by fire, for a sweete sauour vnto the Lord, to signifie that God will not forget him that offereth it, Leuit. 2. And we vnderstand of a Saboth of Remembrance to be obserued, and celebrated, for a memorial of the blowing of Trumpets, and of the Jubile. Leuit. 23."
Math. 26.,Matthew 26,,"for wheresoeuer this gospell shall be preached, through out all the world, there shal this also that she hath done bee spoaken of, for a memoriall of her, saith Christ Jesus himselfe. Math. 26."
Exod. 32.; Psal. 69.; Apoc. 3.,Exodus 32; Psalms 69; Revelation 3,,"For thereby is signified the booke of lyfe, wherein the righteous are written, and whereof we read. Exod. 32. Psal. 69. Apoc. 3."
Daniell. 12. ver. 1.,Daniel 12.1,,"And that you may sée in what stéed it wil stād you, to be writen in the booke of the Lordes Remembraunce, and to be remembred in the booke of lyfe, consider first of that which is set downe Daniell. 12. ver. 1."
Deu. 31.,Deuteronomy 31,,"And euen as Moyses commāded the Leuites to put this booke in the side of the Arke, that it might be for a witnes against them, when they disobeyed the same. Deu. 31."
Psa. 50.,Psalms 50,,in quo quotidiana conscrib〈 … 〉r peccata ▪ •aith Chrisost. in Psa. 50. The conscience is a booke where in a mans dayly sins are written.
Gen. 3.; Gen. 4.,Genesis 3; Genesis 4,,"This made the Father (I meane Adam ) a cr•ep•ish in Paradice, and this made him say Abscondi me, Gen. 3. This made, the sonne I meane, Caine a runnagate, and so restlesse that hee durst abide noe where, for feare his throat should be cut, ▪ Gen. 4. This made Ionas conuey him selfe into the bottome of the shippe, thinking there to hyde him selfe from the booke of his owne Gauled conscience."
Exod. 32. 32.,Exodus 32.32,,"First, the Names of all Gods Saints and seruants, and this is apparant by the wordes of Moyses, Exod. 32. 32."
Psal. 69.,Psalms 69,,"And Daniell praieth, that the wicked may be raced out of the boke of lyfe, and that they may not be written with the righteous. Psal. 69."
Ester. 6.,Esther 6,,"So that as Assuerus had his booke of rememberaunce, wherein the names of such, as had don him hye seruice at any time, wer vsually written, and as he finding that Mardocheus had discouered two traitours which sought to laye violent hands vpon the King, caused him to be honored, by putting on his owne rich apparel, and by wearing his royall crowne vpon his head, Ester. 6."
Ps. 56. 8.,Psalms 56.8,,"Ps. 56. 8. Can there, be a greater comfort then this when wee are brought to the stake to bee burnt, or to the sworde to be cut as flesh to the potte, or to the wilde horsses to be torne in a thousand peeces?"
Math. 25.,Matthew 25,,"Thirdly, In this booke of Remēbrance we shall finde written the works of our compassion, for so much doth the wordes of our Sauiour Christ importe, Math. 25. Who shall say to them on the right hand, Come ye blessed of my Father inherite ye the kingdome prepared for you frō the foūdation of the world, for I was an hungred & ye gaue me meat ▪ &c."
Ezech. 18.,Ezekiel 18,,"It is doubtles a great and gratious fauour when the Lord sayeth, At what time soeuer a sinner shall repent, I will blot his wickednes out of my Remembrance, Ezech. 18."
Ex. 32.,Exodus 32,,"the Lord himself yeelds the reason, Whosoeuer sinneth against me, I will put his name out of my booke. Ex. 32. And againe."
Psal. 1.,Psalms 1,,But it is their Judgemēt to be scattred lyke the chaffe before the wind: Psal. 1.
Psal. 68.,Psalms 68,,To be withered lyke grasse before the Sonne. Psal. 37. and to melt or consume lyke waxe before the fire. Psal. 68. that is:
Iob. cap. 19.,Job 19,,"And so to conclude this point I can say no more but onely wish with Iob. cap. 19. That my words were written in a booke, and Ingrauen with an Iron pen in lead or in stone, for euer, id est, in the harts and minds of you all, so many as are here present, whether they be like vnto a booke, id est, learned and wise, and well able to instruct others:"
Ioh. 10.; Ex. 19.,John 10; Exodus 19,,"My shepe know my voice, Ioh. 10. And Moyses had incharge to tel the Israelites thus much from the Lord, that if they wold here his voyce in deed, & kéep his couenāt, then they should be his flock or chief tresure aboue al people, Ex. 19. let this then stand •or one of the most happiest prerogatiues of the flock of Christ, that it is & will be assembled at the sounde of his heauenlye worde, from the rascall hearde of goates."
1. King. 3.,1 Kings 3,,and rent in sonder his tender harte? Wherefore as nature forced the right mother to abhorre the deuiding of her owne childe. 1. King. 3.
Psal. 23.,Psalms 23,,"For Dauid saith The Lord is my shepheard, therfore I shal wāt nothing. Psal. 23."
Esay. 40.,Isaiah 40,,"By the greene pasture we are to vnderstand, the woorde of trueth, Quod manet in aeternum: Esay. 40."
Io. 7.,Job 7,,"And by the waters of comforte, he meaneth the graces of the holye Ghost according to that which is written. Io. 7."
"Psa, 23.",Psalms 23,,"Fourthlye, this flocke is sure to be guided, and directed by the Lordes owne hand, Hee shall lead mee in the pathes of righteousnes, saith Dauid. Psa, 23."
Psal. 34.,Psalms 34,,"The Angell of the Lord pitcheth round about them that feare him, & delyuereth them. Psal. 34."
Psal. 91.,Psalms 91,,"They shall beare thee in their handes, that thou dashe not thy foote against a stone. Psal. 91."
Gen. 32.,Genesis 32,,"Was not Iacob comforted against Esau, by an host of Angels? Gen. 32."
2. King. 6.; Math. 4.,2 Kings 6; Matthew 4,,"Was not Elizeus sauegarded by an army of Angels from the Assirians? 2. King. 6. Was not our blessed Sauiour Christe himselfe ministred vnto by Angels? Math. 4. Moste wonderfull is the protection, and most tender is the care which the Lord hath ouer his flocke."
Math. 10.,Matthew 10,,"when in the meane time our Sauiour Christ telleth his disciples, that their estate in this lyfe shall be Tanquam Oues in medio Luporum, As shepe in the middest of Wolues, Math. 10. Is this all the care he hath of his flock?"
Luk. 15.,Luke 15,,"And if they be but in daunger once, he will doe as that same good shepheard did, whereof we read in the Gospell. Luk. 15."
psal. 92.,Psalms 92,,"And no maruaile if the Churche it selfe be compared to a Palme trée, psal. 92. Which for all the froste of Winter, and scorching of Sommer, and blustering of windes, and pressing downe of waightes, yet it will still bee greene, and florishe, and rise vp against and aboue the burtheng, and therfore was giuen to Conquerors in token of victorye."
2. Reg. 6.,2 Kings 6,,"They that are with vs, be moe then they that be against vs, 2. Reg. 6. And because Michaell and his Angels haue beene, bee, and shallbe to good for the Dragon and his Angelles for euer. Appo. 12."
Math. 25.,Matthew 25,,"Thirdly that it shall be leased, and possessed of that kingdome which was prepared for them before the foundations of the world. Math. 25."
Psal. 103.,Psalms 103,,The like promise is made generally to all them that feare God. Psal. 103.
1. Sam. 14.,1 Samuel 14,,"Saule made an odlawe, & when Ionathas his sonne was within the lurtch of it, hee would haue cut him off, had not the people stoode him in stead and rescued him. 1. Sam. 14. Herode hauing but onlie two sonnes, Alexander and Aristobolus, vppon a false surmise strangled them both."
1 Sam. 4.,1 Samuel 4,,"do you but measure the tender affectiō of parents toward their children by olde Elie, who hearing of the death of Hofni & Phinehas his sons, with very wo fell downe backward & brake his necke. 1 Sam. 4. Or by Dauid, who at the death of that one sonne which was begotten in adulterie:"
2. Sa. 12.; 2. Sam. 18. 33.,2 Samuel 12; 2 Samuel 18.33,,"did so take on, that very sorrow had almost broken his very heart insunder. 2. Sa. 12. 2. Sam. 18. 33."
Ier. 3.,Jeremiah 3,,"And as Ieremy saith, He will be called our Father. Ier. 3."
Math. 23.,Matthew 23,,"So whye our Sauiour Christ should forbid vs to call any other by the name of Father here in earth, saying For one is your Father in heauen, Math. 23. I knowe no reason but this, for that no father on earth doeth so tenderlye loue his owne children, as our heauenlye Father doeth affect and like of vs, being but his adopted children."
Iohn 6. 37.,John 6.37,,"Iohn 6. 37. All that the Father giueth me, shal come vnto me, & him that commeth to me, I cast not away."
Iohn. 8. 47,John 8.47,,Iohn. 8. 47
Act. 13. 48.,Acts 13.48,,Act. 13. 48.
Act 13. 48,Acts 13.48,,Act 13. 48
Deutro. 29. 29.,Deuteronomy 29.29,,Deutro. 29. 29.
Ro. 1. 14.,Romans 1.14,,Ro. 1. 14.
Ro. 8. 30.,Romans 8.30,,Ro. 8. 30.
Ro. 9. 22. 23.,Romans 9.22; Romans 9.23,,Ro. 9. 22. 23.
Eph. 1.,Ephesians 1,,Eph. 1.
Mat. 13. 11.,Matthew 13.11,,Mat. 13. 11.
Math. 25.,Matthew 25,,Math. 25.
Luke. 2. 34,Luke 2.34,,Luke. 2. 34
Ro. 9.,Romans 9,,Ro. 9.
Ephese. 1. 5. Ver. 4.,Ephesians 1.5; Ephesians 1.4,,Ephese. 1. 5. Ver. 4.
1. Cor. 7. 25.,1 Corinthians 7.25,,1. Cor. 7. 25.
Ro 4.,Romans 4,,"Againe to the Romans, There is a remnant according to the election of grace, of grace, I say, and marke it, he saith not of merit, or for merit, for grace excludeth merit, as the Apostle plentifully prooueth, Ro 4. And Sainct Austine plainly confessed when he saide, Gratia non est vllo modo, nisi sit gratuita omni modo."
Ro. 11. 5.,Romans 11.5,,Ro. 11. 5.
Ro. 4.,Romans 4,,Ro. 4.
Ihon. 6.,John 6,,Aug. in Ihon. 6.
2. Tim. 2. 19.,2 Timothy 2.19,,2. Tim. 2. 19.
Ro. 11. 25.,Romans 11.25,,Ro. 11. 25.
2. Cor. 2 16.,2 Corinthians 2.16,,2. Cor. 2 16.
Ro. 2. 4.,Romans 2.4,,Ro. 2. 4.
Galat. 5. 13,Galatians 5.13,,Galat. 5. 13
1. Cor. 11.,1 Corinthians 11,,1. Cor. 11.
1 Peter. 2. 8.,1 Peter 2.8,,1 Peter. 2. 8.
Tit. 1. 15.,Titus 1.15,,Tit. 1. 15.
Rom. 8.,Romans 8,,Rom. 8.
Luc. 12. 7.,Luke 12.7,,The nūber of the elect and knowledg of them in God. Luc. 12. 7.
2 Tim. 2. 19.,2 Timothy 2.19,,2 Tim. 2. 19.
Lucke. 10. 20.,Luke 10.20,,Lucke. 10. 20. Iho. 10. 13.
Ihon. 16. 9.,John 16.9,,Ihon. 16. 9.
Lucke. 12. 32.,Luke 12.32,,Lucke. 12. 32.
Lucke. 10. 20.,Luke 10.20,,Lucke. 10. 20.
Ro. 8. 33.,Romans 8.33,,Ro. 8. 33.
Act. 4. 27. 28.,Acts 4.27; Acts 4.28,,Act. 4. 27. 28.
Act 27.,Acts 27,,Act 27.
number 276.,Numbers 276,,"Before the extremitie of the perill, God, that is euer carefull to comfort his by his Angel, in yt night foretould Paule of all yt should happen, had him not feare, for he should escape, and for his sake all likewise that were with him which were in number 276. soules."
Math. 2.,Matthew 2,,Math. 2.
Lucke. 2. 51.,Luke 2.51,,Lucke. 2. 51.
Tit. 1. 1.,Titus 1.1,,Tit. 1. 1.
Act. 13. 48.; Ro. 8.,Acts 13.48; Romans 8,,Act. 13. 48. Ro. 8.
Lamen. 3 40.; 2. Cor. 13,Lamentations 3.40; 2 Corinthians 13,,Lamen. 3 40. 2. Cor. 13
Eccle. 19,Ecclesiastes 19,,Eccle. 19
Dan. 4. 28,Daniel 4.28,,Dan. 4. 28
Ezek. 28. 2,Ezekiel 28.2,,Ezek. 28. 2
Psal. 91. 5,Psalms 91.5,,Psal. 91. 5
1. Sam. 25 29.,1 Samuel 25.29,,1. Sam. 25 29.
Philip. 2,Philippians 2,,Philip. 2
1. Iohn. 4,1 John 4,,1. Iohn. 4
Math. 5. 9,Matthew 5.9,,Math. 5. 9
Ephes. 4. 4,Ephesians 4.4,,Ephes. 4. 4
Psal. 50. 16,Psalms 50.16,,Psal. 50. 16
Pro. 6. 19,Proverbs 6.19,,Pro. 6. 19
Pro. 20. 3,Proverbs 20.3,,Pro. 20. 3
Marc. 9. 50.,Mark 9.50,,Marc. 9. 50.
Heb. 10. 24,Hebrews 10.24,,Heb. 10. 24
Dan. 5,Daniel 5,,Dan. 5
Mar. 6. 34,Mark 6.34,,"Sublatis studiorū pretijs, etiam studia pereūt. Corn. Tacit. Annal. 11 Mar. 6. 34"
Act. 5.,Acts 5,,Act. 5.
2. Kings. 4 10,2 Kings 4.10,,2. Kings. 4 10
2. Peter. 1. 10.,2 Peter 1.10,,2. Peter. 1. 10.
Psal. 51,Psalms 51,,Psal. 51
Psal. 1,Psalms 1,,Psal. 1
Iere. 32. 40,Jeremiah 32.40,,Iere. 32. 40
Math. 24.,Matthew 24,,Math. 24.
Ihon. 10. 28.,John 10.28,,Ihon. 10. 28.
Psal. 51.,Psalms 51,,Psal. 51.
Ihon 13. 1; Hebr. 13. 8,John 13.1; Hebrews 13.8,,Ihon 13. 1 Hebr. 13. 8
Ruth. 1. 16,Ruth 1.16,,Ruth. 1. 16
Pro. 17. 17.,Proverbs 17.17,,Pro. 17. 17.
Ephes. 6.,Ephesians 6,,"A thing that euer God required in seruants, and a thing that euer God hath honoured with his blessings vpon it, and remembrances of it in his word, Ephes. 6. Seruants (saith the Lord) obay them that are your masters with feare and trembling, that is, with carefull reuerence in singlenes of your heart, as vnto Christ."
Gen. 24.,Genesis 24,,Gen. 24.
Gen. 29.,Genesis 29,,Gen. 29.
Gen. 39.,Genesis 39,,Gen. 39.
Gen. 39. 8. 9.,Genesis 39.8; Genesis 39.9,,Gen. 39. 8. 9.
Gen. 31. 2.,Genesis 31.2,,Gen. 31. 2.
Gen. 41 43.,Genesis 41.43,,"A terme giuen then & since to Magistrates and men in authoritie, to teach them with what affectiō they should loue their inferiours, euen as children, & howe inferiours ought to honour them euen as Fathers. Gen. 41 43."
Gen. 23.; Num. 12. 11.; 1. Sam. 9. 6.,Genesis 23; Numbers 12.11; 1 Samuel 9.6,,Gen. 23. Num. 12. 11. How good men speake to men of authoritie. 1. Sam. 9. 6.
Iudg 6. 22.,Judges 6.22,,Iudg 6. 22.
Num. 26. 10.,Numbers 26.10,,Num. 26. 10.
2. Sam. 13. 29,2 Samuel 13.29,,2. Sam. 13. 29 ▪
2. Chro. 10. 10.,2 Chronicles 10.10,,2. Chro. 10. 10.
2. Kin. 16. 11,2 Kings 16.11,,2. Kin. 16. 11
Act. 12. 22.,Acts 12.22,,Act. 12. 22.
Ephes. 4. 11.,Ephesians 4.11,,Ephes. 4. 11.
2. Tim. 3. 16.,2 Timothy 3.16,,2. Tim. 3. 16.
Matth. 28. 19,Matthew 28.19,,Matth. 28. 19
1. Sam. 8. 7.,1 Samuel 8.7,,1. Sam. 8. 7.
1. Cor. 1.,1 Corinthians 1,,1. Cor. 1.
Gen. 32. 10.,Genesis 32.10,,Gen. 32. 10.
Psal. 103.,Psalms 103,,Psal. 103.
Luc. 1.,Luke 1,,Luc. 1.
Matth. 3.,Matthew 3,,Matth. 3.
Act. 2.,Acts 2,,Act. 2.
Reuel. 3.,Revelation 3,,Reuel. 3.
Galath. 4. 15,Galatians 4.15,,Galath. 4. 15
Epist. 18.,Epistle 18,,Epist. 18.
Epist. 9,Epistle 9,,Cicero ad Attic. lib. 11. Epist. 9
Luke 16. 17.,Luke 16.17,,Luke 16. 17.
"Romanes, chap. xi.",Romans 11,,"A Sermon of the true and gladsome Oliue tree, mentioned in the Epistle of Sainct Paul to the Romanes, chap. xi. preached at London by a faithfull Minister of God, Iohn Foxe, at the christening of a certaine Iewe, translated out of Latine into Englishe."
Rom. 11.,Romans 11,,I wil magni•ie mine office. Rom. 11.
Galat. 5.,Galatians 5,,Galat. 5.
Psalm 68.,Psalms 68,,Esay.6. Psalm 68.
Ioan. 4.,John 4,,Ioan. 4.
Exod. 33.,Exodus 33,,Exod. 33.
Rom. 9.,Romans 9,,Rom. 9.
Ephe 5.,Ephesians 5,,Ephe 5.
Psalme 132:,Psalms 132,,"Euen so the Iewes, although they prescribe vpon a promised place in Sion, Psalme 132: Here will I buylde my Tabernacle, because I haue chosen it. Againe in the Prophet Esay."
Psal. 117,Psalms 117,,Psal. 117
Esay. cap. 10.,Isaiah 10,,Esay. cap. 10.
Esay. cap. 17.,Isaiah 17,,Esay. cap. 17.
Esay. cap. 24.,Isaiah 24,,Esay. cap. 24.
Esay. cap. 63.,Isaiah 63,,Esay. cap. 63.
Esay. cap. 35.,Isaiah 35,,Esay. cap. 35.
Esay. 9.,Isaiah 9,,Esay. 9.
Zach. 9.,Zechariah 9,,Zach. 9.
Esay. 53.,Isaiah 53,,Esay. 53.
Esay. cap. 53.,Isaiah 53,,Esay. cap. 53.
Malac. 3.,Malachi 3,,Malac. 3.
Gene. 4.,Genesis 4,,Gene. 4.
Gene. 37.,Genesis 37,,Gene. 37.
Exod. 12.,Exodus 12,,Exod. 12.
Exod 32.,Exodus 32,,Exod 32.
Numer. 16.,Numbers 16,,Numer. 16.
1. Reg. 18.19,1 Kings 18.19,,1. Reg. 18.19
Esay. 8.,Isaiah 8,,Esay. 8.
Mala. 1.3.4.,Malachi 1.3; Malachi 1.4,,Mala. 1.3.4.
Zach. 9.,Zechariah 9,,Zach. 9.
Zachar. 9.,Zechariah 9,,Zachar. 9. Esay.42.
Esay 6.,Isaiah 6,,Esay 6.
Esai. cap. 40.,Isaiah 40,,"The ende of our warfare by the Prophete, Esai. cap. 40."
Iere. 23.,Jeremiah 23,,Iere. 23.
Iere. 23.,Jeremiah 23,,Iere. 23.
Iere. 24.,Jeremiah 24,,Iere. 24.
Iudg. 16.,Judges 16,,Iudg. 16.
