Phrase,Citations,Outliers,Text
Mat. 19. •.,Matthew 19,['Matthew 19.•'],Mat. 19. •.
Rom. 2. •.,Romans 2,['Romans 2.•'],Rom. 2. •.
Mat. 21. 3•,Matthew 21,['Matthew 21.3•'],Mat. 21. 3•
Exod. XXXII. •,Exodus 32,['Exodus 32 •'],Exod. XXXII. • ▪
"Luk 7 12, 13 • 14 •",Luke 12,['Luke •'],"Dr. Walker Funr. Serm. on Luk 7 12, 13 • 14 • •r•gia. nulla retrorsum."
Rom. 5.12. & 6.23.) &,Romans 5.12,['Romans 6.23.)'],"Peccatum peperit mortem, & filia devoravit matrem. Sin brought in death, ( Rom. 5.12. and 6.23.) and death carryes out sin;"
Rev. 7.15; Luke 16. 2•.,Revelation 7.15; Luke 16,['Luke 16.2•'],"Oh! how delightful will it be to be in their company in Heaven, where they serve God perfectly without sinning, day and night in his Temple, Rev. 7.15? We find, Luke 16. 2•. how that Lazarus departed, is carried by the Angels into Abrahams bosom; and then, v. 25."
Luk. 19. 4•.,Luke 19,['Luke 19.4•'],Luk. 19. 4•.
Mat. 5. ◊,Matthew 5,['Matthew 5.◊'],"BVT the design in the Circumcision 〈 ◊ 〉 the Son of God, was for the fulfilling of t•• Law, which he came to do, Mat. 5. 〈 ◊ 〉 again to abolish the law, which as a shadow went before him the body, untill he wa• incarnat, which being done, as a shadow must go behind, and at his ascending, vani•• away, he himself being the substance of th• shadow, perfecting throughly what it in 〈 ◊ 〉 only endeavoured, therefore must 〈 ◊ 〉 children of Israel, (according to the 〈 ◊ 〉 Ios. 5.)"
Je. 18 • &,Jeremiah 18,['Jeremiah 18 •'],"but was it not (if true) a shrewd sign of the fulfilling of that prophesy, I will shew them the back, and not the face in the day of their calamity, Je. 18 • & hath so long taken his countenance from them, that that wherwith they apbraided Iesus, of his being a Friend to publicans, to sinners, is now their greatest, and most ordinary employment, in point of trust, among the Turks, they being under that disgrace, that in no Nation, are they martial'd or embodyed in an army for the field;"
2 Cor. 7.1.; 1 Thes. 5. 2•.; 1 John 3.3.,2 Corinthians 7.1; 1 Thessalonians 5; 1 John 3.3,['1 Thessalonians 5.2•'],"There is no man whose heart and ways are cleansed by the blood of Christ, through the effectual application of it by the Holy Spirit, in the ordinance of the Gospel, but he hath or may have a refreshing experience of it in his own soul, and by the power which is communicated therewith, he is stirred up unto all that exercise of Faith, and all those duties of obedience, whereby the work of purifying and cleansing the whole person may be carryed on toward perfection, see 2 Cor. 7.1. 1 Thes. 5. 2•. 1 John 3.3."
1 Pet. 1: •.,1 Peter 1,['1 Peter 1.•'],"Well may they love their Lord, and believing rejoyce with joy unspeakable and full of glory, 1 Pet. 1: •. In the third place the Directions follow, how you may increase and grow in the Knowledge of Jesus Christ. The directions are these:"
Eph. 1.3; 1 Pet. 1. •.,Ephesians 1.3; 1 Peter 1,['1 Peter 1.•'],"But under the New Testament, he is styled again, The God and Father of our Lord Jesus Christ, Eph. 1.3 1 Pet. 1. •."
"PROV. XXX. VIII, IX.",Proverbs 9,['Proverbs viii'],"Quest. Wherein is a middle worldly condition most eligible? SERMON XVII. PROV. XXX. VIII, IX. Remove far from me Vanity and Lies, give me neither Poverty nor Riches, feed me with food convenient for me."
Psal. 65. 2•,Psalms 65,['Psalms 65.2•'],Psal. 65. 2•
1 Cor. 11. 1•.,1 Corinthians 11,['1 Corinthians 11.1•'],1 Cor. 11. 1•.
"Gen. 12.1, 2, 3, 4. Cap. 22.1, 2, 3, — 10 — 16, 17, 18.; Acts 20.22, 23, 24. 2.",Genesis 12.1; Genesis 12.2; Genesis 12.3; Genesis 4.22; Genesis 4.1; Genesis 4.2; Genesis 4.17; Genesis 4.18; Acts 20.22; Acts 20.23; Acts 24.2,['Genesis 4.-'],"why! to fit him for great Tryalls & Mercies, Gen. 12.1, 2, 3, 4. Cap. 22.1, 2, 3, — 10 — 16, 17, 18. this was Pauls Frame, Acts 20.22, 23, 24. 2. That Frame is most fit to meet the Lord in the way of Judgment or Mercy which Christ chose to suffer in, and so to enter into Glory."
Psal. 119. 1•0.,Psalms 119,['Psalms 119.1•'],Psal. 119. 1•0.
Ephe 5. 1•.,Ephesians 5,['Ephesians 5.1•'],Ephe 5. 1•.
"1 Kings 3.8 18, 19, 2•, 26.",1 Kings 3.8 18; 1 Kings 3.19; 1 Kings 3.26,['1 Kings 3.2•'],"1 Kings 3.8 18, 19, 2•, 26."
reg. l. •. c 14.,Kings 50,['Kings 50 •.100 14'],"Scrupulus — vel melancholia vel enatus — Konig. ibid p. 15. — item ex aegritudine & infirmitate — ex nonnullis causis quae cerebrū exsiccant, ut sunt jejunium, v•giliae, &c. S yr. cl. reg. l. •. c 14. p. 42"
"2 Sa. 12.5, 6, 7; 2 Sam. 14.4, 1•.",2 Samuel 12.5; 2 Samuel 12.6; 2 Samuel 12.7; 2 Samuel 14.4,['2 Samuel 14.1•'],"2 Sā. 12.5, 6, 7 2 Sam. 14.4, 1•."
Jam. 4. •.,James 4,['James 4.•'],Jam. 4. •.
Job 31. 3•. v. 40.,Job 31,['Job 31.3•.40'],Job 31. 3•. v. 40.
Psal. 73. •.,Psalms 73,['Psalms 73.•'],Psal. 73. •.
Rev. 21. •.,Revelation 21,['Revelation 21.•'],Rev. 21. •.
"Isa. 5.2, &c,",Isaiah 5.2,['Isaiah '],"Isa. 5.2, &c,"
Phil. 1. •.,Philippians 1,['Philippians 1.•'],Phil. 1. •.
"Ephes. 5.8.; Ephes. 2.5, 1•.",Ephesians 5.8; Ephesians 2.5,['Ephesians 2.1•'],"Ephes. 5.8. Ephes. 2.5, 1•."
Job 22. 2•.,Job 22,['Job 22.2•'],"Homo Sapiens est quamdiu quaerit sapientiam, ubi autem se putat ad ejus culmen pervenisse, desipit, Sap. Arab. apud Drusium. . Theodor. de curand. Graec. affest. Theod•ret. Just. Mart. in Exp. sid. Tu disputa, ego credo. Job 22. 2•."
Heb. 1. 3•,Hebrews 1,['Hebrews 1.3•'],Heb. 1. 3•
Rom. 7. 22•,Romans 7,['Romans 7.22•'],Rom. 7. 22•
Job 31. 13•,Job 31,['Job 31.13•'],Job 31. 13•
1 Pet. 2. 2•,1 Peter 2,['1 Peter 2.2•'],1 Pet. 2. 2•
Prov. 14.10.; 2 Sam. 18. 3•.,Proverbs 14.10; 2 Samuel 18,['2 Samuel 18.3•'],Prov. 14.10. 2 Sam. 18. 3•.
Isa. 64.5; Psal. 111. 2•.; Eccl. 3.11.; 2 Sam. 23.4.,Isaiah 64.5; Psalms 111; Ecclesiastes 3.11; 2 Samuel 23.4,['Psalms 111.2•'],Isa. 64.5 Psal. 111. 2•. Eccl. 3.11. 2 Sam. 23.4.
Lam. 3 4•.,Lamentations 3,['Lamentations 3 4•'],Lam. 3 4•.
"Exod. 3.12. & 4.23. & 7.16. & 8.1, 20. & 9.1, 13. & 10.3, 7, 8, 11, 24.26. & 12.31.; Deut. 6.13. & 10.10.20. & 13.14. & 28.47.; 1 Sam. 7.3. & 12.10.; Psal. 2. • 1.; Jer. 30.9.; Mat. 4.10. & 6.24.; Luke 1.74. & 2.37. & 4.8.; Acts 7.7. & 26.7.",Exodus 3.12; Exodus 4.23; Exodus 7.16; Exodus 8.1; Exodus 8.20; Exodus 9.1; Exodus 9.13; Exodus 10.3; Exodus 10.7; Exodus 10.8; Exodus 10.11; Exodus 24.26; Exodus 12.31; Deuteronomy 6.13; Deuteronomy 10.10; Deuteronomy 10.20; Deuteronomy 13.14; Deuteronomy 28.47; 1 Samuel 7.3; 1 Samuel 12.10; Psalms 2; Jeremiah 30.9; Matthew 4.10; Matthew 6.24; Luke 1.74; Luke 2.37; Luke 4.8; Acts 7.7; Acts 26.7,['Psalms 2.• 1'],"That serving God is so comprehensive as to take in the whole worship of God, these Scriptures make manifest: Exod. 3.12. and 4.23. and 7.16. and 8.1, 20. and 9.1, 13. and 10.3, 7, 8, 11, 24.26. and 12.31. Deut. 6.13. and 10.10.20. and 13.14. and 28.47. 1 Sam. 7.3. and 12.10. Psal. 2. • 1. Jer. 30.9. Mat. 4.10. and 6.24. Luke 1.74. and 2.37. and 4.8. Acts 7.7. and 26.7."
Prov. 6 1•.,Proverbs 6,['Proverbs 6 1•'],Prov. 6 1•.
1 King. 2.3. & • 3.,1 Kings 2.3,['1 Kings • 3'],1 King. 2.3. and • 3.
Psal. 37. 2•,Psalms 37,['Psalms 37.2•'],Psal. 37. 2•
"Phil. 1.9, 1•.",Philippians 1.9,['Philippians 1.1•'],"Phil. 1.9, 1•."
Jer. 5. 3•,Jeremiah 5,['Jeremiah 5.3•'],Jer. 5. 3•
Prov. 8. 2••,Proverbs 8,['Proverbs 8.2••'],"see what the Scripture doth hold forth of him, Prov. 8. 2•• I was set up from everlasting, from the beginning• it is spoken of Christ, it is said of him, that he 〈 ◊ 〉 from everlasting, in the beginning, before there 〈 ◊ 〉 a world, before any sea, before any earth, before any mountains, Christ was from everlasting;"
"Luke 11. 8, •.",Luke 11.8,['Luke 11.•'],"O what incouragement doth Christ give in Luke 11. 8, •. by a parable there, of a man being in bed?"
Gen. 4. 2•,Genesis 4,['Genesis 4.2•'],Gen. 4. 2•
Isa. 51. 6•,Isaiah 51,['Isaiah 51.6•'],"But to such an one that will undo the heavy burthens, and let the oppressed go free, according to that of Isa. 51. 6• … I say, to such a Father, Master and Prince, there is a more Tender, Respective, Affectionate Rendring due, and that by way of Requital, to answer the Love, Bounty and Care of such a Father, Macter or Prince."
Jer. 20. •.,Jeremiah 20,['Jeremiah 20.•'],"if thine heart were as big, and as hot as that holy Prophet was, Jer. 20. •. thou wouldest say as he did, I am weary of forbearing."
2 Thess. 6 7•,2 Thessalonians 6,['2 Thessalonians 6 7•'],2 Thess. 6 ▪ 7•
"Rom. 8. 17.; Rev. 1. 6. & 5. 1•. & 20. 6.; 1 Cor. 6. 2, 3.",Romans 8.17; Revelation 1.6; Revelation 20.6; 1 Corinthians 6.2; 1 Corinthians 6.3,['Revelation 5.1•'],"He will make them Kings and Priests to God, and coheirs with Christ in the glorious Inheritance: Rom. 8. 17. Rev. 1. 6. & 5. 1•. & 20. 6. They shall Iudge the World, and Angels, 1 Cor. 6. 2, 3. They shall see God, Matth. 5. and be called his Children;"
"2 Cor. 4.18.; Mat. 6.20, 21.; Col. 3.1, 2, •, 4.",2 Corinthians 4.18; Matthew 6.20; Matthew 6.21; Colossians 3.1; Colossians 3.2; Colossians 3.4,['Colossians 3.•'],"2 Cor. 4.18. Mat. 6.20, 21. Col. 3.1, 2, •, 4."
Mark 4. 1•,Mark 4,['Mark 4.1•'],"and you hinder the forgi•••ness of them by refusing to be be convette• When God forsaketh stubborn souls 〈 ◊ 〉 resisting his grace, note how he expre••seth his severity against them, Mark 4. 1• ▪ That seeing they may see and not percei•• and hearing they may hear and not under•stand, lest at any time they should be converted, and their sins should be forgiven them."
Psal. 84. •,Psalms 84,['Psalms 84.•'],"] If we say with Davi• [ Blessed are they that dwell in thy house they will be still praysing thee, ] Psal. 84. • much more may we say, [ Blessed an• they in whom Christ dwelleth, and the Hol• Ghost hath made his Temple:"
"Psal. 104.33, 3•",Psalms 104.33,['Psalms 104.3•'],"I 〈 ◊ 〉 sing praise to my God while I have my being ▪ My Meditation of him shall be sweet 〈 ◊ 〉 will be glad in the Lord, Psal. 104.33, 3• ▪ Could you say with full assurance that 〈 ◊ 〉 are the children of the Promises, and 〈 ◊ 〉 they are all your own, how sweet would 〈 ◊ 〉 reading and meditation on the holy script••• be to you!"
Rom. 13 •; Mat. 22.37.; Mark. 12.33.,Romans 13; Matthew 22.37; Mark 12.33,['Romans 13 •'],"〈 ◊ 〉 the fulfilling of the Law, Rom. 13 ▪ • Mat. 22.37. Mark. 12.33."
Verse 8. ◊,Verse 8,['Verse 8.◊'],Verse 8. 〈 ◊ 〉
Numb. 23. 2•; Heb. 7.25.,Numbers 23; Hebrews 7.25,['Numbers 23.2•'],Numb. 23. 2• Heb. 7.25.
Act. 2. ◊,Acts 2,['Acts 2.◊'],Sen. 〈 ◊ 〉 Act. 2. 〈 ◊ 〉
"Jer. 43. 2. 44. 16, 17.; Ezek. 33. 3•.",Jeremiah 43.2; Jeremiah 43.44; Jeremiah 43.16; Jeremiah 43.17; Ezekiel 33,['Ezekiel 33.3•'],"Jer. 43. 2. 44. 16, 17. Ezek. 33. 3•."
Isa. 40. 28. &; Psal. 147. 5.; Rom. 11. 34.; Isa. 40. 1•,Isaiah 40.28; Psalms 147.5; Romans 11.34; Isaiah 40,['Isaiah 40.1•'],"Now then, this infinite spirit is an alknowing spirit, al-seeing spirit, as well as al-present; There is no searching of his understanding, Isa. 40. 28. and Psal. 147. 5. Who hath directed this spirit, or being his counsellour hath taught him? Rom. 11. 34. Isa. 40. 1• …."
"Joh. 3.19 20. & 11.9, 10.",John 11.9; John 11.10,['John 3.19 20'],"Joh. 3.19 ▪ 20. and 11.9, 10. Are they not such, in whic• men stumble, though they seem to walk easily and plainly into them?"
1 Cor. 8. 2•,1 Corinthians 8,['1 Corinthians 8.2•'],"Hence is it, that these holy men who know mo•• of God, think they know least, because they see mor• to be known, but infinitly surpassing knowledge pride is the daughter of ignorance only, and h• that thinketh he knoweth any thing, knoweth nothin• as he ought to know, saith the Apostle, 1 Cor. 8. 2• For he that knoweth not his own ignorance, if h• know never so much, is the greatest ignorant, an• it is a manifest evidence that a man hath but a supe•ficial touch of things, and hath never broken the shell, or drawn by the vail of his own weaknesse and ignorance, that doth not apprehend deeply, the unsearchableness of God, and his mysteries;"
2 Sam. 12 3•.,2 Samuel 12,['2 Samuel 12 3•'],2 Sam. 12 3•.
Luk. 16. •.; Mat. 25.14.,Luke 16; Matthew 25.14,['Luke 16.•'],"And your Lordships shall be judged, 1. de bonis commissis, of all the good things committed to your trust, by God, or by his Anointed, graces, gifts, talents of wealth, honour, power, a•thori•y, as that man Luk. 16. •. Mat. 25.14."
Psal 84. 9•,Psalms 84,['Psalms 84.9•'],Psal 84. 9•
1 Sam. 10. 2•.,1 Samuel 10,['1 Samuel 10.2•'],1 Sam. 10. 2•.
Rev. 13.10.; Rom. 5 •.,Revelation 13.10; Romans 5,['Romans 5 •'],Rev. 13.10. Rom. 5 •.
Luk. 6. 2•.,Luke 6,['Luke 6.2•'],Luk. 6. 2•.
2 Cor. 5. •,2 Corinthians 5,['2 Corinthians 5.•'],2 Cor. 5. •
2 Cor. 5. •,2 Corinthians 5,['2 Corinthians 5.•'],2 Cor. 5. •
"Col. 1. 2•,",Colossians 1,['Colossians 1.2•'],"he made peace for us, Col. 1. 2•, Having made peace through the blood of his cross; and the chastisement of our peace was upon him."
1 Pet. 2. 1•,1 Peter 2,['1 Peter 2.1•'],1 Pet. 2. 1•
Ier. 6. 1•.,Jeremiah 6,['Jeremiah 6.1•'],Ier. 6. 1•.
pro: 28. •.,Proverbs 28,['Proverbs 28.•'],pro: 28. •.
Jer. 5. •.,Jeremiah 5,['Jeremiah 5.•'],Jer. 5. •.
"Acts 8.5, 7. & 3.6.) &",Acts 8.5; Acts 8.7,['Acts 3.6.)'],"Acts 8.5, 7. & 3.6.) and therefore let us commit our bodies to this Mighty One; let us make him our Physitian, he is able to help and heal."
1 Thess. 5. 2•. &,1 Thessalonians 5,['1 Thessalonians 5.2•.'],"This is all that Paul beggeth of the Churches in his own behalf, Brethren, pray for u• ▪ 1 Thess. 5. 2•. and a Thess. •. 1. A•d again (if that Epistle be his), Heb•. 13.18. Pray for u•."
2 Sam. 14. 2•.,2 Samuel 14,['2 Samuel 14.2•'],2 Sam. 14. 2•.
Psal. 46. •.,Psalms 46,['Psalms 46.•'],"And so doth that, Psal. 46. •. God is a very present help in trouble."
Isa. 19.25. &; Exo. 19.5. &; Isa. 46.13. &; Ezek. 7.20. &; Jer. 4.21. &; Isa. 62. •. &; Mal. 3.17.,Isaiah 19.25; Exodus 19.5; Isaiah 46.13; Ezekiel 7.20; Jeremiah 4.21; Isaiah 62; Malachi 3.17,['Isaiah 62.•.'],"If the Lord be your portion, then you are his inheritance, Isa. 19.25. and his peculiar treasure, Exo. 19.5. and his glory, Isa. 46.13. and his ornament, Ezek. 7.20. and his throne, Jer. 4.21. and his Diadem, Isa. 62. •. and his jewels, Mal. 3.17."
Matth 11.23. Ch. 23.15.33.; Job 11.8. &; Prov. 15. 1•.,Matthew 11.23; Matthew 11.23; Matthew 11.15; Matthew 11.33; Job 11.8; Proverbs 15,['Proverbs 15.1•'],"Matth 11.23. Ch. 23.15.33. The Hebrew word Sh•ol hath several significations; Sometimes it signifies the grave, sometimes it signifies extraordinary great anguishes and distresses; and sometimes it signifies hell or the place of the damned, as here, and as in Job 11.8. & Prov. 15. 1•."
Jonah 1. •.,Jonah 1,['Jonah 1.•'],"And this you may see in those Pagans, Jonah 1. •. The Marriners cryed every man to his god."
"Heb. 6.7, •.",Hebrews 6.7,['Hebrews 6.•'],"Heb. 6.7, •."
Joh. 16. 1•.,John 16,['John 16.1•'],Joh. 16. 1•.
Psal. 123 •.,Psalms 123,['Psalms 123 •'],Psal. 123 ▪ •.
1 Joh. 5. •.,1 John 5,['1 John 5.•'],1 Joh. 5. •.
Psal 119 3•.,Psalms 119,['Psalms 119 3•'],Psal 119 3•.
"John 14. 4, •.",John 14.4,['John 14.•'],"John 14. 4, •."
Esay 60. 1•.,Isaiah 60,['Isaiah 60.1•'],Esay 60. 1•.
Rom. 9. 1•.,Romans 9,['Romans 9.1•'],Rom. 9. 1•.
Mat. 18. 1•.,Matthew 18,['Matthew 18.1•'],Mat. 18. 1•.
"Phil. 2, 6 - 9.",Philippians 2; Philippians 6; Philippians 7; Philippians 8; Philippians 9,['Philippians -'],"Phil. 2, 6 - ▪ 9."
Psal. 80 •.,Psalms 80,['Psalms 80 •'],Psal. 80 •.
Psal. 63. 3.; Mat. 9. •.; Rom. 8. 28.,Psalms 63.3; Matthew 9; Romans 8.28,['Matthew 9.•'],"Psal. 63. 3. Remission of sins, Mat. 9. •. Co-operation of all things for their good ▪ Rom. 8. 28."
Luk. 14. 2•.,Luke 14,['Luke 14.2•'],Luk. 14. 2•.
Psal. 119. 1•3.; Psal. 26.45.,Psalms 119; Psalms 26.45,['Psalms 119.1•3'],Psal. 119. 1•3. Psal. 26.45.
Luk. 10. 3•,Luke 10,['Luke 10.3•'],Luk. 10. 3• …
Isa. 36. •,Isaiah 36,['Isaiah 36.•'],Isa. 36. • Rabshakeh bolsters up himself a confidence that God was w• him: and why? forsooth t•• had all along been so prosper• and successful.
"Job 11. 8, •",Job 11.8,['Job 11.•'],"the measure the• of is longer than the earth, a• deeper than the sea, Job 11. 8, • The Lord would teach his peop•• from the plenty of outwa•• Mercies the wicked do enjo• to look for other evidences 〈 ◊ 〉 his love;"
Job. 27. •.; Luk 12.20.,Job 27; Luke 12.20,['Job 27.•'],Si evellat Deus animam ejus; Job. 27. •. Luk 12.20.
Isa. 55. •.,Isaiah 55,['Isaiah 55.•'],"This Generation the Prophet •arkes out, and reproves. Isa. 55. •. Wherefore (saies he) do you •pend money for that which is not •read?"
Math 10 2•.,Matthew 10,['Matthew 10 2•'],"Math 10 2•. B King, on Jonas, Lect. 29."
Math 10. 4•.,Matthew 10,['Matthew 10.4•'],Math 10. 4•.
Mark 10. 3•.,Mark 10,['Mark 10.3•'],Mark 10. 3•.
Revel 6. 1•,Revelation 6,['Revelation 6.1•'],Revel 6. 1•
Ep. 104 •.,Epistle 104,['Epistle 104 •'],Tract. de Justificat. Z. Vid. f•n. post Judicium Cassandi E•ul. in Apocap. •5. Serm. 〈 ◊ 〉 7 Col. Ep. 104 •. Survey of the pretended holy Discip. &c. R. Hook.
"Prov. 19. 7, 4•",Proverbs 19.7,['Proverbs 19.4•'],"Prov. 19. 7, 4• . Eurip."
Ecclus. 3. ◊,Ecclesiasticus 3,['Ecclesiasticus 3.◊'],Ecclus. 3. 〈 ◊ 〉
Mat. 6. 2•.,Matthew 6,['Matthew 6.2•'],Mat. 6. 2•.
Galat. 5. 2•.,Galatians 5,['Galatians 5.2•'],Galat. 5. 2•.
"Luk. 15. 7, ◊",Luke 15.7,['Luke 15.◊'],"Luk. 15. 7, 〈 ◊ 〉"
2 Thess. 3. •.,2 Thessalonians 3,['2 Thessalonians 3.•'],2 Thess. 3. •.
Eph. 5. 2•.,Ephesians 5,['Ephesians 5.2•'],Eph. 5. 2•.
1 Pet. 3. •.,1 Peter 3,['1 Peter 3.•'],1 Pet. 3. •.
Job 37 22. — & 13. 11.; Psal. 52. 6. & 68. 35.; Dan. 6. 26.; Isa. 59. 17.,Job 13.11; Psalms 52.6; Psalms 68.35; Daniel 6.26; Isaiah 59.17,['Job 37 22.'],Job 37 22. — & 13. 11. Psal. 52. 6. & 68. 35. Dan. 6. 26. Isa. 59. 17.
Exod. 15. 11.; Psal. 66. 32 5. & 65. 5.,Exodus 15.11; Psalms 65.5,['Psalms 66.32 5'],Exod. 15. 11. Psal. 66. 32 5. & 65. 5. (130. 3.)
"Psal. 126. 3. & 125. 1, &c & 138. 1, &c",Psalms 126.3; Psalms 125.1; Psalms 138.1,['Psalms '],"Psal. 126. 3. & 125. 1, &c & 138. 1, &c"
Psal. 14. 1•,Psalms 14,['Psalms 14.1•'],Psal. 14. 1•
Rom. 13. •.,Romans 13,['Romans 13.•'],Rom. 13. •.
Deut. 117. 1•. & 13. 11. & 19. 20.,Deuteronomy 13.11; Deuteronomy 19.20,['Deuteronomy 117.1•'],Deut. 117. 1•. & 13. 11. & 19. 20.
Psal. 10. 2. & 9. 15. & 35. 8. & 140. 5. & 7. 15. & 57. 6. & 7. 16. & •. 10.,Psalms 10.2; Psalms 9.15; Psalms 35.8; Psalms 140.5; Psalms 7.15; Psalms 57.6; Psalms 7.16,['Psalms •.10'],Psal. 10. 2. & 9. 15. & 35. 8. & 140. 5. & 7. 15. & 57. 6. & 7. 16. & •. 10.
Joh. 8. 4•.,John 8,['John 8.4•'],Joh. 8. 4•.
Prov. 17. 1•.,Proverbs 17,['Proverbs 17.1•'],Prov. 17. 1•.
1 Cor. 13. 4•,1 Corinthians 13,['1 Corinthians 13.4•'],1 Cor. 13. 4• ▪
"Ep. 72, 2•.",Epistle 72,['Epistle 2•'],"Sen. Ep. 72, 2•."
2 Sam. 11. 1•.,2 Samuel 11,['2 Samuel 11.1•'],"So you shall read of Uriah, Da•id would fain have had him gone down to his wife, and make merry, but mark what Uriah answered, 2 Sam. 11. 1•. The Ark, and Israel and Judah abide in Tents, (mark it I p•ay) & my Lord kno•e•h •he serv•nts of the Lord ar• in the camp in the open field;"
2 Chro. 36. 1•.,2 Chronicles 36,['2 Chronicles 36.1•'],2 Chro. 36. 1•.
Jer. 5. •.,Jeremiah 5,['Jeremiah 5.•'],Jer. 5. •.
Psal. 12. •.,Psalms 12,['Psalms 12.•'],"such as do not cry out with David, Help Lord, for the godly man ceaseth, Psal. 12. •. the faithful sail from among the children of men."
Gen. 25. 3•.,Genesis 25,['Genesis 25.3•'],Gen. 25. 3•.
"Gen. 8.20, 21, 2•.",Genesis 8.20; Genesis 8.21,['Genesis 8.2•'],"Upon the sweet-smelling Sacrifice offered by Noah, Gen. 8.20, 21, 2•."
Eccles. 5. •.,Ecclesiastes 5,['Ecclesiastes 5.•'],"He hath many rebukes in his Conscience; whereas a natural mans sin is brought up and nurtur'd with him, Eccles. 5. •. They consider not that they do evil;"
Phil. 2.7.8.; Pal. 82. •. &c.,Philippians 2.7; Philippians 2.8; Psalms 82,['Psalms 82.•.'],Phil. 2.7.8. Pal. 82. •. &c.
"Psalm CXLVII. xv, xvi, xvii, xviii.",Psalms 18,"['Psalms xv', 'Psalms xvi', 'Psalms xvii']","OF GOD ALMIGHTY'S PROVIDENCE Both in The Sending & Dissolving Great Snows and Frosts; AND The Improvement, we ought to make, of it, &c. Psalm CXLVII. xv, xvi, xvii, xviii."
"Psal. CIV. xiii, xiv, xv.",Psalms ,"['Psalms xiii', 'Psalms xiv']","[ * See Psal. CIV. xiii, xiv, xv. ]"
Psal. XXXIII. vi — x.,Psalms 3310,"['Psalms 33 6-10', 'Psalms 33 6']","For he spake, and it was done; He commanded, and it stood fast, Psal. XXXIII. vi — x. [ see Genes. I. ] His Almighty Fiat produced all things out of nothing."
"Psal. LXXIV. xvi, xvii.; Psalm LXXXIX. xii, xiii.",Psalms 17; Psalms 13,['Psalms xvi']; ['Psalms xii'],"thou hast made them Summer and Winter. Psal. LXXIV. xvi, xvii. The Heavens are thine; the Earth also is thine, Thou hast made the North and the South, Psalm LXXXIX. xii, xiii."
"Eccles. XXXIII. xiv, xv.",Ecclesiastes ,['Ecclesiastes xiv'],"Yea, Look upon all the works of the most High ( saith the son of Sirach ) and there are two and two one against another. Eccles. XXXIII. xiv, xv."
"Eccles, XVIII. xxv, xxvi.",Ecclesiastes 26,['Ecclesiastes xxv'],"— That is, His Word runneth very swiftly. Eccles, XVIII. xxv, xxvi."
"Luke XIV. xxxi, xxxii.",Luke 32,['Luke xxxi'],"What King going to war against another King ( saith our Blessed Saviour ) sitteth not down first, and consulteth, whether he be able with Ten Thousand to meet him that cometh against him with Twenty Thousand? (that is, double his number ) or else, while the other is yet a great way off, he sendeth an Embassage, and desireth Conditions of Peace, St. Luke XIV. xxxi, xxxii."
"Psal. LXVIII. xxxiv, xxxv. X.",Psalms 10,['Psalms xxxiv'],"He will give Strength and Power unto his people. Blessed be God, Psal. LXVIII. xxxiv, xxxv. X. How well grounded is the Piety of our Church, which sends us upon all occasions to that God from whom all good things do come, for all the Blessings we at any time want;"
