Text,Index,Phrase,Citations
Exod. 15. 11. Psal. 66. 32 5. & 65. 5. (130. 3.),160,Exod. 15. 11.,Exodus 15.11
,160,Psal. 66. 32 5. & 65. 5.,Psalms 65.5
"Psal. 126. 3. & 125. 1, &c & 138. 1, &c",161,"Psal. 126. 3. & 125. 1, &c & 138. 1, &c",Psalms 126.3; Psalms 125.1; Psalms 138.1
Psal. 14. 1•,162,Psal. 14. 1•,Psalms 14.1•
Rom. 13. •.,163,Rom. 13. •.,Romans 13.•
Deut. 117. 1•. & 13. 11. & 19. 20.,164,Deut. 117. 1•. & 13. 11. & 19. 20.,Deuteronomy 13.11; Deuteronomy 19.20
Psal. 10. 2. & 9. 15. & 35. 8. & 140. 5. & 7. 15. & 57. 6. & 7. 16. & •. 10.,165,Psal. 10. 2. & 9. 15. & 35. 8. & 140. 5. & 7. 15. & 57. 6. & 7. 16. & •. 10.,Psalms 10.2; Psalms 9.15; Psalms 35.8; Psalms 140.5; Psalms 7.15; Psalms 57.6; Psalms 7.16
Joh. 8. 4•.,166,Joh. 8. 4•.,John 8.4•
Prov. 17. 1•.,167,Prov. 17. 1•.,Proverbs 17.1•
1 Cor. 13. 4• ▪,168,1 Cor. 13. 4•,1 Corinthians 13.4•
"Sen. Ep. 72, 2•.",169,"Ep. 72, 2•.",Epistle 2•
"So you shall read of Uriah, Da•id would fain have had him gone down to his wife, and make merry, but mark what Uriah answered, 2 Sam. 11. 1•. The Ark, and Israel and Judah abide in Tents, (mark it I p•ay) & my Lord kno•e•h •he serv•nts of the Lord ar• in the camp in the open field;",170,2 Sam. 11. 1•.,2 Samuel 11.1•
2 Chro. 36. 1•.,171,2 Chro. 36. 1•.,2 Chronicles 36.1•
Jer. 5. •.,172,Jer. 5. •.,Jeremiah 5.•
"such as do not cry out with David, Help Lord, for the godly man ceaseth, Psal. 12. •. the faithful sail from among the children of men.",173,Psal. 12. •.,Psalms 12.•
Gen. 25. 3•.,174,Gen. 25. 3•.,Genesis 25.3•
"Upon the sweet-smelling Sacrifice offered by Noah, Gen. 8.20, 21, 2•.",175,"Gen. 8.20, 21, 2•.",Genesis 8.20; Genesis 8.21
"He hath many rebukes in his Conscience; whereas a natural mans sin is brought up and nurtur'd with him, Eccles. 5. •. They consider not that they do evil;",176,Eccles. 5. •.,Ecclesiastes 5.•
Phil. 2.7.8. Pal. 82. •. &c.,177,Phil. 2.7.8.,Philippians 2.7; Philippians 2.8
,177,Pal. 82. •.,Psalms 82.•.
"OF GOD ALMIGHTY'S PROVIDENCE Both in The Sending & Dissolving Great Snows and Frosts; AND The Improvement, we ought to make, of it, &c. Psalm CXLVII. xv, xvi, xvii, xviii.",178,"Psalm CXLVII. xv, xvi, xvii, xviii.","Psalms xv', 'Psalms xvi', 'Psalms xvii"
"[ * See Psal. CIV. xiii, xiv, xv. ]",179,"Psal. CIV. xiii, xiv, xv.","Psalms xiii', 'Psalms xiv"
"For he spake, and it was done; He commanded, and it stood fast, Psal. XXXIII. vi — x. [ see Genes. I. ] His Almighty Fiat produced all things out of nothing.",180,Psal. XXXIII. vi — x.,"Psalms 33 6-10', 'Psalms 33 6"
"thou hast made them Summer and Winter. Psal. LXXIV. xvi, xvii. The Heavens are thine; the Earth also is thine, Thou hast made the North and the South, Psalm LXXXIX. xii, xiii.",181,"Psal. LXXIV. xvi, xvii.",Psalms 17; Psalms 13
,181,"Psalm LXXXIX. xii, xiii.",
"Yea, Look upon all the works of the most High ( saith the son of Sirach ) and there are two and two one against another. Eccles. XXXIII. xiv, xv.",182,"Eccles. XXXIII. xiv, xv.",Ecclesiastes xiv
"— That is, His Word runneth very swiftly. Eccles, XVIII. xxv, xxvi.",183,"Eccles, XVIII. xxv, xxvi.",Ecclesiastes xxv
"What King going to war against another King ( saith our Blessed Saviour ) sitteth not down first, and consulteth, whether he be able with Ten Thousand to meet him that cometh against him with Twenty Thousand? (that is, double his number ) or else, while the other is yet a great way off, he sendeth an Embassage, and desireth Conditions of Peace, St. Luke XIV. xxxi, xxxii.",184,"Luke XIV. xxxi, xxxii.",Luke xxxi
"He will give Strength and Power unto his people. Blessed be God, Psal. LXVIII. xxxiv, xxxv. X. How well grounded is the Piety of our Church, which sends us upon all occasions to that God from whom all good things do come, for all the Blessings we at any time want;",185,"Psal. LXVIII. xxxiv, xxxv. X.",Psalms xxxiv
"Paul records that lovely instance of heathen Goodness and Humanity, Acts XXVIII. i, ii. — How great a Charity and Benificence is it to contribute towards the Relief of the necessitous, in Fewel and Cloths, and Harbour, as well as Food, to render the bitter winter tolerable! — And",186,"Acts XXVIII. i, ii. —",Acts i
Mat. 10. 2•.,187,Mat. 10. 2•.,Matthew 10.2•
Psal. 128. •.,188,Psal. 128. •.,Psalms 128.•
"O how doth the Spouse take care that he be not disturbed, in Cant. 2. •. I charge you, O ye daughters of Jerusalem, by the Roes and the Hinds of the field, that ye stir not up, nor awake my Love, till he please.",189,Cant. 2. •.,Canticles 2.•
"Now, this honour have all they that waiting on the Lord, and keeping his Way, do honour: 1 Samuel 2. 3•. Him that honoureth me, I will honour: and sayes our Saviour, John 12.26.",190,1 Samuel 2. 3•.,1 Samuel 2.3•
,190,John 12.26.,John 12.26
Matth. 5. 2•.,191,Matth. 5. 2•.,Matthew 5.2•
Mal. 3. 3•.,192,Mal. 3. 3•.,Malachi 3.3•
1 Cor. 5. •,193,1 Cor. 5. •,1 Corinthians 5.•
"Zach. 7. 5, 6, •,",194,"Zach. 7. 5, 6, •,",Zechariah 7.5; Zechariah 7.6
Heb. 10. 3• ••.,195,Heb. 10. 3•,Hebrews 10.3•
John 16. • … 11.,196,John 16. • 11.,John 16.• 11
Psal. 64. 3. Psal. 11. •.,197,Psal. 64. 3.,Psalms 64.3; Psalms 11.•
,197,Psal. 11. •.,
"〈 ◊ 〉 is called an undefiled inheri•••ce, 1 Per. 1. •. either God must change his mind, or men must change their manners, or else there can be no heaven for polluted sinners.",198,1 Per. 1. •.,1 Peter 1.•
"As the Apostle exhorted concerning Christ, Heb. 11. 3• Consider them, what they endured, lest ye faint in your mindes.",199,Heb. 11. 3•,Hebrews 11.3•
1 Sam. 28. 2•.,200,1 Sam. 28. 2•.,1 Samuel 28.2•
Psal. 24. •. Amos 6.8. Isa. 4•. 10.,201,Psal. 24. •.,Psalms 24.•
,201,Amos 6.8.,Amos 6.8
Heb. 1. 3•.,202,Heb. 1. 3•.,Hebrews 1.3•
1 Cor. 5. •.,203,1 Cor. 5. •.,1 Corinthians 5.•
"1 Cor. 3.6, •",204,"1 Cor. 3.6, •",1 Corinthians 3.•
"Mat. 7.24, 2•",205,"Mat. 7.24, 2•",Matthew 7.2•
Rev. 3. •.,206,Rev. 3. •.,Revelation 3.•
"Eph. 2.1, •",207,"Eph. 2.1, •",Ephesians 2.•
Rom. 3 7. Gd. 3 1•. Rom. 7. •.,208,Rom. 3 7.,Romans 3.7; ['Romans 7.•
,208,Gd. 3 1•.,Galatians 3 1•']
,208,Rom. 7. •.,
Heb. 2. 1• ▪,209,Heb. 2. 1•,Hebrews 2.1•
Rom. 7. •. Gal. 2. •9. Rom. 6. •.,210,Rom. 7. •.,Romans 7.•']; ['Romans 6.•
,210,Gal. 2.,Galatians 2
,210,Rom. 6. •.,
Deut. 19. •.,211,Deut. 19. •.,Deuteronomy 19.•
1 Cor. 13. 1• Phil. 3.12.,212,1 Cor. 13. 1•,1 Corinthians 13.1•
,212,Phil. 3.12.,Philippians 3.12
Acts 14.17. & 17.26 27.,213,Acts 14.17. & 17.26 27.,Acts 17.26 27
Psal. 100. •.,214,Psal. 100. •.,Psalms 100.•
Matt. 12. 2•.,215,Matt. 12. 2•.,Matthew 12.2•
1 Sam. 17. 4•.,216,1 Sam. 17. 4•.,1 Samuel 17.4•
Gen. 46. 2•.,217,Gen. 46. 2•.,Genesis 46.2•
2 Sam. 7. 1•.,218,2 Sam. 7. 1•.,2 Samuel 7.1•
"THE FORTY SIXTH SERMON ON COLOSSIANS, CHAP. IV. VER. II, III, IV. Verse II. Persevere in Prayer, watching in it with thanksgiving.",219,"IV. VER. II, III, IV. Verse II.","Jude ii', 'Jude iii"
Psal. 130. •.,220,Psal. 130. •.,Psalms 130.•
"THE FORTY SEVENTH SERMON ON COLOSSIANS, CHAP. IV. VER. V, VI. Verse V. Walk wisely towards those that are without, redeeming the time.",221,"IV. VER. V, VI. Verse V.",Jude verse
"Deut. 26. 6, 〈 ◊ 〉, 15.",222,"Deut. 26. 6, ◊",Deuteronomy 26.◊
Psal. 42. 1• 2.,223,Psal. 42. 1• 2.,Psalms 42.1• 2
"Daniel XII. II, III.",224,"Daniel XII. II, III.",Daniel ii
Mat 26. • compared with Iohn 12.4.,225,Mat 26. •,Matthew 26.•
,225,Iohn 12.4.,John 12.4
"Such waiting on God gives him the glory of his independency, all-sufficiency, immutability, goodnesse, faithfulnesse, and wisdom, it hath great blessings, annexed to it, Prov. 8. 34, 35. Isa. 30. 18. Isa. 40. 31. The contrary is a compound of many sins, of pride, and impatience, Psal. 78. 41. and and discontent, 2 Kings 6. 33. and unbeliefe, Isa. 28. 16. 3. By the proper effect of this hope, you may know, it to be right;",226,"Prov. 8. 34, 35.",Proverbs 8.34; Proverbs 8.35
,226,Isa. 30. 18.,Isaiah 30.18; Isaiah 40.31; Isaiah 28.16; Isaiah 28.3
,226,Isa. 40. 31.,Psalms 78.41
,226,Psal. 78. 41. &,2 Kings 6.33
,226,2 Kings 6. 33.,
,226,Isa. 28. 16. 3.,
"Of whatever may or can befal them, in this World, Psal. 91. 1, &c, For, 1. God is graciously present with them, Rom. 8. 31.",227,"Psal. 91. 1,",Psalms 91.1
,227,Rom. 8. 31.,Romans 8.31
"and commanded the Prophet to use the name Lo-ammi• for ye are not my people, and I will not be your God. Hos. 1. 9. and Chapter 2. 2. she is not my wife, neither am I her Husband.",228,Hos. 1. 9. & Chapter 2. 2.,Hosea chapter 2.2
1 Cor. 9. 2•.,229,1 Cor. 9. 2•.,1 Corinthians 9.2•
Ep. Jud. 23. •,230,Jud. 23. •,Jude 23.•
"Trust in the Lord and do good, Psal. 37. •. 34. so shalt thou dwell in the land, and verily thou shalt be fed.",231,Psal. 37. •. 34.,Psalms 37.•.34
"As the Lord expostulates with them, Jer. 2. 〈 ◊ 〉 What iniquity have your Fathers found in me, that they are gone far from me, and are ••lked after vanity?",232,Jer. 2. ◊,Jeremiah 2.◊
Likewise that place Col. 1. • That ye might walk worthy of the Lord &c.,233,Col. 1. •,Colossians 1.•
"Opens the second preparative act of Christ for his own death. I COR. XI. XXIII, XXIV, XXV. — The Lord Iesus the same night in which he was betrayed, took bread;",234,"COR. XI. XXIII, XXIV, XXV. —","Corinthians xxiii', 'Corinthians xxiv"
"Opens the third preparative act of Christ for his own death. LUK. XXII. XLI, XLII, XLIII, XLIV.",235,"LUK. XXII. XLI, XLII, XLIII, XLIV.","Luke xli', 'Luke xlii', 'Luke xliii"
"For so (as) is sometimes taken, for the very thing it self. As Ioh. 1. 1•.",236,Ioh. 1. 1•.,John 1.1•
"Discovers the first preparation for Christs death on his enemies part, by the treason of Iudas. MAT. XXVI. XL VII, XL VIII, XLIX.",237,"MAT. XXVI. XL VII, XL VIII, XLIX.",Matthew 40; Matthew 49
"Opens the enemies second and third preparatives for the death of Christ, by their illegal trial and condemnation. LUK. XXIII. XXIII, XXIV.",238,"LUK. XXIII. XXIII, XXIV.",Luke xxiii
"Remarks a memorable passage of Christ in his way to the place of his execution. LUK. XXIII. XXVII, XXVIII, &c.",239,"LUK. XXIII. XXVII, XXVIII, &c.","Luke xxvii', 'Luke xxviii"
"Treats of Christs Funeral, opening the manner, reasons, and excellent ends thereof. JOH. XIX. XL, XLI, XLII.",240,"JOH. XIX. XL, XLI, XLII.","John xl', 'John xli"
"if we can be sure that God teacheth us, we may be as sure of the truth of what he teacheth • … r his spirit guideth us into all truth, Joh. 16 ▪ 〈 ◊ 〉. and into nothing but truth.",241,Joh. 16 ◊,John 16 ◊
"there is nothing in this world which a gracious heart more vehemently desires and longs for, than the death of sin, and perfect deliverance from it, Rom. 7. 2• ….",242,Rom. 7. 2•,Romans 7.2•
Phil. 4. 1•.,243,Phil. 4. 1•.,Philippians 4.1•
John 5. 1•.,244,John 5. 1•.,John 5.1•
Ps. 64. •.,245,Ps. 64. •.,Psalms 64.•
Psal. 7. 1•.13.,246,Psal. 7. 1•.13.,Psalms 7.1•.13
"This is God's Cause; and if our God hath Any Cause, This is It: And if This be not God's Cause, then God is no God for Me; but the Devil is got up into Heaven. Dissenters Sayings, p. 8. The Cause you manage is the Cause of God; the Glory of God is embark'd in the same Ship in which This Cau•e is Diss. Say. 41. E. Calamy 's Serm. to the •cers. Ju. 15. 164•. p. 53. He that Dyes fighting the 〈 ◊ 〉 P•••l, Dyes a Martyr. ib. p 57. It is Commendable to fight for Peace and Reformation AGAINST the King 's Command. Calamy 's Sermon, Dec. 25. 1644. p. 29. ibid. If I had taken up Arms against the Parliament in That War, my Conscience tell• me I had been a Traytor, and guilty of Resisting the Highest Powers. Baxter's H C. W. p. 433. Dissent. Say. p. 38. — And I cannot see, That I was mistaken in the Main Cause, nor Dare I R pent of it, if it were to do Again in the same State of things. Id. ib. H. C. p. 486.",247,Ju. 15. 164•.,Jude 15.164•
"A SERMON ON The Third Sunday in Advent. S. LUKE xxi. verse 27, 28.",248,"LUKE xxi. verse 27, 28.",Luke verse
Matth. 22. 37• 39.,249,Matth. 22. 37• 39.,Matthew 22.37• 39
1 Pet. 1. 1•,250,1 Pet. 1. 1•,1 Peter 1.1•
Rom. 3. 2•.,251,Rom. 3. 2•.,Romans 3.2•
1 Cor. 5. 1•,252,1 Cor. 5. 1•,1 Corinthians 5.1•
Cor. 1. •. 9. from •. 9 to •.,253,Cor. 1. •. 9.,Corinthians 1.•.9
Eph. 2. 12•,254,Eph. 2. 12•,Ephesians 2.12•
"1. Satan seemed to shew himself in Pharaoh, like a roaring Lyon, or a wild Boar of the Forrest, breaking into the Vineyard of the Lord of Hosts, commanding first the Midwives, and afterwards his own People, to cast every Son of the Children of Israel that should be born, into the River Nilus, Exod. 1. •. the last.",255,Exod. 1. •.,Exodus 1.•
Rom. 16. 2•.,256,Rom. 16. 2•.,Romans 16.2•
Luke 15. 3•.,257,Luke 15. 3•.,Luke 15.3•
"Acts 2•, 25, 26.",258,"Acts 2•, 25, 26.",Acts 25; Acts 26
1 John 3. •.,259,1 John 3. •.,1 John 3.•
"1 Kings 1.27. Mark 6.20. Acts 8.23, 2•.",260,1 Kings 1.27.,1 Kings 1.27
,260,Mark 6.20.,Mark 6.20
,260,"Acts 8.23, 2•.",Acts 8.23
1 Pet. 5. •.,261,1 Pet. 5. •.,1 Peter 5.•
Rev. 1. 1•.,262,Rev. 1. 1•.,Revelation 1.1•
"Rom. 5.15, 19•",263,"Rom. 5.15, 19•",Romans 5.19•
Rom 3. 1•2,264,Rom 3. 1•2,Romans 3.1•2
"Matth. 7.7. Psal. 24.7, •.",265,Matth. 7.7.,Matthew 7.7
,265,"Psal. 24.7, •.",Psalms 24.7
Rom. 11. 3•. Gal. 6.14.,266,Rom. 11. 3•.,Romans 11.3•
,266,Gal. 6.14.,Galatians 6.14
Luke. 19. 4•,267,Luke. 19. 4•,Luke 19.4•
1 Cor. 11. 1•.,268,1 Cor. 11. 1•.,1 Corinthians 11.1•
2 Kings 4.2. &c. Psal. 84. 1•.,269,2 Kings 4.2.,2 Kings 4.2
,269,Psal. 84. 1•.,Psalms 84.1•
"Isa. 65 19. Luke 15.7, 1•",270,Isa. 65 19.,Isaiah 65.19
,270,"Luke 15.7, 1•",Luke 15.7
Numb 6. •,271,Numb 6. •,Numbers 6.•
2 Sam. 20. 1•.,272,2 Sam. 20. 1•.,2 Samuel 20.1•
Matth. 8. 1•.,273,Matth. 8. 1•.,Matthew 8.1•
Rom. 1. 1•.,274,Rom. 1. 1•.,Romans 1.1•
Gen. 9. •,275,Gen. 9. •,Genesis 9.•
John 20. •.,276,John 20. •.,John 20.•
Ephes. 3. 1•.,277,Ephes. 3. 1•.,Ephesians 3.1•
"1 Tim. 1.19, 2•.",278,"1 Tim. 1.19, 2•.",1 Timothy 1.2•
Isa. 6. •.,279,Isa. 6. •.,Isaiah 6.•
Prov. 12. 2•.,280,Prov. 12. 2•.,Proverbs 12.2•
Eccles. 11. •.,281,Eccles. 11. •.,Ecclesiastes 11.•
Psal. 81. 1•. 1•,282,Psal. 81. 1•. 1•,Psalms 81.1•.1•
2 Pet. 3. 1•.,283,2 Pet. 3. 1•.,2 Peter 3.1•
Cant. 5. 9• ▪,284,Cant. 5. 9•,Canticles 5.9•
2 Sam. 1. • ….,285,2 Sam. 1. •,2 Samuel 1.•
Zich. 1. 11• ….,286,Zich. 1. 11•,Zechariah 1.11•
Act. 3: • … 8.,287,Act. 3: • 8.,Acts 3.• 8
"Iob. 19, 2• …, 26, 27.",288,"Iob. 19, 2•",Job 2•
2 Thes. 1. • ….,289,2 Thes. 1. •,2 Thessalonians 1.•
23. Revel. 2.21. Psal. 140. • … 1.,290,Revel. 2.21.,Revelation 2.21
,290,Psal. 140. • 1.,Psalms 140.• 1
Ier: 22 • …,291,Ier: 22 •,Jeremiah 22 •
s 1 〈 ◊ 〉 Bishop Hall in Paraphr: Piscator & Fransiscus Lucas.,292,s 1 ◊,Samuel 1 ◊
r Psal. 111. 〈 ◊ 〉. Heb. 10: 20.,293,Psal. 111. ◊,Psalms 111.◊
,293,Heb. 10: 20.,Hebrews 10.20
w Act 2: 20.2 Tit. 4: • ….,294,Act 2: 20.2,Acts 2.20; Acts 2.2
,294,Tit. 4: •,Titus 4.•
"they understand not whence such leadings or motions unto good, which at any time are stirring in them, come: As Samuel, 1 Sam. 3.5, •. when young, did not know the voice of God when he spake unto him, but thought it had been Eli:",295,"1 Sam. 3.5, •.",1 Samuel 3.•
"We conceive also if Anna th〈 … 〉 precious woman were now alive (to who• that excellent testimony is given, Luke 2. 3•• She was a widow about four score four years, whi•• departed not from the Temple, but served God wi•• fasting and praying night and day) might not sh〈 … 〉 provoke many women;",296,Luke 2. 3••,Luke 2.3••
"this is clear from John 17. 〈 ◊ 〉 where giving an account of the carriage 〈 ◊ 〉 practice of his disciples unto the Father, 〈 ◊ 〉 doth exceedingly commend their faith & t〈 … 〉 carriage towards him;",297,John 17. ◊,John 17.◊
"he hath that 〈 … 〉yal Prerogative, and Eminent Excellency 〈 … 〉ve all Judges of the earth, that he can take 〈 ◊ 〉 many bills at once, which is a demonstration 〈 … 〉he omnipotency and infinite understanding 〈 ◊ 〉 knowledge of God, if that word, Matth. 21. 〈 ◊ 〉 22. were believed, Whatsoever you ask in 〈 … 〉er, believing, you shall receive it.",298,Matth. 21. ◊ 22.,Matthew 21.◊ 22
"and it 〈 ◊ 〉 clear again from Johns practice, Rev. 22. 〈 ◊ 〉 compared with the fore-going words:",299,Rev. 22. ◊,Revelation 22.◊
"There is this first evil of security, Cant. 5. 〈 ◊ 〉 compared with the first verse, where G〈 … 〉 when he was come into his garden, and 〈 ◊ 〉 gathered his myrrhe with his spices, and 〈 ◊ 〉 eaten his honey-comb with his honey, and 〈 ◊ 〉 drunk his wine with his milk, and yet for 〈 ◊ 〉 these enjoyments the Spouse was sleeping:",300,Cant. 5. ◊,Canticles 5.◊
"〈 ◊ 〉 likewise their desires to the exercise of Pray〈 … 〉 and Christian duties is not much encreased 〈 ◊ 〉 these enlargements which they receive bei〈 … 〉 strangers to that Word which is in Prov 10. 〈 ◊ 〉 The way of the Lord is strength to the upright, 〈 ◊ 〉",301,Prov 10. ◊,Proverbs 10.◊
"this is clear from Dan. 10. 12, 〈 ◊ 〉 where it is said to Daniel, That from the 〈 ◊ 〉 day that he afflicted his soul, his prayers and s〈 … 〉plications were heard;",302,"Dan. 10. 12, ◊",Daniel 10.◊
"And this is clear from Jonah 2. 〈 ◊ 〉 compared with verse 7. where he saith, I 〈 ◊ 〉 cast out of thy sight;",303,Jonah 2. ◊,Jonah 2.◊
,303,verse 7.,Verse 7
"There is a second thing which obstructs th〈 … 〉 exercise of prayer, and it is that wofull a〈 … 〉 cursed end that we propose to our selves in going about this duty, this is clear in James 4. 3• You ask, and receive not, because ye ask am〈 … 〉 that you may consume it upon your lusts.",304,James 4. 3•,James 4.3•
"Hence is that word in Psal. 6. 〈 ◊ 〉 Whereupon the consideration of the heari〈 … 〉 of his prayer, he breaketh forth in that saying Depart from me all ye workers of iniquity;",305,Psal. 6. ◊,Psalms 6.◊
"this is clear, 〈 ◊ 〉 only from our Text, but likewise in Deut. 4. 〈 ◊ 〉 ▪ Only take heed to thy self, and keep thy soul dil〈 … 〉 gently, &c. Prov. 23. 19. Guide thy heart in〈 … 〉 way:",306,Deut. 4. ◊,Deuteronomy 4.◊
,306,Prov. 23. 19.,Proverbs 23.19
"This is the great mystery of iniquity, that even our hearts will deceive o〈 … 〉 own hearts, and studies to bring, them to ruine 〈 ◊ 〉 Take heed yee deceive not your selves, &c. sai〈 … 〉 Jeremiah, or as the words may be rendered take heed ye deceive not your souls, 1 Cor. 3 〈 ◊ 〉 Let no man deceive himself, &c. and Gal. 6. 〈 ◊ 〉",307,1 Cor. 3 ◊,1 Corinthians 3 ◊']
,307,Gal. 6. ◊,['Galatians 6.◊
"The second Rise of discouragement, is, fro〈 … 〉 Christs withdrawing of the sensible manifestations of his love, and of his presence, Psal. 30. 〈 ◊ 〉 Thou didst hide thy face, and I was troubled.",308,Psal. 30. ◊,Psalms 30.◊
"Secondly, The Christians of old hath taken much pains to know the voice of the Rods that they meet with, as i• clear from, 2 Sam. 21. 1• where the land of Israel being three years under famine, David went and enquired the cause of that Rod, and it is likewise clear from Job. 7. 20. where Job is exceeding desirous to know why God set him up at a mark for his arrows, and that he was become a burden to himself.",309,2 Sam. 21. 1•,2 Samuel 21.1•
,309,Job. 7. 20.,Job 7.20
"Thirdly, We would have you to take notice of this, that it is exceeding anxious for a tender Christian to be under a silent Rod, to be under such a dispensation that he knows not the language of it, this is clear in Job 3. 23. where Job makes this the capestone of his sorrow, that his way was hid, that is, he knew not what was the reason of Gods contending with him after such a way, as likewise it is clear in Job 10, 2• where Job is put to propose that question to God, Shew me wherefore thou contendest with me?",310,Job 3. 23.,Job 3.23; Job 10
,310,"Job 10, 2•",
"we conceive this is clear in 2 Sam. 21. 〈 ◊ 〉, 2. where the land of Israel is under three years famine before David could take up the reason of Gods contending with them:",311,2 Sam. 21. ◊,2 Samuel 21.◊
"This was the way that 〈 ◊ 〉 came to the faith of the promises, Heb. 11. • ▪ Shee believed, 〈 ◊ 〉 the 〈 ◊ 〉 of it 〈 ◊ 〉 that shee judged him faithfull that had pr••mised.",312,Heb. 11. •,Hebrews 11.•
"Sometim•• sense is sick of love, and sometimes sense 〈 ◊ 〉 strong in Faith, but ere six hours go about sense may bee sick of jealousie, and sick 〈 ◊ 〉 misbelief, as yee will see from Psal. 30. 6, 〈 ◊ 〉 sense, that bold thing, it will instantly 〈 ◊ 〉 out, My mountain standeth strong, I will ••ver be moved;",313,"Psal. 30. 6, ◊",Psalms 30.◊
"Heb. 11.24 &c, By faith Moses when he was come to years, refused to be called the Son of Pharoah's Danghten.",314,"Heb. 11.24 &c,",Hebrews 
Ps. 21. •.,315,Ps. 21. •.,Psalms 21.•
Act. 6. 1•.,316,Act. 6. 1•.,Acts 6.1•
Pro. 6. 2•.,317,Pro. 6. 2•.,Proverbs 6.2•
Isa. 36. •.,318,Isa. 36. •.,Isaiah 36.•
Josh. 1. •.,319,Josh. 1. •.,Joshua 1.•
Mar. 13 ▪ •3. Joh. 16. •.,320,Mar. 13,Mark 13
,320,Joh. 16. •.,John 16.•
